global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	aroma_motion_04	aroma_motion_07	aroma_motion_08	aroma_motion_14	aroma_motion_15	aroma_motion_17	aroma_motion_18	aroma_motion_25
6160.627963613765	n/a	n/a	37953336.90605988	8754.55750463871	n/a	n/a	76642277.10202594	4919.114081824421	n/a	n/a	24197683.35000332	5195.904889013923	5783.922996137831	n/a	n/a	n/a	n/a	-0.0556100925	0.0466873138	-0.0374038827	0.0617600993	-0.0030742161	-0.0225967912	0.0094853786	-0.0576959737	0.1334316226	-0.0969493236	0.033833077	-0.0087543739	0.0496431399	-0.0059416692	0.0031165286	-0.0455159925	0.0591404772	-0.0365459519	0.0769605717	-0.0297263142	0.0495342436	-0.0671617968	-0.1440764848	0.0550241715	-0.2050603369	0.2911793494	-0.0018848432	0.0527502824	-0.1161765759	0.0486134337	-0.0323868327	0.1004407896	-0.09455999	0.097507514	-0.2117169078	0.0530704308	-0.0291363682	-0.0053572471	0.0128316586	0.1939449676	-0.0480934094	-0.0466621948	-0.0492481122	0.1032385202	-0.1007842248	-0.0684007957	-0.1030427241	-0.0008029922	0.2256641656	0.0128990928	-0.0914426995	-0.0023512427	0.0455218285	-0.0015366872	0.0042185517	-0.0230241825	0.0262113151	-0.0165885164	0.1563861746	-0.077260312	0.0704228313	-0.0429693276	0.1201109855	-0.0406584916	0.0024122786	0.1060073694	0.2633340343	-0.0034584043	0.0228700892	-0.1165548861	0.036304894	-0.0028501164	0.1125526154	-0.0798514349	0.0720163305	-0.0336296945	0.263161665	-0.058274722	0.0666839881	-0.0765030031	-0.0004962477	0.0464703801	0.1151769203	-0.0716214108	-0.0822042959	0.0489922546	0.1072880812	0.1470855924	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0179404	n/a	n/a	0.00032185795216	-0.175127	n/a	0.030669466129	n/a	-0.382424	n/a	0.146248115776	n/a	-0.00268669	n/a	7.218303156099999e-06	n/a	-0.00129828	n/a	n/a	1.6855309584e-06	0.00260785	n/a	6.8008816225e-06	n/a	0.0	1.017769314	-1.095595933	-1.079525402	-2.171570183	-1.486875008	-0.2198261786	1.107791109	-0.02639777837
6151.647412306163	-8.980551307602582	80.65030178848244	37842765.88533311	8734.522710686444	-20.03479395226532	401.392968709727	76291886.98349726	4923.06796425449	3.953882430068916	15.633186270807672	24236598.18066885	5203.3866010996535	5773.440295797167	0.93377	25.796499	0.0665421	0.0327192	-0.0411815545	0.05563254	-0.0491040274	0.006095103	0.0025306058	-0.1850497581	0.026448889	0.0909447212	0.0154810243	-0.0634669162	0.0147494606	-0.0380528655	0.0552866695	0.0223640522	0.0460911661	-0.0431777407	0.0008302693	-0.0654732596	-0.0551382513	-0.0808160839	0.0024345862	-0.1298932631	-0.0087980876	0.0382249507	-0.0919463116	0.2162183607	-0.0159912611	-0.0085550935	-0.1043712598	0.070818715	0.082651778	0.0304733753	-0.0197175974	-0.0297525504	-0.138316434	0.1768989562	-0.0536189695	0.0995083068	-0.0747944607	-0.1050412826	-0.0221493942	0.0336009955	-0.1106694411	-0.1077151712	-0.0796195825	0.1739332954	0.162390234	-0.0359429012	-0.0562474124	0.1116314058	0.0519726333	-0.0204624862	0.0571681762	-0.0267788165	0.0938347517	-0.0805321858	0.0283165722	-0.0049754038	0.0870275156	0.0517252936	0.1020130614	-0.0410329455	0.0645708726	-0.0704450397	0.0896120001	0.0365917994	0.1889255726	-0.0083947643	0.0387489092	-0.0351045025	0.1727044675	-0.0326589877	0.0715997478	0.0658455559	0.0545544948	-0.0496575665	0.1533742784	-0.0626204969	-0.0515284783	-0.0077324332	-0.1311109661	0.1061066841	-0.1398988623	-0.0208970998	0.0598998987	0.0207402705	-0.2027384748	0.0207286456	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0124533	-0.0054870999999999	3.010826640999998e-05	0.00015508468089	-0.161708	0.013419	0.0261494772639999	0.000180069561	-0.354749	0.027675	0.125846853001	0.000765905625	-0.00252996	0.0001567299999999	6.4006976016e-06	2.4564292899999967e-08	-0.00124732	5.096000000000007e-05	2.596921600000007e-09	1.5558071823999997e-06	0.00241632	-0.00019153	5.8386023424e-06	3.668374090000003e-08	0.0	1.034417838	-0.8663678654	-1.026232103	-1.786415116	-0.8401108625	0.08062678379	0.2994678729	-0.2045558732
6152.678750822298	1.0313385161352926	1.063659134864147	37855455.81082023	8796.910402097406	62.38769141096236	3892.224039589467	77385632.62252955	4924.85214666292	1.7841824084298423	3.1833068665505126	24254168.66649037	5204.381099516038	5773.764585572187	0.8377569999999999	23.144026	0.0495832	0.0310799	-0.044361026	0.0373153458	-0.0826518719	-0.0055418692	0.1158821696	0.0598344692	0.0027526058	0.1047710292	0.0132210946	0.0268420666	0.0121549143	-0.0510382263	0.0327085353	0.0589027024	0.0141931297	0.0496647862	0.0579314619	-0.0389453465	0.0013281404	-0.0779390624	-0.0689761247	-0.0943692817	0.0764109573	0.1136867662	0.0285855815	0.1441302079	0.053410112	0.0343297075	0.0247239498	-0.0359930345	-0.0001037013	0.0541466496	0.0028915019	0.0148590577	0.033018887	0.0077276045	-0.0276585384	0.0245605985	-0.139916969	-0.0849701686	0.0031535858	0.168459399	-0.2071616297	0.0250645176	0.0432819058	-0.0467082542	-0.022016021	-0.2452444317	-0.164107402	-0.0861020793	-0.0191443291	-0.0435078573	0.0388092286	-0.0198161277	0.05249691	-0.0305599547	-0.0714102664	-0.0993753441	0.0780052569	0.1177939761	0.0819959323	-0.0320605219	-0.0433414521	0.0528326044	0.1030009856	-0.0605468577	0.139686279	0.0565661391	0.0591389312	-0.0243831547	-0.0711978751	-0.0375053695	0.0240140004	0.0207786549	0.0626253127	-0.0211177983	0.0872373111	-0.1036323606	-0.0249963738	0.0536268237	-0.05291745	0.023888678	-0.0720966597	0.0406850859	0.0356747333	-0.1440786622	-0.0301755437	-0.203032194	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.018358	0.0059046999999999	3.4865482089999986e-05	0.000337016164	-0.150686	0.011022	0.0227062705959999	0.000121484484	-0.327101	0.027648	0.1069950642009999	0.000764411904	-0.00259055	-6.059000000000012e-05	6.7109493025e-06	3.6711481000000148e-09	-0.00125527	-7.950000000000058e-06	6.320250000000091e-11	1.5757027729e-06	0.00238469	-3.162999999999994e-05	5.6867463961e-06	1.0004568999999962e-09	0.0	1.024333577	-0.7631086634	-1.084250978	-1.334567968	-2.120435214	-0.03628220756	0.6228001602	0.3060441856
6151.989147765311	-0.6896030569869254	0.4755523762057126	37846970.47422215	8756.037735494325	-40.8726666030816	1670.5748752466618	76668196.82540059	4931.165730120122	6.313583457202185	39.861336071057096	24316395.45791112	5211.871935006768	5765.170684113189	0.837794	23.145039	0.0571563399999999	0.030104	-0.0495098813	0.0647338314	0.0351094734	0.0381792991	0.0131874465	0.077951987	-0.0288348303	-0.0117812635	-0.0383542798	0.0757446349	0.0415726757	-0.0818402427	0.0145978821	0.0523006057	-0.0112888922	0.084896302	0.0744705121	-0.0060373714	0.0734234573	0.040185764	-0.1134725377	-0.0334794174	0.0285803506	0.1625591289	-0.0616972261	0.0065133479	-0.0187457243	-0.0930214528	0.0354089826	-0.015913517	0.0794883461	-0.0352428986	0.0751052976	0.0910612269	0.0260953169	-0.0528348007	0.0427168872	0.0176861488	-0.1090653726	0.1415778287	0.0526656026	-0.1547397442	-0.1226727879	-0.0239641024	0.0705490663	-0.0691322977	0.1449976983	0.2318848586	0.02310757	-0.0045190411	0.0698594159	-0.0651604083	-0.0239911514	-0.063107217	-0.0034778355	0.0389018075	-0.085567026	-0.0913778621	0.0469305461	0.0063279855	0.0917571401	0.0481820346	-0.1094799724	0.1479791166	-0.0070897008	-0.007270543	0.0691862981	-0.0262891108	-0.0318320967	-0.0683241007	0.0703638695	-0.0897689868	0.0034218752	0.1445947036	0.0468255615	0.0906658144	0.0185040074	0.0064511699	-0.0530823097	0.0543447471	0.1267776165	0.0895993537	0.0600685394	-0.0489161807	-0.1387532938	-0.1363544378	0.0239796	0.0617621217	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.00732616	-0.01103184	0.0001217014937855	5.36726203456e-05	-0.148704	0.0019819999999999	0.022112879616	3.928323999999936e-06	-0.307876	0.0192249999999999	0.0947876313759999	0.0003696006249999	-0.00253335	5.719999999999987e-05	6.4178622225000005e-06	3.271839999999985e-09	-0.00135451	-9.924e-05	9.8485776e-09	1.8346973401e-06	0.00204278	-0.0003419099999999	4.1729501284e-06	1.1690244809999999e-07	0.0	1.001869908	-0.7459993926	-1.004057773	-1.384397214	-1.664802711	0.1909158912	0.4027112903	-0.370297568
6156.184121036666	4.194973271354684	17.597800747380216	37898602.932103984	8734.501326934116	-21.536408560208656	463.8168936722287	76291513.43021384	4924.097658243151	-7.068071876970862	49.957640058026406	24246737.747915685	5202.96645175443	5775.018298442692	0.860454	23.771034	0.09465766	0.041747	-0.0468182687	-0.0287257196	0.1423234174	-0.0409144488	-0.1143560582	0.0183371941	-0.0623126903	-0.0346133178	-0.0164237821	0.0214808228	0.0035320576	-0.0479552332	0.0197882839	0.0341819237	-0.0117273498	0.0488350301	0.0748402518	0.0685448839	0.0324010046	0.0318052745	-0.0276565449	0.01916802	-0.0612725801	0.0414639731	-0.0662436693	-0.1719836199	-0.014736669	0.1240205711	0.1254749726	-0.0578410366	-0.0573069852	0.0733903662	0.120085331	-0.0711361749	0.0814484547	-0.1759007373	0.0626273766	0.008194218	0.094905475	-0.0586102931	-0.0123344843	-0.0484356382	-0.0127164099	-0.0142825566	0.0723266006	0.0444289138	0.0540921328	-0.0692852397	0.0469659758	0.0717277884	-0.0388146793	-0.0639359411	-0.0340765708	-0.0610985436	-0.0715965698	0.0775602274	-0.0627917049	-0.01936455	-0.0013195286	-0.0681929745	-0.0709788281	0.042900093	-0.0242961022	0.0535766749	-0.0373592747	0.0080402273	-0.0358975432	-0.1571316527	0.0522323588	0.0057764242	-0.097529323	-0.0447507212	-0.0306450981	-0.0432421722	-0.0188537516	0.2414403884	-0.1382269594	0.0486453694	0.0654093279	-0.0439658783	-0.0227706601	-0.0965496198	-0.0007227618	0.1169540512	-0.0358814072	0.0988239867	-0.080678482	-0.1395228997	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0110178	-0.01834396	0.0003365008684816	0.0001213919168399	-0.14209	0.006614	0.0201895681	4.374499600000011e-05	-0.291074	0.0168019999999999	0.084724073476	0.0002823072039999	-0.00224301	0.00029034	5.031093860100001e-06	8.429731560000003e-08	-0.000883206	0.0004713039999999	2.2212746041600002e-07	7.80052838436e-07	0.00174647	-0.00029631	3.0501574609e-06	8.77996161000001e-08	0.0	0.9494018347	-0.6999204839	-1.046248118	-1.609489253	-1.781159406	0.3349044786	0.4385469471	0.6921048733
6147.954268705401	-8.229852331264738	67.73046939442364	37797341.69009296	8791.923829853067	57.42250291895107	3297.343841476944	77297924.62993823	4921.526238526796	-2.5714197163551944	6.612199357660228	24221420.516507715	5200.265545702592	5753.523239290228	0.8380389999999999	23.151814	0.0442668	0.0250485	-0.034252237	-0.1265476075	0.130515633	-0.0460630873	-0.0787120594	0.0897041591	0.0084289874	0.0190290867	0.0843038377	-0.0409653711	0.0112336072	-0.0171183777	0.0346316858	0.0477306327	0.0167055822	-0.013540994	0.0820289681	0.0272934339	0.0226886283	-0.0582768074	-0.0188533995	0.0721883824	-0.0956246133	-0.0348316477	-0.0782901759	-0.0699735823	0.0455769349	0.0577484168	-0.0739206483	-0.0725499158	-0.0487286875	0.1251956404	0.1175209728	0.045669985	0.091430252	0.0660322113	-0.0889930344	-0.0252005187	0.059918569	-0.0980019973	0.1111138747	0.0843506819	0.1024283053	-0.1033183944	0.0252205862	0.0125725179	-0.1735555759	-0.0238420038	0.1137934277	0.0207361949	0.0256245777	-0.0265898659	-0.0058843352	-0.0554186648	-0.0634219232	0.0419479772	0.0006099064	-0.0073441834	0.1049320229	-0.0405611749	-0.1071917524	-0.0176379437	0.0373006479	-0.0713124701	-0.0390646199	0.0410016345	0.0153460631	-0.1002104821	-0.0380670667	-0.0016457699	-0.1286111344	0.1242593596	0.0369751	0.0051849368	-0.1597962351	0.0854346845	0.0406204765	0.0390291151	0.0726756903	0.1068572974	0.0227046634	-0.0338529831	-0.0833687429	0.137982856	0.0129006963	0.1684737156	0.0143781045	-0.0853417605	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0185351	-0.0075172999999999	5.650979928999999e-05	0.0003435499320099	-0.147438	-0.005348	0.021737963844	2.8601104000000207e-05	-0.287269	0.003805	0.0825234783609999	1.447802500000002e-05	-0.00260066	-0.0003576499999999	6.7634324356e-06	1.279135224999998e-07	-0.000883206	0.0	0.0	7.80052838436e-07	0.00155219	-0.00019428	2.4092937961e-06	3.7744718400000014e-08	0.0	1.030792752	-0.7315486404	-1.113472953	-1.111677315	-1.988675464	-0.1638484642	0.5409057069	-0.3441878748
6145.644205709871	-2.3100629955297336	5.336391043315806	37768942.703175314	8759.128875692006	-32.79495416106147	1075.509018426123	76722338.6609815	4921.330664464894	-0.1955740619023345	0.0382492136889781	24219495.509002477	5199.392393299843	5720.483642083832	0.832744	23.005514	0.0638555999999999	0.0358416	-0.0286258622	-0.0209186156	0.059631625	0.0205925766	-0.075948166	-0.0070949552	-0.0018813631	-0.0206221289	0.0722805193	-0.0596639008	0.0250289902	-0.0167512006	0.0348572564	0.0021722623	0.0576277085	0.0209238164	0.0567519046	-0.0516360418	0.0417043766	-0.0570781795	0.0032001903	-0.0653593317	-0.127531365	-0.0581531411	-0.0972551293	0.0706948855	-0.139072768	-0.0344295615	-0.1199293055	-0.0012115066	0.0107321519	0.0314021849	0.1065577312	-0.0738641406	0.050390991	0.0132736095	0.0326277137	-0.0657002416	0.1456374821	-0.0265365079	-0.1763681441	-0.078935601	-0.0322909505	0.0453909996	0.0628116531	-0.0345069658	-0.0474381271	0.1168293812	-0.1017612035	-0.0574781739	-0.0131209474	-0.0149592661	0.0144030296	-0.0264500526	-0.0084353157	0.0047410177	-0.0122433772	-0.0307842541	0.1457928705	-0.0538838595	-0.0102090112	-0.0596541892	0.1740679156	-0.0149189326	-0.0539242048	0.0950079749	0.0467791173	0.0067592752	-0.0569027421	-0.0328114957	0.0707870953	0.076788997	-0.0800735961	0.0331571206	-0.0891653876	0.0359043527	0.0066695778	0.0708306761	0.0014116459	0.0329846555	-0.0300229039	0.0387331486	0.110673426	-0.0055523091	-0.0958355218	0.0361070503	0.0288647144	0.0251201359	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0194445	-0.0009094	8.270083600000021e-07	0.00037808858025	-0.130377	0.017061	0.016998162129	0.000291077721	-0.287156	0.0001129999999999	0.082458568336	1.2768999999994177e-08	-0.00207039	0.0005302699999999	4.2865147521e-06	2.811862728999998e-07	-0.00103925	-0.000156044	2.4349729936000013e-08	1.0800405625e-06	0.00132306	-0.0002291299999999	1.7504877636e-06	5.250055689999997e-08	0.0	0.980301086	-0.6668179338	-1.248852309	-1.686098909	-0.7354814335	0.02653733929	0.8964969107	-0.7396361839
6157.497475634655	11.85326992478349	140.5000079097768	37914775.16244715	8787.338202964886	28.20932727287982	795.7661451884411	77217312.69328615	4926.766922444646	5.436257979752554	29.55290082242332	24273032.30809469	5204.482024229365	5753.069945352306	0.841859	23.257338	0.0368537999999999	0.0157285	-0.0298183057	0.0246196113	-0.0549196507	-0.0450208131	0.100634009	-0.1082808174	0.0084547612	0.0657772402	0.0023134621	0.0006330824	-0.0004170971	-0.0242576943	0.0360523753	0.0349804463	0.0263794003	0.0029785953	0.0634790496	-0.0801657013	0.0126787088	-0.1126552182	-0.0248575898	-0.1032581413	0.1234422006	0.0130578814	0.0856824123	0.1354828529	-0.0746531297	-0.1042320766	-0.0407139037	-0.0151650543	-0.0611125799	-0.0665831356	0.0235995141	0.0993532816	0.0070068789	-0.1878057161	0.0618792872	0.1578656289	0.04190233	-0.0227770565	-0.038317999	0.0944565131	0.1491374145	0.0471754791	-0.0437264963	-0.1964056861	-0.0736451182	-0.1025868733	-0.047577443	-0.0481045642	-0.0403297597	-0.0270674439	0.0486860722	-0.0148420588	0.045421303	-0.0515787733	-0.0147806442	-0.0802341277	0.0653025847	0.0670943497	0.0594341556	-0.1250924328	-0.0255153446	-0.0117390865	0.0933814936	-0.0575195777	0.0442203092	0.1098712875	0.0007205506	0.0483417366	0.070971047	-0.0143670822	-0.0016623347	0.1652188096	-0.0685891198	0.0172947427	-0.1204807851	-0.0946033916	0.1147426459	-0.1142639926	-0.0715151934	-0.0034252672	0.0728706163	-0.05503282	0.0584767808	-0.0442090095	0.1506908773	-0.1394820193	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0157412	0.0037032999999999	1.3714430889999995e-05	0.00024778537744	-0.134019	-0.003642	0.017961092361	1.3264164000000046e-05	-0.299503	-0.0123469999999999	0.089702047009	0.0001524484089999	-0.00224487	-0.0001744799999999	5.0394413169e-06	3.044327039999995e-08	-0.0010909	-5.164999999999987e-05	2.6677224999999867e-09	1.1900628099999998e-06	0.00120596	-0.0001170999999999	1.4543395216e-06	1.3712409999999994e-08	0.0	1.002136032	-0.6701312131	-0.9990743148	-1.316002326	-1.975103924	-0.2434361332	0.6707777582	-0.06864239534
6160.93291217369	3.435436539035436	11.802224213739777	37957094.34830499	8795.303650707181	7.96544774229551	63.44835773524064	77357366.30814306	4929.818084645396	3.0511622007497863	9.30959077528428	24303106.3476968	5204.679571946927	5781.089352973391	0.831882	22.981709	0.05584286	0.026213	-0.018996737	0.0261113411	0.0013404028	0.0350303674	0.1531121135	0.1251504487	0.0431318594	-0.0124350674	-0.086086823	0.0649144159	0.0598516147	-0.0502986862	0.0270834332	0.0245477172	0.0321252006	0.0140830159	0.0798612773	0.0113718477	0.005125438	0.0314479303	-0.1609939162	0.0086412785	0.1056715056	0.1817471965	0.1042937973	-0.0615628337	-0.019369824	-0.045108693	0.0067803418	-0.1135972975	-0.0854379765	-0.0376241889	0.0506071791	-0.0025683783	-0.0146571022	0.0654549192	-0.088943172	-0.0111072069	-0.1024670155	-0.0587229262	-0.0550058289	0.1577458772	0.1066620282	0.0387416506	-0.0281551881	0.0856726283	0.1406756316	0.0945447453	0.0413644632	-0.1094578964	0.0574157025	-0.0480614126	0.0494754373	0.0065677691	-0.0028145342	0.0110598479	-0.0406908663	-0.1528585797	-0.01527997	0.0708169701	0.0323200688	0.0759280402	-0.1401150166	0.1336655087	-0.0298807531	-0.0873970228	0.0261642545	0.0789644333	-0.101645381	-0.0382594923	-0.1022096177	0.1104100519	-0.0425372037	0.0415520118	0.0444807834	-0.0484037901	-0.0525161542	0.0800183894	0.0524944408	0.0513594811	-0.0210149845	0.0984961413	-0.1235350455	-0.0395986251	0.0490070379	-0.0214273519	-0.03975418	-0.0996121548	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.00436884	0.01137236	0.0001293305719696	1.90867629456e-05	-0.117458	0.0165609999999999	0.013796381764	0.0002742667209999	-0.287172	0.012331	0.0824677575839999	0.000152053561	-0.00198232	0.0002625499999999	3.9295925824e-06	6.893250249999993e-08	-0.00104188	4.901999999999988e-05	2.4029603999999883e-09	1.0855139344e-06	0.00120596	0.0	1.4543395216e-06	0.0	0.0	0.9647112115	-0.4719804498	-0.6264198985	-1.45573576	-2.245017793	-0.4771245922	0.9502600733	0.1790321926
6157.712910395975	-3.2200017777149696	10.368411448487564	37917428.28685727	8735.506957286667	-59.7966934205142	3575.6445440269663	76309081.80080377	4932.95956483243	3.141480187034176	9.868897765528285	24334090.06827176	5210.181268790303	5733.900668148259	0.8347719999999998	23.061554	0.0452493599999999	0.0246708	-0.0263522453	0.0106215962	0.1271486465	-0.0199954032	-0.0727623497	-0.0063791608	-0.0043655071	-0.0376189603	-0.0981546588	0.1205290955	-0.0371573615	-0.0622834046	0.0187837697	0.0185031157	-0.0023769256	0.053426426	0.0944355749	0.0236074015	0.1076072652	0.0443094181	-0.0807514452	0.1080049818	-0.0012948798	0.0915861525	0.1042753802	-0.073607074	0.0262357434	-0.0640481252	0.142772492	0.0832067789	-0.1537492126	-0.126860018	0.0291348384	-0.0451575594	-0.0130584641	-0.1136271369	0.1668471695	0.0442515208	0.1444243596	-0.0057095158	0.0919657033	-0.0540795012	-0.065293233	-0.204350291	0.0199043206	0.0486483474	-0.0345007926	-0.0771669215	0.0442072612	0.041138511	-0.0115081311	-0.0582182587	-0.0178388305	-0.0429079993	-0.0540026931	0.0674707472	-0.067516595	-0.0576347261	0.0146729592	-0.0701773033	-0.0322563317	0.0431668778	-0.2029259615	0.0826161395	-0.0312508067	0.0348385161	-0.0949547851	0.011179873	-0.1014861146	-0.0754934767	-0.0235272143	-0.1900514164	-0.0062374085	0.0694647035	0.0273850561	0.1006047878	-0.2255177315	-0.0096685596	0.0061543521	-0.0616551235	-0.0075945727	-0.0864999057	0.0056718435	-0.0658229427	0.0540844885	-0.0274219634	0.0095099614	0.0692525545	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.012058	-0.00768916	5.91231815056e-05	0.000145395364	-0.118444	-0.0009859999999999	0.0140289811359999	9.72195999999974e-07	-0.264579	0.0225929999999999	0.070002047241	0.0005104436489999	-0.00187965	0.00010267	3.5330841225e-06	1.0541128900000005e-08	-0.000883206	0.000158674	2.5177438276000013e-08	7.80052838436e-07	0.00118768	-1.828000000000008e-05	1.4105837824e-06	3.3415840000000276e-10	0.0	0.9257426408	-0.5890722124	-0.7624851906	-1.961690283	-1.219855397	-0.2168096831	0.6842322883	0.2113072368
