global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_01	aroma_motion_03	aroma_motion_04	aroma_motion_05	aroma_motion_06	aroma_motion_09	aroma_motion_10	aroma_motion_12	aroma_motion_15	aroma_motion_20	aroma_motion_22	aroma_motion_26
5717.258432455395	n/a	n/a	32687043.983482327	9378.0542830537	n/a	n/a	87947902.13590184	4811.412341862707	n/a	n/a	23149688.72342878	6174.811743828489	4919.383316995216	n/a	n/a	n/a	n/a	-0.3183029034	0.0725014153	-0.0342292854	0.095515354	-0.2673820347	0.2978098633	-0.119175228	0.0928843069	-0.0788953954	0.1279437703	-0.1784106606	0.097922253	-0.1664890346	0.1800161179	0.0372683598	-0.1410216383	-0.3175555286	0.0785778911	-0.0475542847	0.0419433081	-0.0716289271	0.1825530096	-0.1240732268	0.0720465666	-0.1771481814	0.0482596461	-0.1254332984	0.0408045743	-0.1377040237	0.1654942676	-0.0492670642	0.104451763	-0.0052046733	0.1676916928	-0.0148134781	0.0900667941	-0.106794403	0.0443527014	-0.0791604378	0.0494342969	0.0379792934	-0.1601406845	-0.0289305404	-0.0314160842	0.0274577256	0.0232856719	0.034362964	-0.102611981	0.0395429116	0.0889186785	-0.0034342903	-0.052236243	-0.0167718806	0.019457111	0.0460914144	0.2155952235	-0.2755608564	0.0467605735	-0.1518904566	0.1530879611	-0.1520306039	0.1908002201	-0.0294801701	0.0884182035	-0.004462352	0.1097764765	-0.3722299602	-0.0057610901	0.0936496269	-0.0983131648	0.1454681562	-0.0150219653	0.054792309	-0.1483323697	0.0372928922	-0.0144941306	0.1115040042	-0.0295175658	0.1745507702	-0.0729620009	-0.0081817701	0.0202561371	0.1030642767	-0.0286239793	-0.0070440837	0.0695774686	0.0124659441	-0.0588336544	-0.0341380893	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.115873	n/a	0.013426552129	n/a	0.459837	n/a	n/a	0.211450066569	-0.7881169999999998	n/a	n/a	0.6211284056889997	0.013212	n/a	n/a	0.000174556944	-0.000950464	n/a	9.03381815296e-07	n/a	0.0061675	n/a	3.803805625e-05	n/a	2.451398585	0.7756960158	-3.250768177	-0.4830139115	0.0009489879301	-2.062720878	-1.510390978	-1.49267881	-4.322980908	-1.662273695	-1.711851768	-0.1245327677
5745.22196488781	27.963532432414468	781.9591460986958	33007575.425829347	9399.678076162623	21.623793108923564	467.5884284175302	88353947.93549228	4813.1921877800005	1.7798459172936418	3.167851489306845	23166819.03650643	6187.239137658943	5094.445400382969	1.43137	29.483089	0.1284777999999999	0.0750007	-0.2935951687	-0.0612628427	-0.0344192917	0.0470264999	-0.1384626564	0.3008851136	-0.1742570234	-0.0072684279	0.1468390691	-0.0229152005	0.0254263098	0.0146731119	-0.0904816987	0.1135105189	0.0376635703	-0.0725789725	-0.300525012	0.0705310061	-0.0660349932	0.0831059646	-0.0754765951	0.1671381575	-0.1117926833	0.0243005155	-0.0845729301	0.0174862457	-0.0467824611	0.0513596449	-0.0021550694	0.1069202081	-0.0287165664	0.0282902322	-0.0857874096	-0.0098498351	-0.0541392954	0.0496549605	0.050930269	-0.0766075307	-0.0635636841	-0.0853842719	0.0449260837	-0.0234748042	0.0052761045	-0.1277096098	-0.0666309179	0.0376454846	0.0956782863	0.0332941367	-0.0159869174	-0.0130131149	0.0098657829	-0.1090382783	-0.0631641111	-0.0973386708	-0.0490170948	0.1900632966	-0.2430160702	0.0083157667	-0.16750781	0.060185224	-0.1206942397	0.2327983701	-0.053069355	0.1799144106	0.1030789482	-0.0265367905	0.0111068805	0.0008727196	-0.0124582527	-0.0419758878	-0.0191400143	-0.014560247	0.1163032588	0.0623511013	-0.0305402417	-0.0025669996	-0.0868294614	-0.0037908112	-0.0355252788	-0.0427559414	0.0233069663	0.0463269348	0.0244111235	0.015618596	-0.123265765	0.0897383994	0.039443269	0.0214589718	0.1200825336	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.133676	-0.0178029999999999	0.0178692729759999	0.0003169468089999	0.440581	-0.0192559999999999	0.0003707935359999	0.194111617561	-0.7286479999999999	0.0594689999999999	0.0035365619609999	0.5309279079039998	0.0126557	-0.0005562999999999	3.094696899999991e-07	0.00016016674249	-0.00097917	-2.870599999999987e-05	9.587738888999998e-07	8.240344359999925e-10	0.00622149	5.398999999999942e-05	3.87069378201e-05	2.914920099999937e-09	2.375994522	1.779456487	-2.638643136	2.181735797	-0.1282777822	-3.324410193	0.1205829819	-0.5076849688	-1.29465751	-2.592366764	-1.40119171	0.880752666
5751.330268737708	6.1083038498982205	37.31137592268142	33077799.86009856	9389.47918822826	-10.198887934362574	104.01731509768648	88162319.42617163	4823.446700709382	10.254512929381235	105.15503541884692	23265638.07458422	6194.240518227954	5114.566762583819	1.008573	20.774387	0.141515	0.0734026	-0.2772337107	-0.0878385876	0.0546640812	0.0270990422	-0.2272432039	0.1079900879	-0.099561638	0.1085610545	0.0405265973	0.0513558631	0.0861365289	0.0127926715	-0.1036890992	0.0229118848	-0.1280122482	0.0303634299	-0.2435927426	0.0591905347	-0.0162246773	0.0843225834	-0.1123267285	0.1452500215	-0.0099496866	-0.0171334288	-0.0626248362	-0.0434241891	0.1363378111	0.0119398258	-0.0347182095	0.049139712	-0.075015104	0.0344754957	-0.0251974133	0.0044980824	-0.1313374223	0.0655987999	0.0872799748	-0.0069414206	0.0394407119	0.0618278074	0.0972675555	0.0145154879	-0.0930628493	-0.0053690369	0.0343253316	0.0571942765	0.0667403307	0.0482413193	0.079772172	-0.0251905158	-0.0654605199	0.0359987691	0.0917921463	0.0524498107	-0.0151603077	0.2223285077	-0.135476086	-0.0336523991	-0.0965419117	0.0737637705	-0.1370669224	0.0415173756	0.003258442	0.0746038766	0.0145415645	-0.0371385621	-0.0829248342	0.0026221933	0.0266513791	-0.0165854133	-0.0372392687	-0.0102814874	-0.0505002118	-0.0182271861	-0.0162151741	-0.0342264988	0.0157772386	0.0177703758	-0.1703876545	0.1165216034	-0.1136077069	-0.023315876	-0.0015247016	0.0467567628	-0.0258788438	-0.0560595082	-0.0801082708	0.0613419082	0.0715006781	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.117378	0.0162979999999999	0.0137775948839999	0.0002656248039999	0.41988	-0.020701	0.000428531401	0.1762992144	-0.675821	0.0528269999999998	0.0027906919289999	0.456734024041	0.0120611	-0.0005946	3.535491600000008e-07	0.00014547013321	-0.00123336	-0.00025419	1.5211768896e-06	6.461255610000002e-08	0.00640648	0.00018499	4.10429859904e-05	3.422130010000012e-08	2.340452094	1.787113496	-2.842262207	1.928559593	-0.1853832742	-2.495994499	0.3605817725	0.5867492219	-1.478608306	-1.952670771	-1.075718019	2.472233587
5743.883186433187	-7.447082304521245	55.459034850313465	32992194.05938986	9369.54656117478	-19.93262705348025	397.3096212531326	87788402.76202215	4827.959502354507	4.512801645125364	20.3653786882462	23309192.956375174	6203.139946191554	5123.490092076138	1.088095	22.412378	0.2977556999999999	0.153587	-0.2219395823	-0.0550206869	0.1091761334	0.0498019213	-0.1828188091	-0.0618650404	-0.0430033566	-0.0150177912	0.1969394325	0.018190105	0.1071583149	-0.0675296419	0.01302192	-0.0344978046	0.0049500924	0.0027035821	-0.194865764	0.0401284451	-0.0445818878	0.0265710158	-0.0333139931	-0.0413835256	-0.0194961208	0.0710571974	0.0053026391	0.0080690635	0.2070891593	-0.0024806503	-0.0160637133	0.0076067827	0.0487323266	0.0544944292	0.0957434627	-0.0589010476	-0.003649368	-0.1344887403	-0.1300442354	-0.0734402802	0.0751239513	-0.0386807206	0.0929638953	0.0582020146	-0.0196654743	0.0173650492	0.0217126926	-0.1683804036	-0.2595913496	-0.0257280727	-0.0349420175	-0.0189256358	0.1177568068	0.0044604266	0.026890697	0.15472697	-0.0151382275	0.2112160645	-0.0493996895	-0.0449575425	-0.0014508244	-0.0819107179	-0.0446209328	-0.0691734123	0.014236218	0.0798129074	0.03977752	-0.1131103979	0.1543679089	-0.0278405159	0.0093746211	0.1482301229	-0.1738666491	0.0511026336	-0.1069158419	0.0592628077	-0.1168261371	0.0098899993	0.0025236432	0.009463421	0.0086744756	-0.016488738	-0.0275806871	0.0332910767	-0.1275190806	-0.0399258798	-0.0532163611	-0.1008393364	-0.0354251601	0.0458267428	-0.1645222803	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0801512999999999	0.0372267000000001	0.0064242308916899	0.00138582719289	0.364837	-0.0550429999999999	0.0030297318489999	0.133106036569	-0.563995	0.1118259999999999	0.0125050542759999	0.318090360025	0.0109767	-0.0010843999999999	1.1759233599999984e-06	0.00012048794289	-0.00160015	-0.00036679	2.5604800225e-06	1.3453490410000005e-07	0.00682849	0.00042201	4.6628275680100006e-05	1.780924401000004e-07	2.083974882	1.841338767	-2.535783119	2.548358123	-0.6636298841	-2.826979436	1.173815248	1.099206897	-1.077702802	-2.228396706	-0.5671946419	1.467360257
5742.648085624227	-1.2351008089599418	1.5254740082935023	32978007.0353236	9396.475593257632	26.929032082851336	725.1727689192365	88293753.57468636	4833.004333975656	5.04483162114866	25.450326085741416	23357930.89222747	6216.180543232982	5084.717557046808	1.052574	21.680708	0.1299785	0.0693419	-0.1915524525	0.0056782988	0.1035059487	-0.012450139	-0.1998011743	-0.1011649325	-0.0385353152	-0.0410384587	0.0455578309	-0.0989531279	-0.0790096449	0.0117883177	-0.1284944911	0.0791350146	0.0558942229	0.0955575919	-0.1489130285	0.0784615627	-0.0425051819	0.0270575092	-0.0047611822	-0.108852486	0.0379626305	0.1502970641	0.0559608761	0.0621225964	0.2507706177	0.0487982826	0.1877007131	-0.1554352806	0.147184194	-0.1929400866	-0.0427510416	0.0729723975	0.1335314127	-0.0482959016	0.0740689648	-0.0287832167	0.2540607701	0.1132055	-0.0829424005	0.029319174	0.0508238411	0.1765165253	-0.0143656538	0.1494618059	0.0918026273	-0.1146858629	0.0085464553	0.0554887217	-0.0364330175	-0.0657610763	-0.0863034393	0.0192419426	-0.0756262325	0.1716658502	-0.0033157319	-0.0911985282	0.0228590532	-0.0857693401	-0.0080736375	-0.1566982858	-0.0227701522	0.0032581908	0.0688685544	-0.0981656538	-0.1016848569	-0.1664181074	-0.0878919199	0.1159955148	-0.0472829142	-0.1659978787	-0.2469389104	0.2021238387	-0.037226601	0.0649454721	-0.0196010256	0.0518456766	0.0335183839	0.1234753851	0.0316905751	-0.032875389	0.0217982572	-0.1322670061	0.1384124453	-0.0996773155	-0.2490145583	-0.0607859392	0.0439414519	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0598373	0.0203139999999998	0.00358050247129	0.0004126585959999	0.33324	-0.031597	0.000998370409	0.1110488975999999	-0.513675	0.05032	0.0025321024	0.263862005625	0.010557	-0.0004197	1.7614809000000024e-07	0.000111450249	-0.0014649	0.0001352499999999	2.1459320100000004e-06	1.8292562499999988e-08	0.00682849	0.0	4.6628275680100006e-05	0.0	1.926440673	1.443511972	-2.811287425	1.998987862	-0.7755203324	-2.264811643	1.020599914	0.8899261911	-2.164290558	-1.496975168	-0.1013508456	-0.02313012349
5731.690792903282	-10.95729272094468	120.06226377246723	32852279.345452257	9333.918704406742	-62.55688885088966	3913.364342702564	87122038.38047403	4823.73858747927	-9.265746496385873	85.85405813528708	23268453.960336503	6193.37218768692	5089.489543492156	1.216756	25.062494	0.2191417	0.0983389	-0.2134416824	-0.0182799426	0.155980809	0.1382557669	-0.113525865	-0.2631237504	-0.2693722585	-0.0668921617	0.1911836365	0.1783964302	0.2402412409	-0.2270335869	0.2217209126	-0.2653794049	-0.016795285	-0.1560727964	-0.2113654981	0.0409263743	-0.0899507781	-0.0186035129	0.1707599462	-0.0420563438	0.0319051417	0.0520672231	0.0215418323	-0.1585016353	-0.0560670713	-0.0379340112	0.2692879701	-0.1361639887	0.0542816625	-0.1156878453	0.12628738	-0.218629249	0.0880144881	-0.074832203	0.0965747105	-0.1089553507	-0.1186222819	-0.0615841293	-0.0459381248	0.0173382626	-0.0241634241	0.0014248914	0.0928152104	-0.0596435687	-0.1395529457	0.1339367965	-0.1869815475	-0.0290373242	-0.058136135	0.1804543994	0.1260173806	-0.0422480242	-0.0639169138	0.2498592776	-0.0217277092	-0.0195342524	0.0217298905	-0.3166676577	0.0228727017	0.051529451	0.054079312	-0.0355449989	-0.2089021815	-0.2269481853	0.536342229	0.0932303216	0.06616101	0.0445856815	0.0007444101	0.0229735877	0.1173219369	-0.0384635747	0.1286380759	-0.0938236906	0.0143342629	-0.0974208569	0.0156726917	-0.0050616847	-0.0801785249	0.0079478218	0.1127258133	0.0690448412	0.0199063305	0.0679286864	0.0289879729	0.0317668659	0.0227439163	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0240606	0.0357767	0.00057891247236	0.00127997226289	0.295089	-0.0381509999999999	0.0014554988009999	0.0870775179209999	-0.58615	-0.0724749999999999	0.0052526256249999	0.3435718224999999	0.00967967	-0.00087733	7.697079289000014e-07	9.36960113089e-05	-0.00184368	-0.00037878	3.3991559424000004e-06	1.434742884e-07	0.00702716	0.0001986699999999	4.9380977665600005e-05	3.9469768899999904e-08	2.227236116	1.471810798	-2.185049703	2.471677954	-1.036269617	-2.025972731	1.434266696	0.8325968706	-0.6589154894	-2.724103658	-1.878163702	-3.517035437
5742.975406779108	11.284613875825926	127.34251032648302	32981766.52286966	9409.671690090256	75.75298568351354	5738.514839966608	88541921.31528601	4832.380343082642	8.641755603372076	74.67993990841266	23351899.780211512	6225.354022552395	5121.570097529812	1.386531	28.559505	0.49683909	0.289588	-0.0958150814	-0.0110342402	0.2544556133	-0.0733549476	-0.3223517224	-0.3638549842	0.2366914464	0.2625706513	-0.2594276755	-0.1585585295	-0.1314905722	-0.0287782117	0.129971739	-0.0032737379	-0.0124440284	0.0942499377	-0.1383308879	-0.0646691089	0.0194053808	-0.0226332083	0.0918955192	-0.131617112	0.1308453543	-0.152666278	0.0031419261	0.0539532188	-0.2376330761	-0.0482125563	-0.0493213541	-0.2470298379	0.0054295716	-0.0336689457	0.0994524483	-0.1275543731	0.0292819417	0.1381481088	0.0029881482	0.1922515795	0.065072905	-0.0289106904	0.075886186	0.0020231353	0.02513638	0.0878191825	-0.215141924	-0.039841759	0.0279326742	0.0084378733	0.1165100176	-0.0881398129	-0.1671780007	0.1133729157	0.0514760837	-0.0789586907	0.0462847493	0.2384364441	0.1316872748	-0.2286282458	0.2130767806	-0.0955916836	0.0020490523	-0.3402812853	-0.0658549122	-0.4982418785	-0.1354968761	-0.0103470847	-0.2382512793	0.1140719547	-0.0356492355	0.0286508346	0.0384504826	0.1275925225	0.1244085413	-0.048733847	-0.0532278827	0.046295136	-0.0537583389	0.0915744775	-0.0405255686	-0.0406727318	0.030767482	-0.0110643384	-0.0038238954	0.0833307301	-0.0675081743	0.0609103287	0.103131106	-0.0608643731	-0.0256190706	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.00951651	0.01454409	9.05639625801e-05	0.0002115305539281	0.219329	-0.07576	0.0057395775999999	0.048105210241	-0.444258	0.1418919999999999	0.0201333396639999	0.197365170564	0.00560686	-0.00407281	1.6587781296099996e-05	3.14368790596e-05	-0.002386	-0.00054232	5.692996e-06	2.941109824e-07	0.00634943	-0.00067773	4.03152613249e-05	4.593179529000007e-07	2.106465426	1.512505052	-2.274015422	2.930344119	-1.354441451	-0.3604482573	2.906965795	0.6043905601	-1.476697452	-0.09020372203	-2.17420997	-1.242655241
5743.023117394486	0.0477106153775821	0.0022763028197075	32982314.52692748	9391.55860349643	-18.11308659382485	328.08390595539737	88201373.00290783	4835.309078544481	2.9287354618390964	8.577491405433864	23380213.88505468	6222.37138325647	5057.941375039052	1.158329	23.859047	0.1408012099999998	0.0835457	-0.039361633	0.0773814839	-0.0139025497	0.0219609223	-0.0452943547	0.015132683	-0.0062975174	-0.1450775417	-0.1378574711	-0.0477604663	-0.1301910608	0.2751449035	0.0643204496	-0.1232202936	0.007677355	0.1666609274	-0.0943719318	-0.0431020488	-0.0030421104	0.0181456387	-0.0180123873	-0.2271340777	0.0694194359	-0.1410596176	0.1529037611	0.0202619425	-0.0986218927	-0.024740486	-0.0277890949	0.0701087622	-0.0974548681	0.0539736978	-0.0803914673	-0.0564831091	0.010408365	0.0785246206	-0.0054949664	0.0635527892	-0.0131499617	-0.0431441165	-0.2336550884	-0.0465831113	0.0813991168	-0.1579778132	0.0057504515	0.0942573944	-0.0447518516	-0.0651637338	0.03845071	0.1405698256	0.2007563798	-0.0739479642	-0.0504346246	-0.1709556411	0.1226122878	0.0391159464	-0.0356515598	-0.0370889067	0.1404945547	-0.0185540092	0.1516142108	-0.0853919241	-0.0282344106	0.0168683321	0.0295547214	0.3466858496	-0.0811169952	0.067828147	-0.112526769	-0.0940778925	0.0303803405	0.013714374	0.0077442672	-0.1036255782	0.0251226974	-0.0066255679	0.0521225877	-0.1297048686	-0.024638836	-0.0196875318	0.0998785366	0.0622185382	-0.2266360946	0.0878198429	0.164102396	-0.0779732015	0.090124459	0.0265815665	0.0671999528	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0105592	0.02007571	0.0001114967046399	0.0004030341320041	0.219312	-1.6999999999989246e-05	2.8899999999963437e-10	0.048097753344	-0.372219	0.0720389999999999	0.0051896175209999	0.138546983961	0.00544146	-0.0001653999999999	2.7357159999999864e-08	2.9609486931600005e-05	-0.00290164	-0.0005156399999999	8.4195146896e-06	2.658846096e-07	0.00605708	-0.0002923499999999	3.66882181264e-05	8.546852249999965e-08	1.861415699	1.438236135	-2.244922348	2.683321843	-1.844351512	-0.9164198459	1.840797674	-0.05826220165	-2.209751494	-0.1844087032	-0.8659207092	0.5798926213
5743.168247509739	0.1451301152528685	0.0210627503533109	32983981.519204084	9382.436726797376	-9.121876699055065	83.20863451276372	88030118.93235625	4834.786999253794	-0.5220792906866336	0.2725667857638584	23375165.32815351	6215.325353091248	5008.021774898356	1.074198	22.126122	0.1811542	0.0985482	0.0117570454	0.1142874852	-0.0923240726	0.0727942837	0.1002025359	0.1454528283	-0.0489065265	-0.309017155	0.0531155006	-0.1645344086	0.0170171567	0.0765410078	0.0851266475	-0.0323877407	-0.0333415976	0.0031284853	-0.0459505456	-0.090920111	0.0392226271	-0.0409674494	0.0407906486	-0.1439583529	0.1470238323	-0.1939905399	0.1815184691	0.1184983438	-0.0818954128	0.0238362865	-0.149533499	-0.0944261257	-0.037274172	0.0732357687	-0.1200426133	0.1918315957	-0.111686204	-0.1278517112	-0.0901400185	0.1327220378	0.1129024958	0.0645781688	-0.1791426638	0.1707754222	0.0539328526	-0.0309815552	0.0580773725	-0.0538520861	0.0379497748	0.1098479998	-0.0175389173	-0.1640629322	0.0913960757	-0.025552263	-0.0501605548	0.0675080561	0.0990091936	-0.0437614397	-0.0884613514	0.0694088057	0.142266554	-0.0063063321	0.2200797313	0.0515547069	0.0394719585	0.1234152473	0.1525051676	0.304884253	0.1108840218	0.1348572334	-0.1559360607	-0.0051070087	-0.0490456054	0.0043337893	0.0683720738	0.1073776855	0.0641005839	0.2307104321	-0.07681632	-0.0302503708	-0.0946870467	-0.0973259787	0.1017708263	-0.0845237266	-0.0046704706	-0.1113760511	0.1478144131	0.0357900451	0.1942495645	-0.0892565582	-0.1810014495	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0177034	0.0071442	0.00031341037156	5.103959364000002e-05	0.185886	-0.033426	0.001117297476	0.034553604996	-0.29271	0.079509	0.0063216810809999	0.0856791441	0.00488124	-0.00056022	3.138464484000002e-07	2.38265039376e-05	-0.00267933	0.0002223099999999	7.178809248900001e-06	4.942173609999994e-08	0.00561811	-0.00043897	3.15631599721e-05	1.926946609000003e-07	1.82562023	1.403282706	-2.145346285	2.231246877	-2.15849642	-0.5202992883	2.258042256	-1.039582484	-2.420364189	-0.2543925208	-0.06096046954	0.2315059765
5775.3089501653385	32.14070265559985	1033.0247671956834	33354193.469859865	9399.047666141954	16.610939344578583	275.9233059092688	88342097.03040852	4859.694228031551	24.907228777756245	620.3700453874889	23616627.98996317	6237.953352030022	5089.165028284897	1.160371	23.901106	0.2289166	0.123938	0.1023355954	0.0367252637	-0.0733853667	0.0284255107	0.0858234338	0.086903197	0.0203822503	-0.1475029327	-0.2109421747	-0.2066653936	0.0480883355	-0.0228929468	0.0502356996	-0.0682858528	-0.0326201336	0.0455544441	0.089892989	-0.0259103539	0.1988891572	-0.0517518852	-0.0001742446	-0.2377129477	0.0995498465	-0.0654218268	0.092513004	-0.0700263211	0.000568348	-0.042682038	0.1240242617	0.1461473956	0.0720330878	0.0773270895	-0.1205868136	0.0905400168	-0.0014001971	-0.1628218482	-0.0626060362	-0.0945858185	-0.0992189385	0.1037291187	0.1410260134	-0.0484985132	0.0259720396	0.1029683284	0.0912348551	-0.1446793152	0.0750918639	0.0083339105	0.0037199888	-0.002992941	-0.0484730536	0.0047391124	-0.0366294625	0.006486007	0.0418529035	-0.1058116146	0.00654293	0.0664711249	0.0720971403	0.055945684	0.2667829326	-0.1408486589	-0.0332390762	0.1211365325	0.0015733208	0.1290380231	0.0304371564	0.0287826043	-0.1267804539	-0.1490958562	0.033060659	-0.1340810184	-0.0519367971	0.214023479	-0.0113833152	-0.0917987278	0.0970389556	0.1463735697	0.1218201627	0.0510761543	-0.0166377631	-0.0044848383	0.0123148176	0.0220419351	-0.0573330275	0.012309135	-0.037501512	0.0389851795	-0.0888184919	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0270085	0.0093051	0.00072945907225	8.658488601000001e-05	0.134621	-0.051265	0.002628100225	0.0181228136409999	-0.204172	0.088538	0.007838977444	0.041686205584	0.0039647	-0.00091654	8.400455716000008e-07	1.5718846089999997e-05	-0.00283355	-0.0001542199999999	8.029005602499998e-06	2.378380839999988e-08	0.0050927	-0.0005254099999999	2.593559329e-05	2.760556680999996e-07	1.691232381	1.476811613	-2.095605965	1.976114491	-2.419997895	0.09086710674	2.190807007	-0.8890609683	-1.809264833	-0.06570739455	0.188636517	-0.01492450593
