global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_02	aroma_motion_04	aroma_motion_09	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20	aroma_motion_21	aroma_motion_22	aroma_motion_23
6139.513443001562	n/a	37693625.3167969	n/a	9652.655773487752	n/a	93173763.48144642	n/a	5355.156454751832	n/a	n/a	28677700.65487021	5760.039779660714	5956.377125347447	n/a	n/a	n/a	n/a	-0.0438374449	0.0652298788	-0.0577057295	-0.0293608362	0.0086845158	-0.1165356752	0.162478607	0.0319758465	-0.0249717637	0.0919915959	-0.0005817524	0.0742148945	-0.0378740528	0.0539568575	-0.1012587683	0.012982952	0.084218061	-0.0053634241	-0.0020997058	0.0407431762	-0.0551613372	0.067555697	-0.0196569248	0.1279525697	-0.1703410283	0.1301599777	-0.0644784174	0.0427151435	-0.0003527204	0.011774439	-0.1767981343	0.0142799389	-0.1513661485	0.0650414099	-0.021888061	0.0555851595	-0.0012052018	-0.0853319985	0.0582091085	-0.03487182	0.0357859114	0.0308675147	-0.0882464849	0.1236929193	0.0118955914	-0.0601056405	-0.0233094039	-0.0061138704	0.0585370875	0.0163460345	-0.111773185	-0.0940277363	0.1518766956	0.0272634912	0.087657962	0.115035472	-0.0699981304	0.0063330036	-0.078490471	0.0132515113	-0.0849631149	0.1594113319	-0.0557547166	0.0269218119	-0.0330501197	0.0246985435	-0.1936266938	0.0739744317	0.0111082728	-0.0745158198	0.0056632533	-0.0294621885	0.1771072176	-0.0293197901	0.032236804	-0.065041206	0.0135154781	-0.012171858	0.0909647812	-0.0750040705	0.0541601824	0.0792372494	-0.1490717764	0.0042171235	0.1155300846	-0.0674554294	0.0570806533	0.0140369052	0.0063970675	0.0003793721	0.0501529586	-0.0718961774	0.0132249895	0.0157845387	0.0110861401	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0130785	n/a	n/a	0.00017104716225	-0.0897168	n/a	n/a	0.00804910420224	-0.0888252999999999	n/a	n/a	0.0078899339200899	-3.87591e-05	n/a	n/a	1.50226783281e-09	0.00071288	n/a	5.081978944e-07	n/a	0.000599947	n/a	3.59936402809e-07	n/a	-1.048679662	-1.107213981	-0.1628571098	-2.367581057	-0.2228784039	-1.041705936	-0.2841109322	-1.049214057	-0.4679567615	0.6581342727	-1.537189721	-1.99301814	-0.240950994	-0.9240598891	-1.65893894	-1.849814618	-0.6570434483
6129.687374225158	-9.8260687764041	37573067.30573531	96.55162759862355	9669.639988553912	16.984215066160687	93501937.50824092	288.4635614135997	5354.681789684508	-0.4746650673241674	0.2253069261378564	28672617.068778884	5756.860518674599	5984.32415003372	0.910645	25.12224	0.0758860949999999	0.0539295	-0.0549089689	0.0808926064	-0.1550199201	-0.0155516965	0.009460591	-0.1311221466	0.0042332582	-0.0429838857	-0.0556613454	0.1246783373	-0.0244590047	0.0583639216	-0.1028618865	0.0472244636	-0.139386914	0.0029023524	0.0830984391	-0.0843273637	0.0083203846	0.0158083385	-0.042384316	-0.0601748681	-0.0110077205	0.1690935081	-0.1227643024	-0.0297578085	-0.0187541555	-0.0768498102	0.1244924397	0.0186622817	-0.1595786217	-0.1231083578	0.0590277493	0.0543865114	-0.0142693955	-0.035939202	-0.1274696531	-0.0196386021	0.0855042029	0.0107363913	-0.0534507442	0.0018880504	-0.0954508011	-0.052813814	-0.0557819981	-0.0004803743	-0.0313207841	-0.2458085139	0.0371732587	-0.0493689489	0.0403537569	-0.1390963957	-0.099560601	0.0839068224	0.0732773129	-0.2256161158	-0.054193678	-0.0917631675	-0.092366181	0.0312074047	0.0036342478	0.1126871419	-0.1210609919	-0.0717851268	0.0053707616	0.0080366666	-0.0633662927	0.1139563484	-0.0337904986	0.0565707799	0.0553728288	0.1136657258	0.0974133312	-0.1511187581	0.1527140517	0.1178649573	-0.030008059	-0.0213224791	0.0989508431	-0.0527119104	0.0823712038	-0.1138902462	-0.0585106205	-0.0443097735	-0.1123551027	0.0403763474	0.0055082253	-0.1500891003	-0.0078820472	-0.0190390379	-0.0998045867	0.1565175656	0.0022766521	-0.0400332041	0.0215038629	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0104831	0.0025953999999999	6.736101159999997e-06	0.00010989538561	-0.0962339	-0.0065170999999999	4.247259240999997e-05	0.00926096350921	-0.0381089	0.0507163999999999	0.0025721532289599	0.00145228825921	-0.000305542	-0.0002667829	7.117311573241e-08	9.335591376400001e-08	0.000765925	5.304499999999994e-05	5.866411056249999e-07	2.813772024999993e-09	0.000601263	1.3160000000000125e-06	3.61517195169e-07	1.7318560000000329e-12	-1.270216987	-1.480558637	1.548734567	-2.168628816	-0.2875282028	-0.4737317432	0.67549999	-1.275897624	-0.3013779695	0.6451455514	-1.52343206	-0.9536765532	0.2273982716	-1.195889104	-1.089012888	-1.87899242	0.1949290936
6168.363792991209	38.67641876605103	38048711.8826849	1495.8653685669442	9676.012593469542	6.372604915630291	93625219.7089812	40.61009341071534	5375.644183902217	20.96239421770952	439.42197133866136	28897550.391921736	5776.894982880405	6092.386907314499	1.087831	30.010313	0.0431763	0.030881	-0.0013811573	0.0622583543	0.0828073672	-0.0423594268	-0.0440578744	-0.0372446774	0.1000383853	-0.1145076907	0.0163413988	-0.0017683512	-0.0439588909	0.1655125871	0.0556039999	0.0094970305	-0.1110552428	-0.0603718561	0.0153716094	-0.050533169	0.0704619745	0.0351890003	0.0668706438	0.0558752538	-0.0927865907	-0.0498075361	-0.0110014657	0.0144251506	0.0245442721	-0.0363324766	-0.0890531383	-0.1597103526	-0.1510537251	0.0809616351	0.1117594434	-0.119131586	0.0725626494	-0.0022978034	-0.1359930294	-0.0426042761	-0.0144163106	0.0152077831	-0.0157628142	0.1294367365	-0.0205402364	0.0722989286	0.0469341176	0.0892573433	0.0908048229	-0.0618427399	0.0017052485	-0.0314862119	0.0353750579	0.0096788092	0.025556177	-0.0331366568	0.1144673383	0.0599358607	-0.009353834	-0.0355359449	-0.0191923327	0.0447897032	-0.0826060702	-0.0601091214	-0.0397302856	0.0942346549	-0.0592750529	-0.0587790152	0.0108118105	0.0135603258	-0.0512425555	-0.0206469612	-0.1354380342	0.0352648094	0.152475957	0.1450847168	0.1479336039	0.0321855463	-0.0819532624	0.0340338651	0.0697366742	-0.0361906605	-0.0975632167	0.0124392504	0.0016984141	0.028666644	-0.0789422742	0.0789906136	-0.1382602466	0.0076770265	0.0058913778	-0.0455383824	-0.0112639066	0.0937202856	-0.0958006974	0.1324278549	-0.0371604537	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0128927	-0.0024095999999999	5.806172159999998e-06	0.00016622171329	-0.0924368	0.0037970999999999	1.4417968409999983e-05	0.00854456199424	-0.0682244	-0.0301155	0.00090694334025	0.00465456875536	-0.000305542	0.0	0.0	9.335591376400001e-08	0.0008311549999999	6.522999999990003e-05	6.908186340248338e-07	4.254952899986958e-09	0.000673115	7.185199999999996e-05	4.53083803225e-07	5.1627099039999954e-09	-0.8457873847	-0.3014974203	0.4242536937	-1.592857808	0.3162141989	-1.603908531	-0.6150728954	-1.289906713	0.6204276985	0.1972424069	-1.865786554	-0.8584468995	-0.3936048905	-0.0820958672	0.5859690576	-0.6503577475	-0.722960344
6149.707568889052	-18.656224102157463	37818903.18285129	348.0546977499212	9652.425826585488	-23.58676688405467	93169324.33773454	556.335572042738	5375.2764166465	-0.3677672557168989	0.1352527543775389	28893596.55535604	5777.239288914232	6082.04088438935	1.014424	27.985212	0.1127333	0.0596755	-0.0074709489	0.0991896115	0.0993901953	-0.0825864832	-0.1313194822	-0.0288072203	0.1218678334	-0.0038875022	0.0832714984	-0.1143419696	0.0273182631	-0.1026474377	0.0507287895	-0.0971955971	-0.063962288	-0.0260879941	0.0678604918	0.1409487574	-0.1131762851	0.0648583699	-0.068631865	0.0976048241	-0.0734797526	-0.0706718245	0.0796456097	0.0917753408	0.1155995015	0.0278926358	0.0908034332	0.0036059774	-0.1141143704	0.0206409116	0.0375245967	-0.0095925958	-0.1527478219	-0.0683253655	-0.0872339431	-0.0799482425	0.0302169503	-0.0860625765	0.1325637341	0.129294149	-0.0493447181	0.0461144692	0.0276662839	0.0316857743	0.0658609081	0.0262953791	0.0130688772	0.1402870714	-0.1427031036	-0.0921488104	-0.0500405901	-0.0340818357	-0.1545275932	0.1157222484	-0.0384421754	0.1674051905	-0.1071312417	0.0127704363	-0.0242104172	-0.0345445466	0.1514578876	0.0189830229	0.0517168307	0.0012076969	-1.4114e-06	-0.1027124149	-0.0973498276	0.0286213917	0.0930416443	0.0633829363	0.1361399067	0.0478069168	0.1247699847	-0.0940578247	-0.0827352035	-0.0584651018	0.094313688	0.0021246397	0.0058758377	-0.068685182	-0.1998126917	0.091995848	0.0654052861	0.1076310638	-0.0478049116	-0.0167763774	0.0220527143	0.0474319952	0.0594195458	-0.1753639348	0.0567133814	0.0070631468	-0.0209423804	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0169483	-0.0040555999999999	1.6447891359999995e-05	0.00028724487289	-0.0402058	0.052231	0.002728077361	0.00161650635364	-0.0536985	0.0145259	0.00021100177081	0.00288352890225	0.000149717	0.000455259	2.0726075708100002e-07	2.2415180089e-08	0.000556925	-0.0002742299999999	3.10165455625e-07	7.520209289994518e-08	0.000564188	-0.0001089269999999	3.18308099344e-07	1.1865091328999996e-08	0.3410568081	-0.943482538	-0.06877398456	-2.150242603	1.073602594	-2.051366353	0.06174411705	-1.198704973	0.6355382125	0.6360253118	0.1730252391	-2.772673067	-0.4895809337	0.806302265	-0.8905859195	-0.4374346063	-0.2165770389
6137.613324212005	-12.094244677046843	37670297.317544736	146.27075430827594	9695.374635260714	42.948808675226246	94000289.31805682	1844.6001666211887	5374.017591895388	-1.2588247511121151	1.584639754012479	28880065.078001108	5781.8451591895455	6042.247038521388	1.043033	28.774456	0.15164861	0.0886474	-0.0756510709	0.0348964787	0.0479290794	-0.0171723464	-0.1005331552	-0.0267755199	-0.1275237489	-0.0938047952	-0.0942608771	-0.0265965008	0.0895873784	-0.0991562977	-0.1190323286	-0.0607597704	-0.0637453008	-0.0423640398	0.0355661758	-0.1421432302	-0.0352916657	-0.0212436196	0.0738819449	-0.0858162405	-0.1510545914	-0.1614918052	0.039184627	-0.0172240651	0.0499462045	0.135187767	-0.1457063104	0.0971718641	0.0885237863	0.0064341491	-0.0152903276	-0.1593314529	-0.0144202784	0.0721741801	-0.1342539262	-0.0597650804	-0.0232911874	-0.0695695963	0.1216215483	-0.0922532378	0.044282495	0.0364830666	0.1018023639	-0.0893705655	0.1531011428	-0.1002252024	0.0030111039	0.0069834429	0.2364868275	0.0009695644	-0.0610467549	0.0190604346	0.029902909	-0.030767	-0.0298431207	-0.1070376343	-0.0455458465	-0.0450048174	-0.0821866579	-0.2587547099	0.0033155814	-0.0521246315	-0.0673457813	0.1163403601	0.0690589499	-0.1001166659	0.1661845505	-0.0250320481	0.0571126445	-0.0958930576	-0.005909522	0.0688224898	0.0893070319	-0.0173786899	0.0902814183	0.0299035963	-0.0009047804	-0.0140058535	-0.0240782451	-0.1487786857	-0.0305601139	0.1253797838	-0.1029288573	-0.1368081831	-0.0415174826	-0.0434500573	-0.0297648945	-0.1521345372	0.0537632499	0.0596103665	-0.0550339237	0.1215826619	0.0549338316	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0181858	-0.0012374999999999	1.5314062499999975e-06	0.0003307233216399	-0.0954047	-0.0551988999999999	0.0030469185612099	0.00910205678209	0.00808676	0.06178526	0.0038174183532676	6.53956872976e-05	0.000159652	9.935000000000006e-06	9.870422500000011e-11	2.5488761104000003e-08	0.00120421	0.000647285	1.4501217241000002e-06	4.189778712250001e-07	0.000575507	1.1318999999999978e-05	3.31208307049e-07	1.2811976099999949e-10	-1.074631631	-1.169033471	1.253792709	-0.9766057402	-0.7285366923	-1.184002325	0.4059353411	-1.776409411	1.958929888	-0.515661205	-1.696112012	0.4404419907	-1.248842228	1.283160098	0.006983973588	-1.149468947	0.704157413
6141.342293558998	3.728969346992926	37716085.166656494	13.90521239081285	9621.913190821915	-73.46144443879894	92581213.45171276	5396.583819034743	5371.8974277253055	-2.1201641700827167	4.495096108102535	28857281.974001758	5775.032286079036	5911.512142202565	1.121803	30.947525	0.14961528	0.0703909	-0.077708523	-0.1852033208	0.0243751732	0.1402887514	-0.0460742258	0.0829712652	0.1062331154	0.0332309447	-0.0836448693	0.0264801048	0.0488485794	-0.1522426583	0.099987533	0.0460867036	0.0666502579	-0.0538225096	0.0628062704	0.1006627413	-0.021076821	-0.0624502902	-0.0249006607	0.0806853624	0.1084236079	-0.0955228426	-0.1380794844	0.0433502195	0.0360125205	0.1491887215	-0.0522455	0.1191183055	0.0215814436	-0.0815617637	0.0337162452	0.0523428268	-0.0163023063	0.005436595	0.1030617286	0.0084855287	0.0076250963	0.0844833568	0.1060681725	0.0951205474	-0.0516490236	0.0109119555	0.0381468463	0.1566431496	0.1199619035	0.0487104743	0.0261947762	-0.1000130613	0.0824535239	0.0519364336	0.0988054859	-0.0875560386	0.1441191667	0.0869314632	-0.0882771722	0.099846856	0.0961759005	-0.0446335699	0.0344738952	0.0265946059	0.1028239625	0.0483865922	-0.0939915416	0.1666775461	-0.0861390633	-0.0213535851	0.1237625142	-0.079430032	0.0957671817	0.0442289622	0.0131965013	0.0745729855	-0.0570908943	0.0784296997	-0.0039679288	-0.0966135771	0.0178291473	0.0029176897	0.156376457	0.0605525552	0.1149489034	0.0553689229	-0.060155306	0.071249633	-0.1226315997	0.1635344863	0.0641009646	-0.0661198577	0.0897676056	0.0956162002	-0.0612269194	0.1334651162	-0.0168285685	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.00842243	0.0097633699999999	9.532339375689998e-05	7.09373271049e-05	-0.0536176	0.0417870999999999	0.0017461617264099	0.00287484702976	-0.0339337	-0.0420204599999999	0.0017657190586115	0.0011514959956899	-0.000305542	-0.000465194	2.1640545763600006e-07	9.335591376400001e-08	0.000608404	-0.000595806	3.70155427216e-07	3.549847896360001e-07	0.000635394	5.9887e-05	4.0372553523599993e-07	3.5864527690000006e-09	-0.7209971206	-0.5760222393	0.064221843	-1.800746232	0.08071188077	-0.4237459558	-0.6563237546	-0.8103178447	0.1763760735	-0.09612327188	-0.2538132761	-2.032304019	-2.537257741	0.2472502413	-2.455653603	-0.7076893698	-1.13501964
6127.0176574629	-14.324636096097493	37540345.37486216	205.1951992856192	9672.395323648723	50.48213282680808	93555231.29694168	2548.445734743494	5364.040656730949	-7.856770994356339	61.72885045775909	28772932.16706259	5769.928857482327	5920.003058418768	1.007705	27.799866	0.12007372	0.0851921	-0.1206369491	-0.1232121182	-0.0025649942	0.1710014379	0.0557699139	0.0186565062	-0.0824079696	-0.0172599942	0.1085562123	-0.1061144508	-0.0599936465	-0.0149350785	-0.066891234	0.0774674556	0.056006918	-0.1023130361	0.0663930748	-0.0610869818	-0.0219756085	-0.0607319266	-0.0368664947	-0.0893975913	0.0289064841	-0.0210835167	-0.1150603447	0.0266717127	-0.1077281901	-0.0375531486	0.0052208748	0.176219657	0.0392950216	0.0056416046	0.0763152124	-0.0646558128	0.0169863438	-0.1056613172	0.0213269638	-0.0323076418	-0.0692306726	0.1675406677	0.0175227653	0.0429270249	0.1216616008	-0.1049987642	-0.2338044477	-0.1791037957	-0.1011622536	0.1130981254	0.1181701018	-0.0825652527	-0.0034510029	0.211924902	-0.036051281	-0.0693327303	0.011071713	-0.0492006411	-0.0905816088	-0.0698796859	0.0672828674	-0.0530687372	0.0602649921	-0.0067786766	-0.0028041972	-0.0985787652	-0.0530800705	-0.0314417456	-0.0921766642	0.1330875283	-0.0158408761	0.0817475799	0.0992251335	-0.0972607431	-0.0836503821	0.0796975306	-0.1349217812	0.0398794255	-0.0176643449	0.008475251	0.0032797196	0.0411656167	-0.057758414	0.1105818813	0.1836724752	0.0646084588	-0.1911705799	0.1562775119	0.2411692472	0.0747198374	-0.0714699669	-0.1189779184	-0.0459472667	-0.0194657083	0.1383277705	-0.0609414888	-0.022943987	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.010063	-0.00164057	2.691469924900003e-06	0.000101263969	-0.0712624	-0.0176448	0.00031133896704	0.00507832965376	0.0485681	0.0825018	0.00680654700324	0.00235886033761	-0.000305542	0.0	0.0	9.335591376400001e-08	0.0008311549999999	0.0002227509999999	6.908186340248338e-07	4.9618008000955464e-08	0.0007783739999999	0.0001429799999999	6.058660838758443e-07	2.0443280399971422e-08	-1.104368179	-1.305544813	1.483842041	-1.383780149	-0.4474422254	-1.007914528	0.4301446595	-1.99424802	0.1098539585	-0.3431321937	-0.7189570559	-0.5541559485	-1.748401938	-0.7429009989	-0.8796019238	0.4103933938	0.9145301608
6155.931956517218	28.91429905431778	37895498.2532699	836.0366898025221	9666.203600532011	-6.191723116711728	93435492.04693802	38.3374351540224	5371.301320926427	7.260664195478057	52.71724455949702	28850877.880185984	5774.152543040492	5992.131542691965	1.130879	31.197916	0.10470062	0.0740756999999999	-0.036856322	0.0527083309	-0.0459399813	0.0599833447	0.0700449662	-0.0556889999	0.0972878902	0.1348744359	0.1493896553	0.0118953639	-0.0381122489	0.160475994	-0.0721005588	0.0398571897	0.0180951392	0.0850574228	0.0149864237	0.0232680953	0.0459532166	0.0635943094	0.0260272619	0.1313956238	0.0471689328	0.1357886267	-0.0754475785	0.0841989235	-0.0683297349	0.0202345205	-0.0347552913	-0.0443096088	-0.0808777523	0.0255842232	-0.0852493272	-0.016062101	0.0135819054	0.0042206563	0.0649657711	-0.173812438	-0.0856338149	0.0968770487	-0.0770720726	-0.1356743801	0.069984831	0.1444641544	-0.0611844634	0.0515182033	-0.0007735404	-0.0342603368	0.0286523486	0.0476795243	0.0057544476	0.191441463	0.0844775592	0.0971631749	-0.0473058371	0.0115250246	-0.0303751797	0.0166648224	-0.00442955	0.0194831604	-0.0195798365	0.195385094	-0.0559968244	0.1329008169	-0.0459909406	-0.1332955596	-0.1006593019	-0.0341268554	-0.0394312987	-0.0095477898	-0.0231785121	-0.1259005161	0.0666822097	0.0078526266	-0.1163454872	-0.0687880097	-0.0468052792	-0.0222569264	-0.008616235	-0.1618678935	0.0247678619	0.1036113072	0.0048367751	0.0757842967	0.0828245075	-0.0465360852	-0.0594034847	-0.0086224817	-0.1236166368	-0.1181145419	-0.0882887853	-0.0957796972	-0.0626614573	-0.0539540633	-0.0899037296	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.00495078	0.00511222	2.6134793328400007e-05	2.45102226084e-05	-0.0578237	0.0134387	0.00018059865769	0.00334358028169	-0.0234778	-0.0720459	0.00519061170681	0.00055120709284	-0.000305542	0.0	0.0	9.335591376400001e-08	0.000618356	-0.0002127989999999	3.8236414273600004e-07	4.528341440095744e-08	0.000709097	-6.92769999999e-05	5.02818555409e-07	4.799302728986145e-09	-1.047401848	-0.4009128914	-0.006358994268	-1.599403413	0.2676331755	-1.376994647	-0.8596448061	-0.5630986545	-0.4406337318	-0.7252205104	-1.148427327	-0.851184071	-0.4666123382	-1.472640878	-0.8935741921	-1.254705128	-1.43529026
6150.927670264466	-5.004286252752536	37833911.20482504	25.04288089948801	9687.501150803071	21.297550271059663	93847678.54681082	453.5856475483136	5376.786996651888	5.485675725461078	30.09263816491293	28909838.407364838	5777.533746446357	6015.908029119103	1.078238	29.745686	0.12279296	0.069759	-0.0432969619	0.1165263992	0.0401411957	-0.0355584149	-0.0677952818	-0.0894594212	-0.0017747888	-0.1017472818	0.0334600836	-0.0090591326	0.0386507229	0.0483749839	0.0758609361	0.118101368	-0.0632508672	0.0206698744	0.0179851712	0.0027858551	-0.0099878229	0.050462687	-0.0879275204	-0.1090158919	-0.0138419435	-0.0588350723	0.2216482335	-0.0473044608	0.0415235312	-0.0739186796	0.0538548492	0.0385942276	0.0406266604	0.0529756594	-0.1639715163	0.0486266355	0.0515044209	-0.0800876938	-0.0312975374	0.1640975505	-0.0737815406	-0.0281458756	-0.0671927919	0.0080423393	0.0493632614	0.0631010445	-0.0041082059	0.0630779992	0.2195843304	0.0454174822	-0.1704750929	-0.1368684028	0.0417249852	0.0510237783	-0.0861829482	0.07672755	-0.0998901028	-0.2083763867	-0.007829465	-0.0110790355	-0.0633851319	0.0734071754	0.0248265944	-0.0462009814	0.0431477713	-0.1204143654	0.1568889858	-0.0074163881	0.1458047199	0.053773895	-0.0782118447	-0.1288090762	0.0055839857	0.0165298798	-0.0276796317	-0.0652465946	-0.1110638044	-0.0710168519	-0.0324139061	-0.0878063732	0.0072250824	0.0999673762	-0.1381735253	-0.0384107779	0.1587736234	-0.0082993427	0.1162239608	-0.0745445191	-0.181478318	0.0465143978	0.1726609828	-0.1316954878	-0.0432307729	-0.039710703	-0.0596829866	-0.042057534	0.096412873	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.00841914	-0.00346836	1.2029521089600002e-05	7.08819183396e-05	-0.0603409	-0.0025172	6.336295840000021e-06	0.00364102421281	0.0398295	0.0633073	0.0040078142332899	0.0015863890702499	0.000252669	0.000558211	3.115995205210001e-07	6.384162356100001e-08	0.000904585	0.0002862289999999	8.18274022225e-07	8.192704044099996e-08	0.000483535	-0.000225562	2.33806096225e-07	5.0878215844e-08	-0.617827655	-1.03257966	1.618251638	-1.697829862	0.8076833812	-1.442443194	0.8996569023	-0.8786247367	-0.3320789538	0.01316199461	-0.449693842	-1.655866058	-0.2390412661	0.1355406567	-0.2025332168	-1.008523592	0.6778464174
6181.386937993362	30.45926772889652	38209544.47719495	927.766990580597	9714.211973372036	26.71082256896443	94365914.2636046	713.4680423106996	5380.3217994354445	3.534802783556188	12.494830718636576	28947862.66548026	5785.617621207137	6136.077665903464	1.179713	32.545101	0.04156411	0.0220077	-0.0112384265	-0.1321949498	-0.0622149861	0.0525253173	-0.0041815086	0.0988803617	-0.0604409608	-0.0330960728	0.0178985721	0.0463409334	-0.1057259583	-0.0313810069	-0.1815723589	0.0042154136	-0.0130578723	0.031925218	-0.0367724822	-0.1034004427	0.0598584679	-0.1180376961	0.1040086463	-0.0348152589	-0.0347070635	-0.0057153137	-0.0387026461	-0.0045607046	0.1263712397	-0.03746818	-0.1156102584	0.0698984582	-0.0464014538	-0.0180290037	-0.0318841055	-0.0669048635	0.0732444066	0.0066434888	-0.0035897617	0.0050178691	-0.0536037955	0.1319298727	-0.1691703378	0.0140321623	0.0090775722	0.0794097873	-0.0575626976	0.0795779391	-0.0628463556	0.0472772527	-0.0424630639	-0.0302124858	-0.070493482	-0.0799676155	0.0868070726	-0.008126711	-0.0684393171	-0.0338427552	0.0151696346	-0.0995514039	0.0770648949	-0.0628448791	-0.0572635947	-0.0781424666	-0.112500932	0.0148380282	-0.0265018315	0.0699040294	0.0500579967	0.0444721421	-0.0181097687	0.108855923	0.0410833888	-0.1025741671	0.1178065423	0.1009407731	0.0114006242	0.0577043478	-0.045579466	-0.0246118447	0.0446614247	-0.0782529982	-0.0739245377	0.1153378592	0.0757977542	-0.0642667546	0.1277478507	-0.0161132928	0.0151619374	0.1118172686	-0.0223378447	-0.0145606546	-0.0253422456	0.0127539579	-0.0125272929	-0.0493766355	-0.1669504715	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0154855	-0.0070663599999999	4.993344364959999e-05	0.0002398007102499	-0.0666379	-0.0062969999999999	3.965220899999997e-05	0.00444060971641	0.0364049	-0.0034246	1.172788516e-05	0.0013253167440099	-0.000125691	-0.00037836	1.431562896e-07	1.5798227481000004e-08	0.0008901669999999	-1.4418000000099946e-05	7.92397287888822e-07	2.0787872400288202e-10	0.00038079	-0.000102745	1.450010241e-07	1.0556535025000001e-08	-0.5617314693	-0.4160265558	1.218614726	-0.5675428995	1.117321445	-0.6128490663	-0.8927731411	-0.02234433073	-0.08263103894	-0.9403895624	-1.961651761	0.5753219856	-1.367650836	-1.563882676	-0.4365784941	0.2350801119	-0.1040580307
