global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	aroma_motion_12	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20	aroma_motion_21
7287.856741193085	n/a	n/a	53112855.8801535	9652.505495688843	n/a	n/a	93170862.34430332	6527.189633864082	n/a	n/a	42604204.516422726	6659.486738151772	5967.413315775324	n/a	n/a	n/a	n/a	-0.1020946171	-0.0814688439	0.0565680463	-0.0749668886	0.0711604298	-0.0293404431	-0.1059640007	-0.0172985274	0.045280935	0.0190579446	-0.0416431968	0.0139281212	-0.0468581855	0.121539367	-0.0715415541	0.1024461717	-0.0032623411	0.0821088859	-0.0407759771	0.0980518695	-0.126009437	0.0970025457	-0.0095589604	0.1220351533	-0.2255538835	0.1160970733	-0.0943809593	0.1394460508	-0.0267311335	0.0144332236	0.1088175613	-0.0448823678	0.0301341335	0.0149877516	0.0076214413	-0.1133656427	0.1020854348	0.0434663687	-0.0542613028	-0.0355999157	-0.0072943198	-0.0748344973	0.0235245844	-0.1095774586	-0.0324210598	0.0659863957	-0.004031578	0.0112817894	-0.0641501424	0.0127259394	-0.0938092608	0.0387289792	-0.0867890244	0.0595764026	-0.1340900566	0.0207981684	-0.1702387079	0.0256736227	-0.0792196905	0.0875589723	-0.073916018	0.0188300722	-0.0388497164	0.0372967536	-0.1383485166	0.0252188626	-0.095302216	0.1051840077	-0.1729280956	-0.0359800696	0.1148838981	-0.0190076933	-0.1205489849	0.0864858342	0.0121621864	-0.0831438695	-0.0316336865	-0.1297952177	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0380385	n/a	0.00144692748225	n/a	0.0315605	n/a	n/a	0.0009960651602499	-0.0925964	n/a	n/a	0.00857409329296	-0.00181922	n/a	3.3095614084e-06	n/a	-0.00014139	n/a	n/a	1.99911321e-08	0.000729802	n/a	n/a	5.32610959204e-07	0.0	0.0	0.0	0.0	0.0	-0.6180306782	1.74951132	-0.9311838307	-2.330080053	0.9052484224	0.7790083033	0.8697188321	-1.823020273	0.9242755384
7267.524585462715	-20.332155730370687	413.3965566440456	52816913.600305006	9622.901876427146	-29.60361926169753	876.3742733915491	92600240.52334508	6523.896803606297	-3.292830257784772	10.842731106582926	42561229.50410446	6654.719394210153	5746.360698188849	0.954079	25.139599	0.0972072	0.062249	-0.1321156499	-0.0994142592	0.0805120989	-0.0150749354	0.1100722167	-0.149559991	-0.0880621488	0.0440018212	-0.074595657	0.0549533483	0.0399458392	-0.0134349488	0.0583746312	0.1516214238	-0.0611099105	0.0809160837	-0.0929406101	0.092221086	-0.1127696135	0.057707799	-0.0168928045	-0.0548526284	0.1661119639	0.0359131602	-0.0494292253	0.0099452559	0.0929369501	0.1325267736	0.0097102063	-0.0020378821	-0.0124340328	0.0470655161	0.0063746539	0.0561143473	0.0109913132	-0.0564471593	0.0171006629	0.0108923414	-0.0843098897	-0.0558272007	0.1541682721	-0.064066144	0.0410647791	-0.0895823031	-0.0069240804	-0.020849268	0.0834735039	0.0541177645	0.063517755	-0.0434199017	-0.0775538129	0.1110853675	-0.0408380314	0.0632598067	-0.0397665119	0.0405701989	-0.2459681525	-0.0315586634	-0.1358197493	-0.0390841126	-0.0153084971	0.1336159703	0.0089058151	-0.0775352903	-0.1278864388	-0.0438398478	-0.1083788616	-0.0169648305	-0.0273182816	-0.0435847768	0.0027616536	0.0744285319	-0.041282956	-0.0103473524	0.0281140529	0.060362382	-0.0513259863	-0.1111442767	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0466695	0.008631	0.00217804223025	7.4494161e-05	0.0306193	-0.0009411999999999	8.858574399999994e-07	0.0009375415324899	-0.141348	-0.0487516	0.00237671850256	0.019979257104	-0.00133271	0.00048651	1.7761159441e-06	2.366919801000001e-07	-0.000246135	-0.0001047449999999	1.0971515024999997e-08	6.058243822499999e-08	0.000916215	0.0001864129999999	3.4749806568999995e-08	8.394499262249999e-07	0.0	0.0	0.0	0.0	0.0	-0.9472387709	2.042841971	-1.333280417	-2.706266932	-0.3495113484	-0.4173512362	0.5558522528	-1.11287761	-0.8794806178
7298.033622724381	30.50903726166598	930.8013546337232	53261294.75841555	9594.774885570652	-28.12699085649365	791.1276146412773	92059705.10477732	6526.4097339395	2.5129303332032578	6.314818859533036	42594024.01526026	6654.5140588536815	6050.474635897678	0.967845	25.502323	0.1666283	0.0909158	-0.0923214106	-0.0830624881	0.0202500666	-0.0558644525	-0.0429551566	-0.0086927969	-0.1039832186	-0.019201233	-0.0828750357	0.0393040241	0.0378031865	0.0005335996	0.0193359956	0.1258557358	-0.0167628305	0.0935772616	-0.00271752	0.0483275434	0.1232934914	-0.0705318752	-0.0081532822	-0.0341563902	0.1169626155	-0.0879870713	-0.0913832396	-0.0331711512	0.0795996474	0.0447858202	0.1335181841	-0.0340489098	0.0767467058	0.0643438186	0.0125804921	-0.0186889191	0.1160594958	-0.1115841055	0.083095112	0.0404222975	-0.0906851076	-0.0676074624	-0.1011578901	0.011362698	-0.1774027755	-0.0981250826	-0.0271074174	-0.0181163539	0.0995861284	0.0503347336	0.0130238123	0.0065187084	-0.1006217658	0.0210156735	-0.0947705352	0.0164707021	-0.0008820372	-0.0463121653	-0.0433029737	-0.0615950558	0.044912806	0.0068647756	0.0498706952	0.1599521993	-0.0739176837	0.0442580656	-0.0575856927	0.0134688313	-0.1368836429	0.017669314	0.0008275146	-0.0915866364	-0.0900467143	-0.1304568212	0.0938833424	0.0326988717	-0.0513317479	0.1770981518	-0.1329164769	0.0403671267	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0375826	-0.0090869	0.00141245182276	8.257175161000003e-05	0.0148215	-0.0157978	0.00024957048484	0.00021967686225	-0.0845473	0.0568006999999999	0.0032263195204899	0.00714824593729	-0.00231392	-0.00098121	5.3542257664e-06	9.627730641000003e-07	0.000219978	0.000466113	2.17261328769e-07	4.8390320484e-08	0.00116775	0.000251535	6.3269856225e-08	1.3636400625e-06	0.0	0.0	0.0	0.0	0.0	-1.166428786	1.679577161	-1.03419673	-1.633697045	0.2656967874	1.949827725	0.246893398	-1.691929238	-1.025907842
7315.04593249603	17.012309771649598	289.4186837665644	53509896.99452672	9568.148000893172	-26.62688467748012	708.9909876278256	91549456.166996	6545.331334340229	18.921600400728494	358.0269617248487	42841362.27629604	6667.410816226519	6028.91421019188	0.924847	24.369349	0.2799386	0.175436	-0.0916082903	-0.0565457149	-0.1109367717	-0.0681295494	-0.0371872622	-0.1608935025	-0.0322358423	-0.0400935255	0.0174665777	0.060725682	-0.0588161724	-0.0981153628	0.0733821988	0.1375835674	0.1170809146	0.1537667103	-0.0239723658	0.097257893	-0.0646383109	0.1170811591	-0.0443953602	-0.1243295698	0.0791868514	-0.0347443584	-0.1077481687	0.1040686668	0.0293217426	0.0045734232	0.0561959981	-0.1067681456	-0.1653787354	0.0211186117	0.0191137618	0.0457902516	0.0428426254	0.0450711503	0.0554470184	0.0017041297	0.1447319615	-0.0436166111	-0.062567447	0.0286890391	-0.0022153859	-0.0363809762	-0.0473768954	0.0774634194	0.1014051355	-0.0550084469	-0.0127604083	-0.1032892549	-0.0756615967	0.1006619507	-0.1210722218	0.0167441957	-0.0994843858	-0.0671342048	-0.1187149778	0.0997064821	0.0399333095	-0.0914123318	0.0172401901	0.0287122408	-0.1593932873	-0.0995587373	0.0683930794	-0.1403266154	-0.0558969821	-0.05549178	-0.1308098767	0.0732583098	-0.0892497997	-0.0042255477	0.0195950895	-0.0383674119	-0.0298435736	0.0004952608	-0.0889296424	0.0849736983	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0414224	0.0038397999999999	0.0017158152217599	1.474406403999998e-05	0.0589703	0.0441488	0.00194911654144	0.00347749628209	-0.228411	-0.1438636999999999	0.0206967641776899	0.052171584921	-0.00119544	0.00111848	1.4290767936000002e-06	1.2509975104e-06	-0.000209055	-0.000429033	1.84069315089e-07	4.370399302500001e-08	0.000953537	-0.000214213	4.5887209369e-08	9.09232810369e-07	0.0	0.0	0.0	0.0	0.0	-0.2355866255	1.865521112	-1.352049784	-2.018570101	0.284724701	0.04332554369	1.047350965	-0.7967813712	-1.209826656
7315.863246732943	0.8173142369123525	0.668002561859621	53521855.04489787	9620.035116678126	51.88711578495349	2692.27278448117	92545075.64612032	6546.897591623712	1.566257283483537	2.45316187806523	42861868.075208366	6677.33648978026	6158.691387997937	0.980771	25.842915	0.1738364999999999	0.091923	-0.0778865133	-0.0929717364	0.1513381339	-0.003937106	-0.0999791294	-0.0594146143	-0.0702710019	-0.068862872	-0.0058568689	0.0535098256	-0.1017358096	-0.0985652464	-0.045023554	-0.023078348	0.0904475487	0.12121051	0.0687394999	-0.0484733808	0.1159540686	-0.0115718648	-0.0297081572	0.0350974994	-0.0271122642	0.0563816934	-0.04485403	0.1330219316	-0.0496103521	0.0229234511	-0.0548683268	-0.0400891209	-0.068046383	-0.1013480243	0.1025997349	0.0197429103	0.1108640743	0.0867113385	0.13053198	-0.0489903739	0.0950859532	-0.0289452611	-0.2059560139	0.1864044288	-0.0647682959	-0.081523559	-0.0461931905	0.0429626119	-0.0001031102	0.0306448932	-0.1603411581	-0.0484089615	0.0231774263	0.0425685115	-0.1394026846	-0.1111927328	-0.0996888998	0.0162337391	0.0806568526	-0.06025205	0.0822537119	0.1315779988	-0.0002956344	-0.0399690758	-0.0705252442	0.0052225111	0.0436712498	0.1796335679	-0.0186214928	0.0283340184	-0.2146217212	0.1564756559	-0.1833000198	-0.0137206025	0.0723055845	0.0694813375	-0.1277768629	0.0533701723	-0.0329029121	0.0913042814	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0339341	-0.0074882999999999	0.00115152314281	5.6074636889999946e-05	0.0104869	-0.0484834	0.00235064007556	0.00010997507161	-0.165109	0.063302	0.0040071432039999	0.027260981881	-0.00168956	-0.00049412	2.8546129936e-06	2.441545744000001e-07	0.000153732	0.000362787	1.3161440736900005e-07	2.3633527824000004e-08	0.000719188	-0.0002343489999999	5.491945380099996e-08	5.172313793440001e-07	0.0	0.0	0.0	0.0	0.0	-1.171992774	1.613064676	-0.1031494335	-0.9114655903	0.5948084881	1.804223795	1.209013195	-1.286153972	0.2994798248
7334.261292753326	18.398046020383845	338.48809736816185	53791388.7103797	9569.91563012635	-50.11948655177548	2511.9629322136034	91583285.16773662	6541.498188149562	-5.399403474149949	29.15355787666254	42791198.545564	6666.772692767468	6250.597428432931	1.031892	27.189953	0.250979775	0.158148	-0.0661359114	-0.0701742245	-0.0679522667	0.0102245062	-0.0805913998	-0.1385208978	-0.0407025116	-0.0264152202	0.0896244943	-0.0074476002	0.0699938997	-0.0582481596	0.1598496738	0.0522177556	-0.0524705462	-0.0714059215	-0.1908645297	-0.0684852414	-0.0705657439	-0.0150620727	-0.0759112445	0.0955161977	-0.0038270232	0.074782682	0.1839099972	-0.0226118437	0.083167118	0.0324512453	0.1162961656	-0.1039161445	0.0238114035	-0.0129224675	0.0115657253	-0.0967496122	-0.0807501598	0.1011084598	-0.0718799724	0.0564268998	0.0618749081	0.0518158115	0.042714174	0.1245307466	-0.0386883477	-0.0455536861	-0.0365452323	0.080233899	-0.0021909497	-0.0577660806	0.1290777137	-0.0784119141	-0.1035631009	0.0188344364	0.1165939255	-0.0506635109	0.0605304765	0.02512475	-0.0856273716	0.0621584319	-0.0428989102	0.137659146	0.1451325609	-0.00590861	0.0332531307	-0.0877574671	0.1424362341	-0.1045262852	0.0269402694	-0.1237819234	0.087496625	-0.1061948592	-0.093347042	0.0661841332	-0.0790136564	0.0673152465	-0.0467810583	0.006465509	0.1232620746	0.0134349763	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.046228	0.0122938999999999	0.0021370279839999	0.0001511399772099	0.0338249	0.0233379999999999	0.0005446622439999	0.0011441238600099	-0.294995	-0.129886	0.016870372996	0.087022050025	-0.000635703	0.001053857	4.041183042090001e-07	1.110614576449e-06	-5.30865e-05	-0.0002068185	4.2773891942250003e-08	2.81817648225e-09	0.00116775	0.0004485619999999	2.012078678439999e-07	1.3636400625e-06	0.0	0.0	0.0	0.0	0.0	-0.160331587	1.388207392	-0.8331702426	-1.525804177	0.1065757355	1.643662239	0.3372056681	-0.06802164723	-0.7067118625
7319.941782180535	-14.319510572791842	205.0483830442973	53581547.69451234	9520.939758293418	-48.97587183293217	2398.636021795799	90648293.88105232	6520.538344730323	-20.959843419239405	439.3150361590334	42517420.30509846	6643.615616119432	6267.7641841276645	1.161943	30.616741	0.144272375	0.0716102	-0.0619992425	-0.0652931795	-0.0978572666	0.0731850568	-0.0228469866	0.172444942	-0.068782418	0.2305805929	-0.0104098002	-0.0074715049	-0.0122764221	0.0353236577	0.0464495484	-0.1529426413	0.1003369734	0.0067032187	0.0906496207	-0.0349210937	-0.1152816856	-0.1400853489	-0.1208669445	0.1066638868	0.0816512694	-0.0661226005	0.0172105622	0.0468614689	0.1508137755	0.1056633272	0.0250186458	0.0576658877	-0.0129566409	-0.0898738391	-0.1267801615	-0.0599271274	-0.095767158	0.0656258542	-0.0706901194	0.0624536658	0.014428533	0.001236864	0.0207598882	0.0006500799	0.0873673044	-0.0746364871	0.2355408746	-0.0782513577	-0.0170133791	-0.0331169708	0.0676251246	0.0064350814	0.1800492422	-0.0612856493	-0.0562184931	0.0136322964	0.036574719	0.090141828	0.0653029177	-0.0493995696	0.0477679832	0.172267606	0.0642441825	-0.0162433908	-0.0318704422	-0.1701919457	0.0474602777	-0.1091758126	-0.112561962	-0.008157361	0.1042674826	-0.0009560481	0.0159525162	0.1205460737	-0.0072700409	0.0133413925	0.0668615203	-0.1386609253	0.0073660138	-0.0189794339	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0308223	-0.0154056999999999	0.00095001417729	0.0002373355924899	0.0573644	0.0235395	0.00055410806025	0.00329067438736	-0.332197	-0.037202	0.001383988804	0.110354846809	-0.0018733	-0.001237597	3.50925289e-06	1.531646334409e-06	-0.000177993	-0.0001249065	1.5601633742249997e-08	3.1681508049e-08	0.00116775	0.0	0.0	1.3636400625e-06	0.0	0.0	0.0	0.0	0.0	-1.265898166	1.193802081	-0.9224148428	-0.5336015146	-0.6305128191	0.1662668051	0.25682221	-2.084746276	-1.690683054
7349.609083325881	29.667301145346755	880.1487572486928	54016753.6777063	9590.896110203335	69.95635190991743	4893.891172544208	91985288.19671346	6532.906176433959	12.367831703636512	152.96326104947642	42678863.110088974	6652.843036328743	6352.019713341826	1.100706	29.003166	0.1462996	0.079474	-0.0502928258	-0.0304317513	-0.0773482265	-0.1574048846	0.1206455809	0.1055910529	-0.0568389737	0.057165891	-0.0191987186	-0.0687062525	0.1182134783	-0.0610555761	0.0518375764	0.0030113359	-0.0282534482	0.0180896892	-0.0025935879	-0.0936856051	0.0518855504	-0.0879305159	-0.0892131711	0.06121842	-0.0700428361	0.1359468297	0.1300835902	0.0138391539	-0.0386975294	-0.0844351771	-0.0127011423	0.0941282413	0.0025452279	0.0636972427	0.198473263	-0.2032641878	-0.0919504383	-0.0805707432	-0.0298348172	0.0181895847	0.0027969933	0.0628702905	0.0887295596	-0.2302534566	-0.0380168138	-0.0520501943	0.025847181	-0.0496891383	-0.0343778437	-0.0110694414	0.1279180522	-0.0904276618	-0.0300685947	-0.1220506312	-0.1179443254	0.0176385399	0.1470106195	0.0151566416	0.0237317184	0.0929365311	-0.0105518301	0.1009279345	0.0528380361	-0.0098253314	0.1531567057	0.0572385946	-0.0162092603	0.0386887427	0.1140882269	0.0092794369	0.0612608353	0.0084473585	0.1228360691	-0.1805242176	-0.2438312789	0.0634323191	-0.0882571399	-0.0660712371	0.1244903077	0.0210119637	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0303539	-0.0004684	0.0009213592452099	2.1939856000000075e-07	0.0198276	-0.0375368	0.00140901135424	0.00039313372176	-0.262688	0.069509	0.004831501081	0.0690049853439999	-0.00114148	0.00073182	1.3029765904e-06	5.355605124e-07	-0.000134105	4.3887999999999984e-05	1.9261565439999987e-09	1.7984151025e-08	0.00116775	0.0	0.0	1.3636400625e-06	0.0	0.0	0.0	0.0	0.0	-0.908884766	1.138828099	0.01670983219	-1.135221141	-0.6357892233	1.390162601	-0.1578891801	-1.171476136	-1.146111608
7376.29897510172	26.689891775838987	712.3503230059976	54409786.57008669	9702.69294421743	111.7968340140942	12498.53209557493	94142250.3697667	6548.50055085532	15.594374421360952	243.1845135935968	42882859.46455243	6673.128133164442	6621.347942194109	0.993244	26.171576	0.1218793	0.059614	-0.0150847468	0.0069467549	-0.0779688521	-0.2339444251	0.0504827568	0.0199213008	0.0147608198	0.1189541864	-0.0193829681	-0.0080193635	-0.0337467165	-0.0397769595	-0.0534449214	0.0047658086	0.1072388887	0.0604520042	0.1889914619	-0.0709350379	-0.0066007149	-0.0693145324	-0.0797320788	-0.0742202608	0.0219692086	-0.0221039896	0.2027825159	-0.0416767098	-0.072862697	-0.1175675867	-0.0309341055	-0.0155300646	-0.0603315637	-0.0428310593	0.0054926388	-0.1298921533	0.0144546978	0.1183338037	-0.0222871229	0.0242853468	-0.2118473564	-0.0844329427	0.1325222974	0.0151715259	0.0567623083	0.0097477489	0.1079999792	-0.0155867151	0.025865436	-0.0303162767	-0.0403653875	-0.0618352836	0.0318743532	-0.0745027758	-0.2588644314	0.1012295661	0.0706443154	-0.0210711236	0.1002841138	0.1355262051	-0.041601575	-0.0501073349	-0.0050675262	-0.0064833864	0.1444035747	-0.0310049526	0.1566239968	-0.0222529559	0.1261602601	-0.0274797851	0.085105965	-0.0006710853	0.040906553	0.036341542	-0.0094394812	-0.0634237334	-0.074836891	0.0704169689	0.0786487982	-0.116053734	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0449265	0.0145726	0.00201839040225	0.00021236067076	0.0530894	0.0332618	0.00110634733924	0.00281848439236	-0.309557	-0.046869	0.002196703161	0.095825536249	-0.00164111	-0.00049963	2.6932420321e-06	2.4963013690000004e-07	-0.000177993	-4.3887999999999984e-05	1.9261565439999987e-09	3.1681508049e-08	0.00116775	0.0	0.0	1.3636400625e-06	0.0	0.0	0.0	0.0	0.0	-0.6329857175	1.398023133	-0.08077305386	-0.6527993769	-0.5298655485	0.4042211698	0.788359723	-1.642718426	-0.0502250077
7410.237538258742	33.938563157021235	1151.8260691631192	54911620.37341897	9617.364210989545	-85.3287332278851	7280.992714275582	92493694.36682254	6568.927985404112	20.427434548792007	417.2800822451813	43150814.87742533	6689.455518278131	6858.665105069983	1.105704	29.13485	0.15140075	0.0966877	0.0143192426	-0.011379307	-0.1009447003	-0.0243093697	0.0958390703	-0.0055233962	0.0210995177	-0.1072449785	0.1111647198	-0.1636726642	0.0042064533	-0.0757499045	0.1214746977	-0.1378694638	0.1425733663	0.0432800733	0.113811126	-0.0417946941	0.1277007882	-0.0615644099	0.0741474684	0.0841297752	-0.0190393004	0.1544442889	0.1535930962	-0.0783355704	-0.0396637402	-0.0309064874	-0.0128712973	0.0262912139	-0.0631118417	-0.0939605716	-0.0105398868	0.0366135131	-0.0084960093	0.0348267466	0.0059586422	-0.1442785007	0.1382756107	0.1125219701	-0.1523213246	-0.0178774534	-0.0100260648	0.0207706691	-0.1050018505	0.0201565478	-0.1269739114	-0.1895312821	0.0703161642	-0.1240476358	0.0853576502	-0.0751902153	-0.0597809235	-0.0781907535	-0.0048572402	-0.1378309557	0.1853891159	-0.0460660141	0.0187032649	0.0467402585	0.1596343722	-0.0953305206	0.107624792	0.0339812534	0.0648475387	0.0719376142	0.1092286921	-0.0029504077	0.036494388	0.0632479378	0.0209049291	0.0133490053	0.1223005179	0.0804254107	-0.0053281095	-0.0169757333	0.1012929265	0.1343395934	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0493531	0.0044265999999999	0.0024357284796099	1.959478755999996e-05	0.0652265	0.0121371	0.00014730919641	0.00425449630225	-0.358459	-0.048902	0.002391405604	0.128492854681	-0.000301013	0.001340097	9.0608826169e-08	1.7958599694090004e-06	-0.000380273	-0.00020228	4.09171984e-08	1.44607554529e-07	0.000991426	-0.000176324	3.1090152976000024e-08	9.829255134759998e-07	0.0	0.0	0.0	0.0	0.0	-0.0169527089	1.153260317	0.04734110902	1.259139365	-0.7213075685	2.716058429	2.305419124	0.2657355017	-1.177847784
