global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	aroma_motion_14	aroma_motion_22	aroma_motion_24	aroma_motion_25	aroma_motion_26	aroma_motion_27
7469.845552488938	n/a	n/a	55798592.57803877	9775.507304222663	n/a	n/a	95560543.05491064	6747.248247423261	n/a	n/a	45525358.912356265	6864.713343186807	6456.087632363176	n/a	n/a	n/a	n/a	-0.1654092287	0.0094383248	-0.0130418611	0.0217795099	-0.079458991	0.07875211	-0.0355926456	0.0079698407	-0.0259791917	-0.0988806379	0.0176085249	-0.0109819975	0.1555645331	0.16986989	-0.0724298367	0.1112937867	-0.018116574	0.1531459565	-0.0984005393	0.1274852049	-0.1243648439	0.0001677443	-0.0929275245	-0.0956765651	0.0177191981	-0.1701045623	0.1180929794	-0.0177039308	0.1739333845	-0.0113092908	0.0668823569	-0.0165012373	0.0654469247	-0.0437201419	0.0728273255	-0.0173670106	0.030678427	0.0133515976	-0.0451882282	0.116281878	0.0903452385	-0.0878897267	-0.012086016	-0.0081495291	-0.0902464406	0.1260769583	-0.1345891231	-0.0844532533	0.0813589437	0.002160677	0.0362522777	-0.2111757946	-0.0445893583	-0.1495701318	0.1513268603	-0.0232543468	-0.0176432422	0.090582319	-0.1611725891	0.0280619025	-0.1628810056	0.1571280401	-0.0664924019	0.0701335645	-0.0287709371	0.0455285309	0.0858419495	-0.0447978608	0.160914008	-0.2727966046	0.0739643644	-0.0367869596	0.029674596	-0.0571312769	0.0513086356	-0.0047940057	0.0340424106	-0.0407948434	0.0819899108	0.0166460845	-0.0900186889	-0.0155985004	-0.1400089573	0.0702035443	-0.021812269	-0.0792908965	0.0700605484	0.0739031443	0.0335174962	-0.144579209	0.0490316949	0.0861989698	0.0300463804	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0272985	n/a	0.0007452081022499	n/a	0.0362375	n/a	n/a	0.00131315640625	0.0147334	n/a	n/a	0.00021707307556	-0.000970932	n/a	9.42708948624e-07	n/a	0.000582141	n/a	n/a	3.38888143881e-07	-0.000108456	n/a	n/a	1.1762703936e-08	0.0	0.0	0.0	0.0	0.8968422097	-2.083954763	-1.504437226	-1.089193339	-0.07448398992	-0.2924749905
7456.998575847485	-12.846976641452784	165.04480882603346	55606827.76019142	9711.312007619872	-64.19529660279113	4121.036105920327	94309580.90934192	6736.919266656714	-10.32898076654692	106.6878436756962	45386081.20545044	6852.432970910413	6359.000087245545	1.078992	21.918854	0.1205185999999999	0.0543851	-0.1912664746	0.1142737576	0.001770893	-0.0172250293	-0.1433576519	0.1116624464	-0.0646240816	-0.1149232179	-0.051798126	0.0009046897	-0.0860285584	0.0164408689	-0.0877681721	0.1815842513	0.0472831892	-0.0785102538	0.0457524997	-0.1261095765	-0.1726165897	0.1452049134	-0.1795945343	0.0402122401	-0.0564512415	-0.1758110737	0.0553513514	-0.0075948565	-0.1236080887	-0.0580668181	0.0002110828	0.1102601704	-0.0186758311	0.0579853287	0.0907243103	0.0242657115	-0.0654571238	-0.0639297167	0.0982715622	-0.0702910946	-0.0134224035	-0.1021647348	0.073394229	0.0438231661	-0.0009915274	-0.0330538072	-0.0272815911	-0.043183954	-0.0248364653	0.0377631158	0.0004630815	-0.0699523461	0.0311401831	-0.0158380252	0.0974845334	0.0464571191	0.1810773762	0.0442005067	0.0429167073	-0.1094721944	0.0840546749	0.0902618131	-0.0625382433	0.1940263171	-0.0581583667	0.1674297416	-0.0905561489	0.0595612231	0.1842692377	-0.0362846243	-0.0341852923	0.0264288388	0.0106166716	0.098068125	0.0177121043	-0.1083380421	-0.1195053594	-0.0081601502	-0.1534970509	-0.0585454403	0.0009634028	0.0382048559	0.0751762112	0.1021039712	0.0104208858	0.0406077637	0.1642531164	0.0309810962	-0.0006988831	-0.0267660387	-0.0012859702	-0.0319382236	0.0046991822	-0.0962539233	0.0460625368	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0399621	-0.0126636	0.00159696943641	0.00016036676496	0.0293875	-0.0068499999999999	4.6922499999999976e-05	0.00086362515625	0.0481875	0.0334541	0.00111917680681	0.00232203515625	-0.000693585	0.0002773469999999	4.81060152225e-07	7.692135840899999e-08	-6.50506e-23	-0.000582141	3.38888143881e-07	4.2315805603599997e-45	-0.000599986	-0.00049153	2.416017409e-07	3.599832001960001e-07	0.0	0.0	0.0	0.0	-0.409102666	-0.7459800968	-1.432661716	-0.9316614151	0.1591371839	-0.6385859283
7486.784890612213	29.78631476472765	887.2245472634323	56051947.99829932	9699.918004393789	-11.39400322608344	129.82330951599988	94088409.29196276	6739.887053521971	2.96778686525704	8.807758877592205	45426077.49423308	6852.003028271607	6437.345256455909	1.05939	21.520653	0.10910815	0.0771006	-0.1564541956	0.0150299597	0.0285039851	-0.031002196	-0.1668522235	0.0051339324	-0.0080147663	-0.1031418941	-0.1179606552	0.190350924	0.0386194482	-0.0327104371	-0.0497074827	0.1571582062	0.0354371649	-0.0911427958	-0.1812728344	-0.2344820654	-0.1991806601	0.0340802509	-0.0717546406	0.0333427034	-0.0550891454	-0.0731108078	-0.053303512	-0.0727456619	-0.0637594577	0.0295869583	0.0228979013	0.1387056942	0.0287260212	0.1533615099	0.0216771991	0.0638759363	0.10503569	-0.0946835407	0.0724957582	0.0623833277	-0.0478601843	-0.012296401	0.031738543	0.1372768633	-0.0603768804	0.0716943126	-0.0722050904	-0.0996543022	0.0261078959	0.0472539888	-0.0839281335	-0.0703390521	-0.017492607	0.2349938813	0.0595230506	0.049682516	0.1555245052	0.0565179339	-0.1320130929	-0.1178774091	0.2531868121	0.1533931973	-0.0776107963	0.0728233119	0.0498411706	0.1206831367	-0.0079829152	0.1440418795	0.0383890532	-0.0899793645	-0.0144018699	-0.0523428909	-0.0087244117	0.0907266243	-0.0399981626	-0.1056147066	-0.0999521202	-0.089901907	-0.0193177603	0.0108103744	-0.0430352423	-0.0105175321	0.1360353643	-0.1399089766	0.0761414341	-0.037910418	0.0848526404	-0.1182220798	-0.0123327584	0.0508940859	-0.02272054	0.1495810021	-0.0485515728	-0.0136505914	-0.0890222828	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0350121	0.00495	0.0012258471464099	2.450250000000003e-05	0.0161163	-0.0132712	0.00017612474944	0.00025973512569	-0.0277696	-0.0759571	0.00576948104041	0.0007711506841599	-0.000919675	-0.0002260899999999	8.45802105625e-07	5.1116688099999995e-08	-0.0	6.50506e-23	4.2315805603599997e-45	0.0	-0.000672493	-7.250699999999998e-05	5.257265048999996e-09	4.522468350490001e-07	0.0	0.0	0.0	0.0	-0.7362295614	-2.447581387	-0.4972775754	-1.991990577	0.02053923019	-0.4724455375
7516.038624334259	29.25373372204649	855.7809366804	56490836.60248442	9784.633538818754	84.71553442496588	7176.721772907579	95739053.48897682	6777.910880077372	38.02382655540077	1445.811385915201	45940075.89827122	6889.61652871053	6603.087509012176	1.130986	22.975056	0.0482326	0.0247583	-0.1831802026	-0.147685746	0.1412195511	0.1052651668	-0.2605484834	-0.0996459564	-0.0686425251	-0.0554606085	-0.0138216768	-0.1265276169	0.0864902718	0.0934869549	-0.0117882332	0.151477415	-0.2378415889	0.1055511341	-0.1764634805	-0.1344323722	-0.0127998378	-0.0002526968	-0.1534170212	-0.0180531723	0.1749050716	-0.1015565557	-0.1203416676	-0.1612349663	0.0607093096	-0.0910004901	0.1803034165	0.0347043962	-0.124727371	0.151674865	0.0586967901	-0.105608591	-0.0443531716	0.0250295937	-0.1158375395	0.0298949079	0.0296846792	-0.035182017	0.0676479467	-0.0155811068	-0.0041390891	-0.0415022431	0.1811654191	0.0866361649	0.0602754402	0.0165189411	0.0127271957	0.0740241068	-0.0066390741	0.0527967159	-0.1569613093	-0.0245302749	0.174446923	-0.1742414455	-0.2369281584	0.1324268723	0.046170461	0.0353534037	0.0727213276	-0.057928849	-0.0263080067	0.251932546	-0.0648897228	0.0526836984	0.0604975066	-0.132654644	0.176555864	-0.1557113107	-0.0039208378	0.0014139666	0.2152069161	0.0863655638	-0.0992441009	-0.0804942296	-0.0417782734	-0.0736454616	-0.1102587623	0.0371437558	0.0061713727	-0.0030937147	0.0909288904	0.0255960679	-0.1260111053	0.0573993125	0.0088079958	-0.1584348337	0.0418631664	-0.0047769586	0.1051927554	0.0426188213	-0.0333458206	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0267183	0.0082937999999999	0.00071386755489	6.878711843999994e-05	0.0161299	1.359999999999903e-05	1.8495999999997358e-10	0.00026017367401	-0.0405636	-0.012794	0.0001636864359999	0.0016454056449599	-0.00111197	-0.000192295	1.2364772809e-06	3.6977367025000034e-08	0.000350329	0.000350329	1.2273040824100002e-07	1.2273040824100002e-07	-0.000672493	0.0	0.0	4.522468350490001e-07	0.0	0.0	0.0	0.0	-0.9560621123	-2.369066	0.1451916476	0.3588974951	-0.117865631	-0.05349724439
7428.209498813208	-87.82912552105154	7713.955289792627	55178296.35825876	9600.670547911765	-183.96299090698997	33842.382023445265	92172874.9695404	6739.144258866552	-38.76662121081972	1502.8509201031775	45416065.34181401	6848.129203546624	6491.913421891891	1.88254	38.242271	0.349360245	0.204845	-0.0039444425	0.0111343859	-0.0693462806	0.0262575508	0.054957587	0.2740338009	0.1878678372	-0.2363366579	0.0645410758	0.0614233702	-0.1925488726	-0.2032648414	0.2899767724	-0.0065077375	-0.0596014647	0.1257926495	-0.0780916321	0.4525109614	0.0515405952	0.054235699	-0.0973643897	0.0545986747	-0.3403094367	-0.1246168661	-0.1050485556	-0.02263731	0.2057591464	0.0053012361	-0.1513762594	0.0417796299	-0.0140049112	-0.0519302731	-0.0964233659	-0.0299333946	-0.0253242248	-0.213106021	0.0284618715	-0.0343358	-0.0345912389	-0.0494453466	-0.1163055188	0.0976040016	-0.0492072248	0.0365455705	0.0437148279	0.0189021835	0.0620661744	0.0995637039	-0.0128484059	0.0624609844	-0.1400715575	0.0303655944	-0.0262786482	0.0311290761	-0.0006646552	0.024515614	-0.0109619071	0.1615856296	-0.3057916499	-0.066391428	-0.3958341676	0.1637619658	0.1671048183	-0.0574905939	0.1980067472	0.3443850053	-0.0168980195	0.3205568234	-0.0475632031	0.0355645209	0.0644809996	-0.0726901904	-0.0160998827	0.0700032146	-0.0082889744	0.0024148352	-0.119502544	0.145738168	-0.0010529541	-0.0776386464	0.0732823525	0.0364729825	0.0537089596	-0.107766135	-0.1008546266	-0.0372121784	0.0762392379	-0.0244854839	0.0196760518	0.1284041452	-0.0794241367	-0.0285274063	0.0267186115	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0238485	0.0028697999999999	0.00056875095225	8.235752039999993e-06	0.0760263	0.0598964	0.00358757873296	0.00577999829169	-0.207748	-0.1671843999999999	0.0279506236033599	0.0431592315039999	0.000534485	0.001646455	2.8567421522500004e-07	2.710814067025001e-06	6.96961e-05	-0.0002806329	7.875482456241004e-08	4.85754635521e-09	-0.000211388	0.000461105	2.126178210250001e-07	4.4684886544e-08	1.0	0.0	0.0	0.0	0.9165588659	-2.50336237	-0.8471876242	-4.626869624	-1.058374543	-1.588573976
7454.570726694445	26.361227881237028	694.9143354065085	55570624.71928974	9698.08393186239	97.41338395062483	9489.367372711857	94052831.94944748	6733.379499762423	-5.764759104129553	33.23244752864456	45338399.487820856	6853.708659648749	6561.6540484869065	1.538228	31.247856	0.115469645	0.068287	0.1013850096	0.0359145065	-0.0896571144	0.083872854	0.1546677522	0.1639528118	-0.0550063462	-0.1035491617	0.0821365756	-0.0309697628	0.0769708867	-0.0412397675	0.0025818822	-0.0695371649	0.1555745176	0.0063606562	0.0687899234	0.1622979901	0.0483278865	-0.0984743682	0.0883018149	-0.0822769659	-0.0954541934	0.1015359985	0.1008626424	-0.0140596527	0.0364045654	0.1995947297	0.0726430549	-0.0786598198	0.0284838609	0.0499280098	-0.0803443809	0.0308761588	0.1896806061	-0.011314985	-0.0993462069	-0.00614714	0.0542785167	-0.0727859634	0.0008357791	0.1248656417	0.2102251546	0.0587364627	-0.0243557156	-0.1400223925	0.2688839373	-0.0693994684	-0.1207029244	-0.0007623347	0.0682910454	-0.0190743062	-0.0251233577	-0.0413078129	-0.0878966569	0.1520271439	0.091741003	-0.0217045675	-0.1460266269	0.0241853426	0.0583762839	0.0697360827	-0.0247135114	-0.2192759153	0.0723060738	-0.0508215114	-0.0656932835	-0.040444094	-0.1775340685	-0.1194808604	0.0320390519	0.0589026276	-0.1338555672	0.0844619525	0.0575411528	-0.0676670655	0.2100875407	0.0737604712	-0.1112871747	0.0517072592	0.2163523927	-0.0380388647	0.036159262	-0.0763365738	-0.0205651102	0.1337151461	-0.0971681058	0.0369952098	-0.182562723	-0.0403022925	0.0807330702	-0.0814718524	-0.1332477517	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0178443	0.0060042	0.00031841904249	3.605041764000001e-05	0.064424	-0.0116023	0.00013461336529	0.0041504517759999	-0.26064	-0.0528919999999999	0.0027975636639999	0.0679332095999999	0.00123625	0.0007017649999999	1.5283140624999998e-06	4.924741152249999e-07	-0.0	-6.96961e-05	4.85754635521e-09	0.0	-8.342619999999998e-05	0.0001279618	1.637422225924e-08	6.9599308464399985e-09	0.0	1.0	0.0	0.0	2.505022732	-1.939140155	1.37755301	-1.065831337	-1.574959519	1.003047141
7474.850650723473	20.27992402902873	411.275318623177	55873392.25062113	9761.484923368876	63.40099150648712	4019.685724005652	95286587.90915789	6730.704414259487	-2.675085502935872	7.156082448017666	45302381.912132144	6847.377098494923	6471.150434125722	1.137548	23.108372	0.0687411399999999	0.037051	0.0208753252	0.0710405336	0.0415906456	0.0529589761	0.0221866094	-0.0152686074	-0.0780906915	-0.0410811796	0.0005190196	-0.1261069837	-0.0515501741	0.0933822724	-0.1461395857	0.0112425592	0.1972720117	-0.0832447601	0.0545054118	-0.1019717916	-0.0216154779	-0.1919432532	0.0680332663	0.0088178862	0.0287407402	0.0349391723	0.0424079079	-0.0295083131	-0.107372152	-0.085449772	-0.0637458775	0.0052763722	0.072727651	0.0666518461	-0.2058854147	0.1237362309	-0.0549377317	0.0172305769	0.0479834627	-0.0422621762	0.1114914071	0.0071869187	-0.0533835528	-0.0478317076	0.1071066019	0.1045608983	-0.0397914661	0.2097214075	0.057250221	-0.0773200985	-0.061808005	0.0982397218	0.0391185967	-0.0469412519	-0.0990570708	-0.0064540699	0.0073877227	0.1634869736	-0.0022176498	-0.1077484857	0.0329730743	0.0676131555	0.2304514809	-0.0987775097	0.0612272251	-0.0569050606	0.0057196532	-0.0064015157	0.0278409483	0.0229161578	-0.0340990144	0.1300092232	-0.0248722993	0.0881030726	0.0960361945	-0.1079606255	-0.049059613	0.0784199467	0.1094637611	0.1828347291	-0.0641803691	0.0379304491	0.042969516	0.06967216	-0.210718569	0.0036430761	-0.1183238895	0.1176636203	0.1136437091	0.0706393198	-0.0277296922	-0.0848836442	0.0951875377	0.0245370069	-0.0602707647	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0176832	0.0001611	0.00031269556224	2.5953210000000263e-08	0.0604687	-0.0039552999999999	1.564439808999996e-05	0.00365646367969	-0.242339	0.0183009999999999	0.0003349266009999	0.058728190921	0.000943716	-0.0002925339999999	8.90599888656e-07	8.557614115599994e-08	0.000524217	0.000524217	2.74803463089e-07	2.74803463089e-07	-0.00019315	-0.0001097238	1.2039312286440005e-08	3.73069225e-08	0.0	0.0	0.0	0.0	0.1529118168	-2.781214953	1.425942431	0.2987681635	0.1739525461	-0.2086056207
7483.408608179864	8.557957456390795	73.23863582539481	56001404.396980494	9680.264469267844	-81.22045410103237	6596.762164377907	93707520.19496946	6732.901406437624	2.196992178137407	4.826774630796948	45331961.34880974	6845.604740119461	6571.69499980464	0.9819230000000002	19.94696	0.06829835	0.0357839	0.0495012453	-0.0281202127	-0.0221206144	-0.0839964621	-0.007823093	0.034632834	0.1057592705	0.0025581604	0.0752317398	0.0820027733	-0.0749362224	0.0561606051	-0.039268497	-0.0258282691	0.1744418438	-0.0687890477	0.0420939405	-0.0524118702	0.0102356728	-0.1483871873	0.1375273781	-0.1173285001	0.0455096628	-0.0031698557	-0.1338554754	-0.0224775246	0.06768361	-0.0053472462	-0.026677776	0.058080525	0.0898279341	0.053238363	-0.0844303491	-0.1741280451	0.0442479373	0.1046592694	-0.0310185039	-0.0051670225	-0.2539210755	0.1724011611	-0.0836617941	-0.0607267295	0.0425871666	-0.0237954958	0.015737466	0.0152588658	0.0116348765	-0.1211856878	-0.1280944387	-0.0738614035	-0.0863279012	0.0251448225	-0.0231309099	0.0269797068	-0.0153463556	0.1496723629	0.0817888101	-0.0814511615	0.0681547378	0.0586247158	0.1033088949	-0.2232805043	0.0705001244	-0.0404021312	0.1717619492	0.1077783829	-0.060652054	0.0241731625	0.057094661	0.0521248786	-0.0299846706	0.0194726903	0.108658502	0.0885448641	0.1444095814	-0.1267300407	0.1008723869	0.0396926787	0.008461461	-0.0967332415	-0.0406558988	0.0862455077	0.1563826915	0.0975936863	0.0859221526	-0.035630227	0.0916106483	0.081976412	-0.0472061756	-0.1237452013	-0.0385374316	-0.0193056732	0.0328797711	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0196597	-0.0019764999999999	0.0003865038040899	3.906552249999996e-06	0.0452794	-0.0151893	0.00023071483449	0.0020502240643599	-0.230207	0.012132	0.000147185424	0.052995262849	0.000403812	-0.000539904	1.6306413134399997e-07	2.9149632921600013e-07	0.000677646	0.0001534289999999	2.3540458040999986e-08	4.592041013159999e-07	-0.000279828	-8.667799999999997e-05	7.513075683999994e-09	7.830370958399998e-08	0.0	0.0	0.0	0.0	1.556507503	-2.832974067	2.261286493	-0.7180994045	0.0616517076	-1.903765862
7489.561081819815	6.1524736399505855	37.8529318902868	56093525.19831	9763.46241209822	83.19794283037663	6921.897691206618	95325198.2724548	6764.413926651909	31.51252021428445	993.038930255686	45757295.7710823	6881.871421832061	6556.721639998228	0.981341	19.935158	0.05595805	0.0373208	0.0320396424	-0.0149409116	-0.029429891	-0.0513983372	0.027220884	-0.0334893467	0.0628950678	0.1605794083	0.0865652349	-0.1167942831	0.047266394	0.0490526591	-0.005640149	-0.0491177702	-0.0823353612	0.0558821007	0.0732450537	0.1011867414	0.0966581191	0.0058396747	0.0807920047	-0.1766971154	-0.0243573957	0.0414822342	-0.0359269868	-0.0676409287	-0.1021546503	-0.0330551053	0.1045563619	-0.0573090618	-0.0098356528	-0.0887335105	-0.0420767435	-0.0277834851	-0.1370281031	0.1482334866	0.0564993521	-0.0336296816	0.099307595	0.1725095168	0.0555276062	-0.1193969092	-0.1004778629	-0.1572531589	-0.0105088424	-0.0237179009	-0.0976171622	0.0053582974	0.039998248	0.007350248	-0.0059673794	0.0297477516	0.1992054662	-0.0055799031	-0.0351186517	-0.0761374463	0.0804097214	0.0817632139	-0.0934778666	-0.0582089599	0.0078049602	-0.0687663408	-0.0926449076	-0.0795251655	0.1308107105	-0.0900637628	-0.0529773766	-0.1063931887	0.0714304135	-0.035835403	-0.0676006075	0.0726811667	0.1355716365	-0.0143735704	0.0935194461	0.0670349032	-0.069469562	0.0106639698	-0.0448798741	-0.0377151963	-0.2579258719	-0.0632972301	-0.0616280286	0.1483740527	0.0125325267	-0.0059276798	0.0003440414	-0.0008030971	0.1082435424	-0.0416530148	-0.1177434791	-0.0022816714	0.0037187308	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.017868	0.0017917	0.0003192654239999	3.2101888900000008e-06	0.0473974	0.002118	4.485924000000008e-06	0.00224651352676	-0.22774	0.0024669999999999	6.086088999999985e-06	0.0518655076	0.000688379	0.000284567	4.738656476410001e-07	8.097837748900005e-08	-5.999780000000001e-23	-0.000677646	4.592041013159999e-07	3.5997360048400014e-45	-0.000309242	-2.9414000000000013e-05	8.651833960000007e-10	9.5630614564e-08	0.0	0.0	0.0	0.0	1.04999103	-1.338432583	0.2794534113	-0.823448708	1.183777563	-1.062743725
7478.70671686172	-10.854364958094266	117.81723864350472	55931054.15683261	9778.848625834378	15.386213736157517	236.7355731347222	95625880.4469829	6757.403815622338	-7.010111029570908	49.14165664691169	45662506.32738733	6876.304182475911	6544.263329772054	0.902167	18.326794	0.0669875499999999	0.0449272	0.0414565453	-0.005536139	-0.0578427851	-0.004198636	0.0457849654	0.0177571721	0.0253204834	0.1190534336	0.1077508001	-0.0033486301	0.0498523173	0.0816219325	0.0202196457	-0.0445404044	0.0150061223	0.0795445386	0.0856233512	0.0841520694	0.0415180652	-0.0530693002	-0.0090347104	-0.0203684449	-0.0130076269	0.0938646033	0.0439601029	-0.0451291922	-0.0559469485	0.0699262058	-0.0941582725	-0.0719928412	0.0070481722	0.0202300754	0.0536660949	0.2022341212	-0.1499058227	0.0266990296	-0.0567662506	-0.0262703135	0.0882507088	-0.0678606128	-0.052412299	-0.0061051555	0.0248165808	2.90749e-05	-0.025538788	-0.1293960807	-0.0472664884	-0.0499748538	0.1513054081	-0.0227108015	0.1468634388	0.2080761966	-0.0880120028	0.0678596375	-0.0408726888	-0.0008408392	0.0951685659	0.0752254869	-0.0919965379	-0.0154677253	0.0701367139	0.0397285074	-0.0222851771	-0.0706281197	0.0106278653	-0.0711311576	-0.0684413117	-0.0269643139	-0.1265878889	-0.0376895811	-0.0601625979	0.0213537572	0.0113437744	-0.0239500992	-0.0661336804	0.2284209123	0.0516932008	-0.0671845484	0.0329231941	0.0140504314	0.0672648938	0.0483224602	-0.0088229009	-0.013541152	-0.01603472	0.0358142255	-0.2574601552	-0.0202170965	-0.0380507231	0.0993271438	0.0552828488	0.0910544452	-0.0675114959	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0105839	0.0072840999999999	0.00011201893921	5.3058112809999975e-05	0.039049	-0.0083483999999999	6.969578255999999e-05	0.001524824401	-0.18526	0.0424799999999999	0.0018045503999999	0.0343212676	0.000582677	-0.000105702	3.39512486329e-07	1.1172912804000013e-08	-0.0	5.999780000000001e-23	3.5997360048400014e-45	0.0	-0.000237443	7.1799e-05	5.155096400999999e-09	5.6379178249e-08	0.0	0.0	0.0	0.0	1.556638305	-0.9667467042	0.4261103786	-0.5203836117	1.225049168	0.1843680055
