global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_01	aroma_motion_10	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_19	aroma_motion_20
5951.647341045941	n/a	35422106.07217922	n/a	9765.698421580326	n/a	95368865.66125646	n/a	5166.03934278945	n/a	n/a	26687962.491248447	5648.923452576599	5350.190268816739	n/a	n/a	n/a	n/a	-0.0768450881	0.0700487934	-0.1430262805	0.0094781331	-0.1061829502	-0.0521257402	0.0739805918	-0.0699797617	0.0641584885	-0.0044067954	0.0240271283	0.0564277686	-0.0168296475	0.0291405655	0.1507189576	-0.0541469121	0.0060484892	-0.0266885007	0.0225040683	-0.0582838894	-0.1794742394	0.0465618209	-0.1359492837	0.1583474138	-0.0029872192	0.0762143773	-0.0417094431	0.0027075065	-0.0473372676	0.0801621445	-0.0896897534	0.10939598	-0.1505881605	0.0001011807	0.0261642283	-0.1255518734	-0.1009573174	0.1581142855	0.0790982218	-0.1195492071	-0.0501699295	-0.1028544429	0.1410448524	-0.0836821452	-0.0084757443	-0.0271808442	-0.020933654	0.0643253831	0.1424922179	-0.0229695173	-0.0661808302	-0.06520885	-0.0916444458	0.0640522665	0.0264883989	-0.0145901897	0.1605673823	-0.0636120516	0.0153515869	-0.1072260671	0.0198332891	-0.0757407257	-0.018311126	0.0428771179	-0.1957744756	0.0508935292	-0.0433556794	0.102505635	-0.0048805882	0.148957395	-0.0663739679	0.1400145191	-0.2287429887	0.0382039549	-0.0265223229	0.1903279498	-0.0031359229	-0.1126520487	0.0459820178	0.0775605477	-0.1219725128	0.0086880719	0.0686999705	0.0598497111	-0.1025546614	-0.0189792605	-0.1016906947	0.1035768388	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.101791	n/a	n/a	0.010361407681	-0.035328	n/a	n/a	0.0012480675839999	-0.00216841	n/a	n/a	4.7020019281e-06	-0.00371762	n/a	1.38206984644e-05	n/a	-0.000809736	n/a	n/a	6.55672389696e-07	-0.00525617	n/a	2.76273230689e-05	n/a	-0.1622241405	0.7422310102	-0.3305947691	-0.413929163	-0.7419791186	-0.5517018696	-1.573777248	-0.8169446762	-0.904661888	-0.6431611176
5980.281152821169	28.633811775227517	35763762.66678809	819.8951767791579	9784.461912511842	18.76349093151657	95735694.9173949	352.0685919371046	5177.06598654835	11.026643758900718	121.58687258570416	26802012.229075845	5652.5246816723975	5615.920304623039	1.07475	28.941614	0.07247954	0.0412725	-0.0285699983	0.0135158706	0.0299208104	0.1073079451	-0.0633228472	-0.0064884551	-0.0432279981	0.011623272	-0.1402541563	0.0182172979	0.0459322181	0.0204266581	0.0225262108	0.0515952911	0.0079347392	-0.0358780172	0.0383628646	0.0928589702	0.0262214813	-0.0808049399	-0.0015455944	-0.0779853309	-0.0274314381	-0.0455497673	0.0188851238	0.0177145601	0.0377447237	0.126327677	0.0073528708	0.0269418861	-0.088475266	-0.0198532091	-0.0245445965	-0.0558926962	0.0314715745	-0.0211231801	-0.0385358361	0.0771336344	0.0639025115	-0.1047351084	-0.1158736654	0.074555818	0.0708833956	0.0126946965	-0.046364411	0.107609873	0.0351842267	-0.0318269547	0.0176841222	0.0271187696	0.1474703315	-0.0162472537	0.0408907776	0.0077721065	-0.0241355277	-0.0740376967	-0.0047038352	-0.0057299788	-0.0544793671	-0.0754588727	0.1094562014	0.1698999079	0.0573855245	-0.0598283395	-0.0939641174	0.0487915397	-0.0441128844	-0.002250387	-0.0759590543	-0.0549655265	0.0488290041	0.0059097468	-0.0328828657	0.1612310224	-0.019825993	0.1956675283	0.0312670247	-0.1108766822	-0.0722921752	-0.0714251253	-0.0796480426	0.0325166797	-0.0586201305	-0.1056701698	-0.001634395	0.1163005866	0.0587072437	-0.0370690958	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0984541	0.0033369	1.1134901610000023e-05	0.00969320980681	-0.0242139	0.0111140999999999	0.0001235232188099	0.00058631295321	-0.0306641	-0.02849569	0.0008120043485761	0.00094028702881	-0.00324962	0.000468	1.05600301444e-05	2.190240000000001e-07	-0.000761549	4.818699999999999e-05	2.321986968999999e-09	5.79956879401e-07	-0.0051817	7.447000000000009e-05	2.685001489e-05	5.545780900000013e-09	0.1990612535	0.5334905736	1.073452857	0.3851518035	-2.583003781	-0.4023341763	-0.6818953171	-0.3893233219	-0.006297675624	-0.9978449826
5969.40081083179	-10.880341989378394	35633746.04035924	118.3818418058306	9735.053210678936	-49.408701832906445	94771261.01475026	2441.2198168130526	5171.521680911847	-5.544305636502941	30.73932499095828	26744636.4961413	5645.683029525869	5591.154205836799	1.061902	28.595612	0.0849065499999999	0.0457311	-0.0333385297	0.0699700572	0.0154422617	-0.0985688833	0.0459947336	0.001612376	0.049954903	0.0550214944	-0.1052830324	-0.062685998	0.0170378971	0.06224596	-0.0766480183	-0.0274230249	0.0881867371	0.0096023944	-0.072586058	-0.0678395241	0.1217630224	0.0999218668	-0.0528790029	-0.0657935883	-0.0363706004	-0.095760303	0.0296445757	-0.0292426277	-0.0561271023	0.1812304197	-0.050255948	-0.0453417853	0.0239806199	-0.0073771246	-0.0016212847	0.0648027376	-0.0291841286	-0.0634336362	-0.0332372362	0.1418241935	-0.0447582373	0.008781354	0.0923985185	0.0951197406	-0.1388105907	0.0240110195	0.0409502053	0.158780138	-0.0169184736	0.160568055	0.078425744	0.1575915923	0.0579406752	-0.0580327712	-0.0160514175	-0.0533996152	-0.051969692	0.0355190457	0.1130810001	0.0448703259	0.0999362202	0.1631829349	0.0677473638	0.0395406467	-0.0102005747	0.0156828296	0.0260317134	0.0768062769	-0.0552278311	0.0153789201	-0.0011301952	-0.0436468441	0.0753042922	-0.0584927163	0.0162337633	0.0996836584	-0.0782165996	0.1099893423	-0.1090919265	0.0518976918	-0.1920358671	0.0837897756	-0.024865234	-0.1724128048	0.0248683278	0.0492586737	0.0359247465	-0.0012157297	-0.1043661098	-0.0898310243	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.095449	0.0030050999999999	9.03062600999998e-06	0.009110511601	-0.004619	0.0195949	0.0003839601060099	2.1335161e-05	-0.0670942	-0.0364301	0.00132715218601	0.00450163167364	-0.00301321	0.0002364099999999	9.0794345041e-06	5.588968809999992e-08	-0.00064571	0.000115839	1.3418673921000016e-08	4.1694140410000006e-07	-0.00501642	0.00016528	2.51644696164e-05	2.7317478400000092e-08	0.3783928926	0.564043556	-0.2517373867	0.7147965242	-0.6852815469	-0.120671448	-1.835432159	0.8490870874	1.370370737	-1.240571448
5946.324987437024	-23.075823394766303	35358780.85621792	532.4936253464439	9732.984282391595	-2.068928287340896	94730983.04128183	4.280464258159332	5163.308254406553	-8.213426505294592	67.46037495787573	26659752.13002284	5645.935940348216	5415.578342628044	1.015045	27.333822	0.11233081	0.0680373	-0.0635833509	0.062591106	0.0169016936	0.0062941961	0.1022034674	0.0684744111	-0.1287879987	-0.029518333	0.0459167439	0.0868326771	-0.0251132153	0.105402815	-0.0248833167	-0.0023144526	-0.0146538788	0.0142412301	-0.0237495901	0.1201815621	-0.0839590115	-0.1090063674	0.0581204692	-0.0636496876	0.0917192863	-0.094913873	0.050858822	-0.0317706704	0.0819422618	0.0300873877	0.033207762	-0.0676010964	0.0437484935	-0.1211270461	-0.144568546	0.1976508923	-0.0395236921	-0.1536575081	-0.0015458761	0.0084528823	0.07908005	-0.0658066809	-0.0548816072	0.016692498	-0.2242474942	-0.0462641867	-0.0007556249	-0.0369591465	0.015907476	-0.0446777102	-0.0633131876	-0.2179948369	0.0629075535	-0.0999201528	-0.0287835085	-0.0110255541	-0.012557096	-0.0091281931	-0.1089945004	-0.0049487602	-0.0750903735	0.0182078183	0.103179476	0.0578634844	-0.0397975774	-0.0878161317	0.0376242225	-0.090604507	0.0152592579	-0.0989202771	-0.0374320217	-0.0948752253	0.0913624638	-0.1122953325	-0.0274814268	0.0057884087	-0.0246998041	-0.0864872002	0.0721354043	-0.0049165606	-0.0920236823	0.2296110754	0.0588674031	-0.1179285451	-0.0362783598	0.1021507239	0.1524314764	-0.0298934906	0.0522647412	0.0838198599	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.108446	-0.0129969999999999	0.0001689220089999	0.011760534916	-0.0216215	-0.0170024999999999	0.0002890850062499	0.0004674892622499	-0.00571689	0.06137731	0.0037671741828361	3.268283127209999e-05	-0.00324192	-0.00022871	1.05100452864e-05	5.2308264100000014e-08	-0.00070291	-5.719999999999998e-05	3.2718399999999973e-09	4.940824681e-07	-0.00514959	-0.00013317	2.65182771681e-05	1.7734248900000043e-08	0.2626858576	0.5129345634	0.1189962129	0.504159388	-2.282438091	-0.518203334	-0.9611104397	-0.3450177946	0.0769791952	-1.532846675
5942.926501570251	-3.3984858667727167	35318375.403066024	11.549706186653903	9710.645189418832	-22.339092972762955	94296629.9947831	499.03507484574726	5159.230198600582	-4.078055805970507	16.630539156609764	26617656.242152203	5647.217020311103	5408.782524366533	0.96485	25.982149	0.0754801399999999	0.0420487	-0.0758179609	0.0800869286	-0.0324701779	0.0096747122	0.1482221501	-0.1739084241	0.0358015026	0.0634575607	0.1373800609	-0.0401353523	-0.0471085372	0.0909333157	0.1017131787	0.0895837681	-0.0307367906	0.0693243139	-0.1408370858	0.0533735289	-0.095888449	-0.0579735639	0.0317332005	0.0190654525	-0.2222108889	-0.1605857277	0.264772929	0.0281054506	0.0141045339	0.1503038644	-0.0672142463	-0.0092199068	-0.0016614332	-0.0569561267	0.0163007865	-0.1913174942	0.0674981556	0.1733568149	0.0505428418	-0.1616356349	-0.004316603	0.0276516267	-0.04150709	0.0213502853	-0.0866856396	-0.0413888494	0.0924840817	0.044908863	-0.1197213929	-0.0104610572	0.1272153208	-0.0498715743	-0.0712436132	-0.1087177595	0.0411168066	-0.0394933371	0.1640375527	0.0301757641	-0.0411358382	-0.052703738	0.0867196491	-0.0396011036	0.0995432417	0.0089326885	-0.0518985816	0.1960585369	-0.0135881844	0.0672648547	0.0621688472	-0.223917689	-0.0834607131	0.0739417886	-0.0426909224	-0.1964766644	-0.0277922266	0.0865521304	0.0210396863	-0.1211640904	0.027506017	0.0856258977	-0.1055253087	-0.1567120448	-0.03345443	0.0179772884	-0.0688386263	-0.0359651446	-0.0045243491	-0.0203143727	0.061155206	-0.0541619097	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0907532	0.0176927999999999	0.0003130351718399	0.00823614331024	-0.0404493	-0.0188278	0.00035448605284	0.00163614587049	-0.00137835	0.00433854	1.88229293316e-05	1.8998487225e-06	-0.00261306	0.00062886	6.8280825636e-06	3.954648996000002e-07	-0.00064571	5.719999999999998e-05	3.2718399999999973e-09	4.1694140410000006e-07	-0.00514323	6.359999999999526e-06	2.6452814832900003e-05	4.0449599999993966e-11	-0.02893492139	-0.1580403583	0.3120178442	0.449168155	-1.344124329	-0.4070830089	-1.344264996	-0.4857404193	2.274189467	-0.5135890778
5936.142105720887	-6.784395849364046	35237783.09931241	46.02802704086809	9744.65597550164	34.01078608280841	94958320.08087984	1156.733569970554	5160.334960027276	1.1047614266935852	1.220497809910046	26629056.899679706	5643.275780618191	5287.0099769468425	1.018332	27.422333	0.08974978	0.0579263	-0.0889694553	0.0689166296	-0.0147916698	-0.0021735844	0.0949772202	0.0235643741	-0.0623349128	0.0007345008	0.0068326012	-0.0336751695	0.2685624281	0.1050380142	-0.0812373187	-0.0426595763	-0.0144430459	-0.1563029855	-0.0018760153	0.0822567188	-0.0060880594	-0.1016800561	0.0009608745	0.038243521	-0.1430910048	0.2221409902	-0.104939012	-0.029455487	-0.0418108317	0.1110897407	-0.0894691882	0.0196635	0.1181280281	0.1222633561	-0.0308181273	0.1093141155	0.0498888812	0.0431946343	-0.1852595644	-0.14192739	0.0150576474	0.0081800586	-0.0404114011	0.2175968822	0.0374438549	0.0998059667	0.0508934675	-0.0856204081	0.0649544707	0.0282802628	0.0041458823	0.0725856712	-0.0556220755	-0.0997197667	0.004377455	-0.0641553147	-0.1122593792	-0.0425955827	-0.0575612957	-0.015272237	-0.0202971521	-0.0586117013	0.1077275563	-0.0352069648	0.0353561821	0.2353900076	0.0358998956	0.0530948516	0.0091746416	0.0338691764	0.0676466932	0.0603198654	0.0855292872	0.107199403	-0.1097589955	-0.0705065596	-0.2210348182	-0.0275737185	-0.0168158983	-0.1663730609	0.0962886815	0.0837258084	0.1146777578	-0.1638357051	-0.0503783548	-0.0239741401	-0.1143335515	-0.047922996	0.0624548309	-0.1260697267	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0651872	0.025566	0.000653620356	0.00424937104384	-0.0423956	-0.0019462999999999	3.788083689999993e-06	0.0017973868993599	-0.00508883	-0.00371048	1.37676618304e-05	2.58961907689e-05	-0.00258484	2.8219999999999808e-05	6.681397825600001e-06	7.963683999999892e-10	-0.00041864	0.0002270699999999	5.156078489999999e-08	1.752594496e-07	-0.00422798	0.00091525	1.7875814880400002e-05	8.376825625000005e-07	0.03215606164	-0.03660648443	-0.2693331824	0.4487376975	-2.0540669	-0.08050638938	-1.566912363	0.3634187056	-0.5401715369	-1.270395538
5946.176526776957	10.034421056069732	35357015.287593275	100.6896059304956	9785.483513095056	40.8275375934154	95755687.58505516	1666.8878259417477	5166.7600944306805	6.425134403404627	41.28235210181373	26695409.873401336	5649.566001780067	5359.177295496387	0.996565	26.836197	0.0834232699999999	0.0416005	-0.0826116308	0.104800006	-0.1305074156	-0.0365808663	-0.0815906053	0.0367277196	-0.002573801	0.0636691016	0.0750313037	-0.1742516581	-0.0155627243	0.056248782	-0.0132886184	0.0771442092	0.0937095466	-0.0617780178	-0.0258465707	-0.0739366985	-0.063576462	-0.1825527844	0.0536832721	0.0709634011	-0.1120339859	0.0740515241	0.011563525	0.0049099875	-0.0853656381	-0.1230883336	-0.1210385903	-0.0141805646	0.0866064865	0.0517949602	-0.0552765362	-0.0360279763	0.0001713934	0.115697877	-0.0987543344	-0.0319870885	0.024860744	0.0842151759	-0.0799118875	0.0078505896	0.0364453146	0.2350222835	0.0227026519	0.0088559445	-0.0722502102	-0.0579601386	-0.1129902849	-0.1087994255	-0.1130183724	-0.0616449723	-0.0496755091	0.026121913	0.0204447596	-0.0743623988	0.1114564025	-0.1245190588	0.0879972396	-0.2037429456	0.0439361681	-0.0762031365	-0.0176364978	0.0352596088	0.032943645	0.0996017609	0.061848999	0.0699371328	0.0768581546	0.1176699306	-0.1119916627	-0.0161531589	-0.0801009232	0.036414365	-0.095674031	-0.0550601159	-0.0676407682	-0.0130669894	0.0967611609	-0.1069512268	0.1645661275	-0.0573465132	-0.0284132456	-0.0311499419	-0.1100495693	-0.0176899612	0.1062592243	-0.0467289004	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0696463	-0.0044590999999999	1.9883572809999942e-05	0.0048506071036899	-0.0121702	0.0302254	0.00091357480516	0.00014811376804	0.00101849	0.0061073199999999	3.729935758239999e-05	1.0373218800999998e-06	-0.00294328	-0.0003584399999999	8.6628971584e-06	1.2847923359999986e-07	-0.000645709	-0.0002270689999999	5.1560330760999975e-08	4.1694011268100005e-07	-0.00396086	0.00026712	1.56884119396e-05	7.135309440000002e-08	-0.2212190448	0.5085124083	-0.6298831477	-0.4370433882	-0.7194638318	0.02609181885	-1.217701168	-0.6227271584	0.657226879	-0.2693925107
5962.9460427658005	16.769515988843523	35556725.50893632	281.21666650007853	9795.192928528097	9.709415433040704	95945804.50708684	94.272748051369	5178.789748823253	12.02965439257241	144.7125848047367	26819863.26251681	5658.480819442133	5417.539812369946	1.025945	27.62734	0.07578554	0.0322335	-0.0574461689	0.0621916387	-0.0072835991	0.0131854748	-0.0759899718	-0.0871167824	-0.038722827	0.0305219209	0.1130623562	0.1524503039	0.0820205666	0.0289962471	0.0074577818	-0.0285846761	0.0744531982	0.1177050426	0.1079561785	0.1879195466	0.0651007741	-0.0916596471	-0.0360357801	-0.078540441	-0.0847482963	-0.059968501	-0.046810144	-0.0711305801	0.0717898608	0.0535440535	0.0967217396	0.127847311	-0.0694791107	0.0849459064	0.152663515	0.0865209497	0.0390760323	0.0242827475	0.1325545878	0.1712661501	-0.0893405606	0.0252926422	0.0917275471	-0.019832702	0.0415125006	0.0473633672	-0.0317524939	-0.0214823063	0.0472020068	-0.0137836256	-0.0278187454	0.1417681932	-0.0775505584	-0.0424945175	-0.0004124892	0.0793254331	0.0483929829	0.0150723366	0.0496282634	0.1383895943	-0.1693188849	-0.0853326323	0.0894673084	0.0872832671	-0.0165344899	0.1008007691	-0.060118928	0.0185193371	-0.0215138235	-0.0137465355	0.0756973107	-0.0458952024	0.08452048	0.0847401771	0.0831887866	-0.0236234967	0.121801824	0.1033544907	0.0019428106	0.0181592368	0.0405656498	0.0282819712	0.1293944457	0.0823279303	0.1117128109	-0.1141809074	0.1884826804	-0.0949361199	-0.1767747759	-0.0637776714	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0621057	0.0075405999999999	5.686064835999992e-05	0.00385711797249	-0.00488147	0.00728873	5.312558501290002e-05	2.38287493609e-05	0.0203486	0.01933011	0.0003736531526121	0.00041406552196	-0.00256027	0.00038301	6.5549824729e-06	1.4669666010000007e-07	-0.000853011	-0.000207302	4.297411920400001e-08	7.27627766121e-07	-0.00371865	0.00024221	1.38283578225e-05	5.8665684100000044e-08	0.07865218502	0.823274758	0.3279939758	0.1911779601	-2.162766609	-0.554241004	-1.361214598	-0.9538941689	-0.5179293371	-2.384423866
5986.737112173386	23.791069407585383	35841021.25027413	566.0149835565451	9799.100644312051	3.9077157839547	96022373.43735686	15.270242648168695	5164.9732857730905	-13.816463050162383	190.89465121650244	26676949.04274968	5639.629896562896	5654.892742478332	1.258111	33.879269	0.2409227699999999	0.138517	-0.0192293992	-0.0103439982	0.0917463365	0.0987899691	-0.1269650162	-0.0474923633	0.0693337228	-0.1631112726	-0.044214004	-0.0372839641	-0.1498256099	0.0140346792	0.2449445225	-0.3062797989	-0.0556208718	-0.0322455148	0.0980706507	-0.1579631131	-0.1721611839	0.0687662878	0.3200806631	0.1186863349	0.1513465241	0.1669318267	0.2605948845	-0.0095683549	0.069051489	0.0602444097	0.2834615146	-0.1249150525	0.0098497502	0.1482734738	-0.0411346636	0.067647805	0.1114977054	-0.000271351	-0.032977564	0.0295617431	0.0165660585	0.0016624004	0.0289527068	-0.1471401331	0.1139244888	-0.1487373291	-0.0016342053	0.0868282397	0.1007989863	0.113736075	-0.0836674147	-0.0160416381	0.0535665922	0.0350938494	0.2304983074	0.1548173579	-0.1806777192	0.269944009	-0.0516642704	-0.1230087198	-0.0032271137	-0.0578768066	-0.2942503901	-0.0060361959	-0.1206952983	0.0341794122	0.1755091723	-0.2528581678	0.0965707538	-0.1003025746	-0.2546044779	0.0648876149	0.1034069515	-0.0753346177	-0.0906970591	-0.0802699861	0.0448340812	0.0879321499	0.0031477235	-0.0649513049	0.013797543	0.0511233424	0.030616197	-0.047453397	-0.0273464511	-0.1662224738	-0.072706121	-0.0323940997	-0.0213079412	0.1731267139	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0585021	0.0036035999999999	1.298593295999999e-05	0.00342249570441	0.0395693	0.04445077	0.0019758709535929	0.00156572950249	0.0693973	0.0490486999999999	0.0024057749716899	0.0048159852472899	-0.00468681	-0.0021265399999999	2.19661879761e-05	4.522172371599999e-06	-0.000231407	0.000621604	3.86391532816e-07	5.354919964899999e-08	-0.0035904	0.0001282499999999	1.289097216e-05	1.644806249999997e-08	-0.05391801091	1.32904571	1.969726587	0.8647064849	0.2950659369	-4.591485389	-0.4821034016	1.163819731	0.07886044656	-0.9379695962
6017.769653958748	31.0325417853619	36213551.60810679	963.0186496602324	9785.120526807248	-13.980117504803276	95748583.72414456	195.44368544810692	5192.270616315514	27.29733054242388	745.1442547423476	26959674.15305349	5671.752434142349	5869.598289897314	1.371212	36.924923	0.248603358	0.158032	0.0300242987	0.0622598831	0.0124253092	-0.1694904172	-0.0880410422	0.1470544638	0.1216426168	0.0018982949	-0.1195290896	0.0807627209	-0.0133923878	-0.0287156061	-0.1447913163	-0.0081773137	0.1605846501	-0.0036313679	-0.0917651082	-0.041298564	0.100419371	0.0585763607	-0.0476204253	0.0176772223	0.0968395222	-0.1003250059	0.0135200406	0.1255335474	0.0962618326	-0.0569408585	-0.1317715233	0.0097318802	-0.0238150429	0.1187107169	-0.0949322197	-0.1350490424	-0.0324355511	0.0737852679	-0.060710171	-0.0639529486	-0.1270408549	-0.1220417364	0.2357817001	-0.1570046264	0.1301910793	0.0744289941	-0.2370944774	-0.0551608713	0.0871588367	-0.1235213429	0.0391075123	-0.0499674898	0.023855328	0.0004261264	-0.1280522455	-0.0976554345	-0.0421488991	0.01754099	0.1946461236	0.0160836111	0.0349917403	0.1313137104	0.0504873225	-0.0117211798	-0.0690078365	-0.1772364772	-0.0826974047	-0.0267682988	-0.06780815	-0.0115743028	-0.1115929379	-0.0886781069	-0.1863393577	0.0515090044	-0.111723189	0.0408592573	0.1293281365	-0.0447434219	0.0571869072	0.1259128373	0.0883441067	-0.0419447277	-0.0727283926	0.1238652284	0.0167948293	-0.0978896128	-0.1001325674	-0.1244026124	0.144468146	-0.0114220854	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0709766	-0.0124745	0.00015561315025	0.00503767774756	0.0197348	-0.0198345	0.00039340739025	0.00038946233104	-0.0291889	-0.0985862	0.00971923883044	0.00085199188321	-0.00259446	0.0020923499999999	6.7312226916e-06	4.377928522499999e-06	4.15616e-06	0.0002355631599999	5.54900023491856e-08	1.7273665945599997e-11	-0.00361665	-2.62499999999998e-05	1.30801572225e-05	6.890624999999893e-10	0.6974750516	1.373147945	0.06351162176	0.3671418412	0.1932233471	0.8485222301	-1.494954638	-0.2092678898	-0.7832044838	0.602343677
