global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	aroma_motion_01	aroma_motion_02	aroma_motion_05	aroma_motion_06	aroma_motion_08	aroma_motion_12	aroma_motion_18	aroma_motion_19	aroma_motion_20	aroma_motion_21	aroma_motion_23
6191.367274985971	n/a	38333028.7337672	n/a	7791.231464462056	n/a	60703287.73282354	n/a	5450.423128900521	n/a	29707112.284053747	n/a	5525.3868964683725	6406.8915172238985	n/a	n/a	n/a	n/a	-0.0436590633	-0.1409749804	-0.0602849388	0.0924517082	-0.0077935212	0.0717594348	-0.1300461251	0.1990077515	-0.1406679527	0.0665812221	-0.0329070052	0.0558842117	-0.1052970321	0.0235960749	-0.0303026439	-0.015488138	0.1462935855	-0.0001931433	0.0990671917	-0.0450884054	0.0223915629	-0.1071380713	0.169573725	0.0956594496	-0.0516010179	0.0606702057	-0.0507758361	0.1128070609	-0.0636079162	0.087574794	-0.0159520696	0.1198430561	-0.0651734454	0.1528022846	-0.0983787515	0.0448361562	-0.0405937737	-0.0225290027	0.0749814314	0.0090232856	-0.1030737725	0.1000601718	0.0476533808	0.0414878253	-0.0813933611	-0.0117918293	-0.1766801657	0.1000078164	0.0041229125	0.0306974867	-0.0081366789	-0.0703462825	-0.107338156	0.0483488007	0.0004093707	-0.1294173336	0.0076204174	-0.0141697286	0.0172470014	-0.0273357917	0.0998945657	-0.0454442419	0.1196352532	-0.1842278721	-0.0605038964	0.0303871943	-0.0887846219	0.14565689	-0.0472549143	0.0093396367	-0.0041120262	0.0436194062	-0.165094685	0.0712539296	-0.1000431196	0.1087807864	-0.0750310538	0.0805474325	0.1580853958	-0.1303993123	0.0810253192	0.0332544103	0.1310001415	-0.0322402444	-0.046219919	-0.0385355669	0.064736482	0.0084795292	-0.0237759126	-0.0623311142	-0.0338857642	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.00136569	n/a	n/a	1.8651091761e-06	-0.063065	n/a	n/a	0.0039771942249999	-0.458314	n/a	0.210051722596	n/a	-0.00323087	n/a	n/a	1.0438520956899998e-05	-0.00173441	n/a	n/a	3.0081780481e-06	0.000114501	n/a	n/a	1.3110479001e-08	2.317034254	0.0258587576	0.3072933181	-0.3490243695	1.632838396	-1.163086966	-2.153747204	-1.646794939	-0.6673942732	-0.6310904232	0.04472638828
6206.21927713391	14.852002147938949	38517157.71586855	220.5819678023831	7824.202037437326	32.97057297527044	61218137.5226384	1087.0586823176336	5451.042020207935	0.6188913074138327	29713859.106072605	0.3830264503924032	5527.898261511201	6508.535780262158	0.891367	23.326624	0.04098804	0.0231178	-0.0139169402	-0.1785997866	0.0002760393	0.1208605883	0.0911135911	-0.0106297571	-0.0975387846	0.087370863	-0.0329216699	-0.0522090875	-0.0982403579	0.1144781959	-0.0961310691	0.0979978513	-0.0748980881	-0.0342028574	0.1413370563	-0.0628996499	0.0462166333	-0.039775653	-0.010060213	-0.0480055786	-0.0151470744	0.0987279594	0.0141878958	0.0599008314	-0.1680881099	0.1155113951	-0.0461751684	0.0111811451	0.0182801934	0.0699134605	-0.0619475031	0.1447880814	0.0108065857	-0.0393539636	-0.0916062695	0.0970099833	-0.0170703783	-0.0370857188	-0.0822768775	-0.0563320604	-0.1201494598	-0.067562114	0.0140159545	0.1027180097	0.0031061978	0.012027399	0.1293292861	0.1995416027	0.0705826275	-0.1307939883	-0.0955101894	0.1364077328	0.0119391164	-0.1211588544	-0.0333133426	-0.0681708294	0.0216026244	-0.094371677	0.0419555411	-0.0509201929	0.0230583671	-0.003979084	-0.0031752791	0.0046276914	-0.1396433489	0.121867853	-0.115683696	-0.0541653371	-0.0071298388	0.0031749279	-0.1436275391	0.0808400093	-0.0554062956	0.0994710998	-0.018182417	0.0566009898	-0.0513357927	0.0337832279	0.0495753921	-0.0662088853	-0.0597453036	-0.1052815854	-0.0183711286	-0.0737031102	-0.1192089697	-0.0360079418	-0.0152087468	-0.0885085752	-0.0233650086	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0013222	4.348999999999998e-05	1.891380099999998e-09	1.7482128399999998e-06	-0.083488	-0.020423	0.000417098929	0.006970246144	-0.45329	0.0050239999999999	0.2054718241	2.5240575999999727e-05	-0.0033205	-8.963000000000027e-05	8.033536900000047e-09	1.102572025e-05	-0.00184023	-0.0001058199999999	1.1197872399999993e-08	3.3864464529e-06	0.0	-0.000114501	1.3110479001e-08	0.0	2.318030079	0.1707752183	0.5790182104	-0.4955967134	1.728191555	-1.100589436	-1.192860092	-1.132876319	-0.965617474	-1.027200379	0.0113708988
6220.903485492995	14.68420835908546	38699640.1758189	215.6259751330353	7849.085200237088	24.88316279976243	61608138.480580896	619.1717909194809	5460.108064853125	9.066044645190232	29812780.07987414	82.19316550858247	5539.70633281794	6632.863860856623	0.840103	21.985075	0.0172458799999999	0.0109227	0.0162384941	-0.1783712898	0.0292710032	0.0817950011	0.1222867517	-0.0971927051	-0.0452441885	0.0241524108	-0.067251064	-0.0571777061	-0.06868773	0.0742113439	-0.056846836	0.0726805459	-0.0581415621	-0.0840600121	0.182353363	-0.0007789301	0.0920283723	-0.030680318	-0.0303954538	-0.0146103738	0.0307011271	-0.0295708018	-0.0178971565	-0.0680425625	-0.0584239849	-0.1069884682	-0.0001130818	0.001594206	0.0954925713	-0.0351635532	-0.0611884026	0.0855435991	-0.0084022212	0.0969369264	0.0488892046	0.1699601404	-0.0241290757	0.0534911103	0.0377288435	-0.0297439517	-0.187402096	-0.0705552025	0.1742213401	-0.067986479	-0.0585196986	0.0893795131	-0.067695823	-0.1109938831	0.0767707875	-0.0138295392	-0.0647874183	0.1012205161	0.0240528844	-0.1694610392	-0.0907542333	-0.0425301765	-0.0166939084	-0.0716931132	0.0340123277	-0.0867170827	0.0623930326	0.0110810985	0.0866596911	-0.0083629336	-0.0290234503	-0.016266006	-0.0023369737	0.0523275196	0.0005309578	0.0256534068	0.0725662559	0.0864986662	-0.0304583579	0.0732139214	-0.0802565619	0.0789143043	-0.0014577971	0.0717543253	-0.0874466782	-0.143885067	-0.1536822779	0.0069144272	-0.0771125352	0.2300626433	-0.0113952305	-0.1161862982	0.0401225981	-0.0055054284	-0.0174749493	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.00133038	-8.179999999999993e-06	6.691239999999988e-11	1.7699109443999995e-06	-0.0885037	-0.0050156999999999	2.515724648999998e-05	0.00783290491369	-0.461691	-0.0084009999999999	0.213158579481	7.057680099999986e-05	-0.00326108	5.942000000000013e-05	3.5307364000000156e-09	1.06346427664e-05	-0.00185723	-1.7000000000000088e-05	2.89000000000003e-10	3.4493032729e-06	0.0	0.0	0.0	0.0	2.32066862	0.3954227548	0.8089645236	-0.4095253504	1.817434441	-1.324565675	-0.4856533615	-0.490772211	-0.5629577669	-0.3483838415	-0.6406159496
6199.596571186244	-21.306914306751423	38434997.64546423	453.98459727524846	7856.908680955986	7.823480718897372	61731014.020881526	61.20685055895894	5464.135896944139	4.027832091013806	29856781.10027353	16.223431353400652	5544.243728258837	6472.275217040794	0.8299919999999998	21.720467	0.05433563	0.0271981	-0.0188737412	-0.1778204606	0.0409002423	0.0127628694	0.1220532204	-0.1101950389	-0.0641291478	0.0410808661	-0.0374427	-0.0380998368	-0.0528601856	0.0804428745	-0.0411746922	0.0378858972	-0.0408965112	-0.0524478948	0.1774719021	0.0608456071	0.093177818	0.0173765877	-0.0584926904	-0.0879956125	0.0030193687	0.0168339994	0.0726516046	-0.0478028757	-0.0121708788	0.0083557257	0.0079728769	-0.0158873004	-0.0004619168	-0.1136075277	0.0860489755	0.0009694265	-0.0965307153	0.0627860779	0.069234123	0.1693966242	-0.050711571	-0.0769981353	-0.0861053436	0.0567451877	0.0241570809	-0.1021594232	-0.0509476246	0.0838104116	-0.0712949711	-0.0613752539	-0.0519195322	-0.0802283271	-0.1203888112	-0.0300264611	-0.0511175625	0.0607055985	0.0359757992	-0.1751029063	-0.060136409	0.0287302819	-0.0598952276	-0.1048338992	-0.0264745442	-0.096294478	0.0432443613	-0.0445906744	0.0097610045	-0.0251012288	-0.027053036	-0.0203551326	-0.0521134224	-0.0269306465	0.0387665959	-0.0743162114	0.0823016674	-0.0538388146	0.0440222289	0.0121875399	-0.0767670795	0.1693365837	0.0599735338	0.1613363	0.074561032	-0.065393878	-0.0346036801	-0.0649642322	0.0097110237	0.0422330414	0.1205095248	-0.0078047506	0.0588133676	-0.0459323097	-0.0532646679	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.00119945	0.00013093	1.7142664900000007e-08	1.4386803024999995e-06	-0.0963579	-0.0078541999999999	6.168845763999987e-05	0.0092848448924099	-0.439237	0.022454	0.1929291421689999	0.000504182116	-0.00297023	0.00029085	8.459372250000005e-08	8.8222662529e-06	-0.00167015	0.00018708	3.4998926400000024e-08	2.7894010225e-06	0.0	0.0	0.0	0.0	2.303292687	0.3589741913	0.5079402292	-0.7980780823	1.347832196	-1.65353931	-0.4649768074	-0.2795849233	0.009861011979	-1.022013256	-0.5382878478
6197.498826312149	-2.097744874095042	38408991.70214046	4.400533556792024	7882.366239348978	25.45755839299181	62131697.53122854	648.087279332588	5453.72584727437	-10.41004966976925	29743125.61722854	108.36913412706288	5533.758620306009	6408.227265251865	0.834388	21.835508	0.0927065189999999	0.0556287	-0.0346005426	-0.1431379461	0.0350539289	0.0342693839	0.1234961112	-0.1596833967	0.0172909104	0.0294172329	-0.0053629034	0.0349285241	0.0106359018	0.0607551264	-0.0825200107	0.0362520309	0.0088207875	-0.0495182755	0.1880492214	0.0031041459	-0.0199904385	-0.1147149242	0.0377558494	-0.0012975813	0.0563925199	0.064947083	-0.0150408434	-0.0508492401	0.0245306895	0.0613324382	0.0273524407	0.0014205571	-0.0083669768	-0.1582205097	0.1704840282	0.0804776127	0.1022594886	-0.1186806862	0.0929643427	-0.0763476001	0.1332656525	0.018718701	-0.0342739293	-0.0368883035	0.0437032445	0.0183649805	-0.1729303132	0.0244874108	0.2083926207	-0.1033492871	0.122638351	0.1067607307	-0.1115160179	0.0376604596	-0.0873382802	0.052640155	0.0540648386	-0.1448870992	-0.0454671149	0.0228474788	0.0473733936	0.0008423069	-0.0109866268	-0.1412198409	0.0597344721	0.016284736	-0.0880856265	0.0726856155	0.0362706729	0.0372953804	0.0288093643	0.0708024238	0.0605192398	-0.1606005579	0.0936560485	-0.0828563022	0.0234788482	0.0479925085	-0.0968463132	-0.1324842428	-0.1904217501	-0.0310424605	0.0210899552	0.1344331567	-0.1099522252	0.0321765555	0.1635585701	-0.1240890613	0.0069044651	0.1827789754	0.0137556775	0.0314798673	-0.2149058262	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.000673631	0.000525819	2.76485620761e-07	4.5377872416100006e-07	-0.0932544	0.0031034999999999	9.63171224999997e-06	0.00869638311936	-0.405652	0.0335849999999999	0.164553545104	0.0011279522249999	-0.00292487	4.535999999999993e-05	2.0575295999999933e-09	8.5548645169e-06	-0.000803586	0.000866564	7.50933166096e-07	6.457504593960001e-07	0.00019792	0.00019792	3.91723264e-08	3.91723264e-08	2.27375686	0.2003853551	0.1757716241	-0.8034951158	1.573319822	-2.316910182	-0.3415030786	-0.5930777901	-0.2600204051	-1.102659028	-1.079565294
6197.335104265632	-0.1637220465163409	38406962.39456312	0.0268049085154989	7813.6255796911555	-68.7406596578221	61052744.699603945	4725.278290192532	5450.053948985961	-3.671898288408556	29703088.04685747	13.482837040417683	5524.867772015124	6416.927911546557	0.875159	22.902479	0.0363735079999999	0.019573	-0.0261050241	-0.1468521542	0.0341991002	-0.0462879058	0.003677416	-0.1664375841	-0.1243763396	0.0989984939	0.059494285	-0.0574371816	-0.0316176235	-0.0546866558	-0.1196888741	0.0293903169	0.0022385791	-0.0440437392	0.1273975646	0.0110585085	0.0358170637	-0.0849402534	0.0147686315	-0.0706384442	-0.0286380566	-0.0756487021	-0.0471254543	-0.0193420536	0.0800540968	0.1393495421	0.0143465465	-0.1343988198	0.0135032453	-0.0943296935	0.1393328056	-0.1638328304	0.0185250044	0.022906776	-0.1210391595	-0.0856347585	0.0706901237	0.0595602288	-0.0221924665	-0.0128932686	-0.041480824	0.1420742528	0.0896854669	-0.1268588312	-0.0586661553	-0.0581671332	0.1861142946	-0.1419775419	0.0828606145	0.0424890876	-0.1254234702	0.0311360414	0.0379497805	-0.1116855802	-0.0513430937	0.0764508378	0.0534289232	-0.0191847086	0.0545957444	-0.0383220102	-0.1014694957	-0.1421533258	-0.0675275846	0.0014199205	0.0979986826	0.0644698971	-0.0590612522	-0.0266830061	0.0215424016	-0.0903323505	0.1044194988	-0.1404727737	0.0182406437	-0.1274600656	0.1235381227	0.0111376502	-0.0641840295	-0.1033897054	-0.1376030428	0.0476050304	-0.1180450324	0.1502866044	0.0631949889	0.1573287017	0.0127038663	0.0124756436	0.0997072356	-0.0024471322	0.010905953	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.000423723	0.0002499079999999	6.245400846399999e-08	1.79541180729e-07	-0.0931607	9.370000000000211e-05	8.779690000000396e-09	0.00867891602449	-0.41279	-0.0071379999999999	0.1703955841	5.095104399999968e-05	-0.00278864	0.0001362299999999	1.8558612899999942e-08	7.776513049600001e-06	-0.000559898	0.000243688	5.938384134400003e-08	3.13485770404e-07	0.0	-0.00019792	3.91723264e-08	0.0	2.229851075	0.244991361	0.2908252558	-0.8245429296	1.841584408	-2.740853034	-1.64225191	-0.7022218924	-0.3994103665	-1.376191108	-0.3629875937
6230.323438010039	32.9883337444071	38816930.142217234	1088.230163232388	7806.794659875837	-6.830919815318339	60946042.861465886	46.66146552330873	5463.267928029133	13.213979043172005	29847296.453431737	174.6092421533889	5535.053008998723	6590.656209950493	0.963331	25.209888	0.0262972919999999	0.0177445	0.0291765072	-0.160819156	-0.0245028562	0.1025687524	-0.0402391415	0.0761305592	-0.0739834457	0.2402557089	-0.1188369532	0.00257394	0.0017162427	-0.0367380526	-0.0356349412	-0.0075972514	-0.0879866836	-0.0897761845	0.0662626395	-0.0007001198	0.0222637678	-0.0449591313	-0.0295748429	-0.0443422225	-0.0638070974	-0.0206153587	0.0379755968	-0.0554574996	-0.1050903855	0.0117421776	0.0884233258	-0.0826751744	0.1013735324	-0.0990838312	0.061120087	-0.0945771011	-0.0966842217	0.0479013205	-0.0991128338	-0.0678079505	-0.0220558441	-0.0386192737	0.1750888159	-0.0602117385	0.2148909057	-0.047863574	-0.058224324	0.1011939656	-0.0995323035	0.1176849484	-0.1360844107	0.0557222784	0.0027437964	0.1727573764	-0.0441326365	0.0435062256	-0.0698366092	-0.0648332156	-0.0718679277	0.0139894065	0.0591922885	-0.0760648576	0.1055609389	-0.0049258443	-0.0565104593	-0.0022102989	0.0838787804	-0.0533337362	-0.0793565419	0.0160907099	-0.1007859929	-0.0458882303	0.0733435594	0.0248893423	0.1262767217	-0.0486493261	-0.0325034087	-0.2048406171	0.056924873	0.1099941087	-0.0156660181	-0.0321390861	0.1293060455	0.1777447903	0.2332967197	-0.085549852	-0.1318713158	-0.046251411	0.0599825072	-0.1235235816	-0.0992022966	0.0943525833	0.0629029875	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.000617265	-0.000193542	3.7458505764e-08	3.81016080225e-07	-0.0992656	-0.0061048999999999	3.7269804009999954e-05	0.00985365934336	-0.414751	-0.0019609999999999	0.172018392001	3.8455209999999625e-06	-0.0028229	-3.425999999999993e-05	1.1737475999999951e-09	7.96876441e-06	-0.000886395	-0.000326497	1.0660029100900001e-07	7.85696096025e-07	0.0	0.0	0.0	0.0	2.300656955	0.4266383653	0.7955587399	-0.3996613296	2.483878108	-1.687585429	-2.175301816	-1.080949799	-1.188709061	-0.9057957108	0.003769963661
6241.773542752955	11.450104742915755	38959736.95901078	131.10489862374186	7851.928591385518	45.13393150968113	61652782.60421737	2037.0717735205876	5480.956874664988	17.688946635855245	30040888.2619374	312.89883308613463	5556.637091200079	6748.616548528279	0.939788	24.593794	0.083351102	0.0426851	0.0712720897	-0.1271426539	0.0680503147	-0.0676057514	-0.0053327444	-0.0670789305	-0.170046867	-0.1161837962	0.0700738203	-0.1324977384	0.0849014093	0.1819420714	0.0615900979	-0.0418831935	0.0611156685	-0.0354748103	0.1873929787	0.0791780031	0.0608004325	0.0027326373	-0.099749856	0.0461220125	-0.0585958188	0.0322929318	-0.1377816458	0.0163726468	0.0567637963	-0.1349420693	0.1646511172	0.1345705622	0.1270689615	0.1249321902	-0.0627687806	0.0670564901	0.0386539659	-0.2029300833	-0.1256118222	-0.1336483243	0.0131253772	-0.1428368936	0.0992543904	0.1050672437	0.0281586743	0.1214920379	0.0062809838	0.1049310624	0.0688757789	-0.1806411469	-0.0196424697	-0.0822949844	-0.0730779761	0.0575090306	0.0501364148	-0.0193333457	0.033307474	-0.1981525034	-0.0120036005	0.0578878279	-0.0676198083	-0.0612806345	0.0604496255	-0.0182472522	-0.0120543039	0.0361875865	0.1254844348	0.1242300317	-0.0068016052	-0.1640767063	0.0967054157	0.1566152516	0.1479793046	0.144606444	-0.0874697913	0.0507660658	-0.0787575276	0.0284920742	0.1424045499	-0.1213344573	-0.1968998733	-0.1506138948	0.0124677025	-0.1094279681	0.1368146145	0.0279426902	0.0906024966	-0.1327765437	-0.0104541797	0.0520744652	0.0080689081	0.0318465289	0.0257909272	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.000405713	0.000211552	4.4754248704e-08	1.64603038369e-07	-0.0698919	0.0293736999999999	0.0008628142516899	0.00488487768561	-0.422702	-0.007951	0.178676980804	6.321840100000066e-05	-0.00233742	0.0004854799999999	2.356908304e-07	5.463532256400001e-06	-0.000595762	0.000290633	8.4467540689e-08	3.54932360644e-07	-0.000140184	-0.000140184	1.9651553856000005e-08	1.9651553856000005e-08	2.296062568	0.9311419811	1.227955603	-0.2197395193	1.929988827	-1.218024683	-1.344387783	-1.235372343	-0.3374746659	0.1752744052	-0.4601670359
6209.38779229751	-32.385750455445304	38556496.75513335	1048.8368325623758	7805.114020917868	-46.8145704676499	60919804.87952869	2191.6040080705584	5478.19046537904	-2.766409285948612	30010570.77496982	7.653020337382708	5553.580851914253	6565.192199446663	1.118945	29.282232	0.238009792	0.111816	0.0220690562	0.0543320973	0.0138899737	-0.1203011794	-0.0996361078	-0.0111012482	-0.1687416791	-0.1267598176	0.0851256899	-0.0437202308	0.1823915769	0.0204565816	0.0408280657	-0.0424231268	0.1590832585	0.1158623115	0.1106598153	0.1257452147	-0.019123032	0.127403529	0.0263626022	-0.0245321327	-0.0494695449	-0.0540292198	-0.1747905033	-0.1038907101	0.1818245152	-0.1320795334	0.0291721888	0.0978951421	-0.000224017	0.0823420765	0.040662788	-0.2422702437	0.2072912217	0.0839550032	0.0636554341	-0.0803948736	-0.099415386	-0.0172273613	-0.0309197751	-0.1127340136	-0.1358542517	0.0951784755	-0.1664534717	-0.0683011425	0.1546164083	0.0308110629	-0.0395585119	0.0926979659	0.0566332037	-0.0458768079	0.0351724704	-0.0869156825	0.0835705041	-0.1024899251	0.1157054871	0.1117574185	-0.0692437083	0.0666413424	-0.0585161548	0.0497200693	-0.0867706397	-0.1207626953	0.0991083252	0.156839327	0.1793952781	-0.1554409735	0.0492260905	0.171452838	-0.0586849221	0.0463626722	0.0503830697	-0.0133375286	0.2150321952	-0.0904667342	0.1606262258	-0.0950773278	0.1103055073	0.0445650787	-0.0977382205	-0.0502217334	-0.100002783	0.1168161774	-0.0648475883	-0.1966947056	-0.0911219354	0.0895253625	-0.0514137974	-0.0296508304	-0.0363880582	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.00419493	-0.003789217	1.4358165473089004e-05	1.7597437704900002e-05	-0.0516943	0.0181976	0.00033115264576	0.00267230065249	-0.326148	0.096554	0.106372517904	0.009322674916	-0.00116347	0.00117395	1.3781586025000003e-06	1.3536624409e-06	-8.753149999999998e-05	0.0005082305	2.5829824113025e-07	7.661763492249996e-09	0.000567015	0.000707199	5.001304256010001e-07	3.21506010225e-07	2.12447943	1.118363905	0.2866965204	-0.4341241557	1.29557447	-1.397362297	-1.825032699	-1.578128432	-0.2316910629	1.180476258	-1.413826156
6199.250343518642	-10.13744877886802	38430704.821616	102.7678677441727	7803.620193489643	-1.4938274282258135	60896488.124239326	2.231520385319748	5472.063409746382	-6.1270556326580845	29943477.9602852	37.54081072568716	5546.145898908746	6417.978744145838	1.08863	28.488907	0.176203385	0.118316	-0.0190323545	0.0982284146	-0.0744482988	0.0811123969	-0.01867442	0.0755726517	0.045984626	-0.037228428	-0.0458408018	0.0116261121	0.0687978974	-0.159656508	0.0065485036	0.014401119	-0.0327599285	-0.0129869359	-0.1076148825	-0.1145723948	0.0488306117	0.0624858917	-0.0904805092	-0.0166831185	0.0478099309	-0.0510549466	0.0025346852	0.0937398848	0.0270702382	-0.0437144975	-0.1120473652	-0.0480695817	-0.130239578	0.0492634752	-0.0526447846	-0.1366306221	0.0606060004	0.1830517863	0.0023491814	-0.1174669385	0.0862204223	0.1462767547	-0.1290892503	0.050595783	0.0088686596	-0.0809929758	0.0814206697	0.085108631	0.1702253417	0.0176844382	0.0089931626	-0.1380178104	0.006212428	0.1891167552	0.0182772368	0.0232614308	-0.0150703862	0.0954223014	0.0113174101	-0.1455884285	0.0135280235	-0.0115886427	0.0107038124	0.1150567435	0.0502028382	-0.0615032096	-0.0341876566	-0.0289966205	0.026134938	-0.0605433696	0.0943495439	-0.0734568197	-0.2220218719	0.0270260735	0.0247308798	-0.0299725534	0.1219566957	-0.0516109496	-0.0018351685	-0.0347628629	0.2386651944	-0.1319902853	-0.0356638903	0.0212722934	-0.1445849482	-0.0956308255	0.1402262826	0.012314069	0.0180937247	0.0715041619	0.1230044774	0.0325169904	0.1647968714	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.00023642	0.00395851	1.56698014201e-05	5.58944164e-08	-0.0460321	0.0056621999999999	3.206050883999999e-05	0.00211895423041	-0.211991	0.1141569999999999	0.044940184081	0.0130318206489999	-0.00103146	0.0001320099999999	1.7426640099999974e-08	1.0639097316000002e-06	-0.00043702	-0.0003494885	1.2214221163225004e-07	1.909864804e-07	0.0	-0.000567015	3.21506010225e-07	0.0	1.795955728	0.8023650904	-0.5445974883	-0.5160356796	1.468637979	-0.9304932195	-1.075278791	-1.309750092	-1.513566384	0.1860697066	0.4693963505
