global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_02	aroma_motion_06	aroma_motion_09	aroma_motion_10	aroma_motion_13	aroma_motion_14	aroma_motion_16	aroma_motion_18	aroma_motion_20	aroma_motion_25	aroma_motion_27
6522.022740649204	n/a	n/a	42536780.62954535	10247.915681085013	n/a	n/a	105019775.8066281	4953.135692965514	n/a	n/a	24533553.19292896	5844.256348506138	6967.880276251602	n/a	n/a	n/a	n/a	-0.0668696467	-0.116456007	0.1609251393	-0.0934862711	-0.1070993003	0.3029349437	-0.1719932737	-0.0843626029	0.1387854737	-0.1651127737	0.1343275439	-0.0847417304	0.0177192436	-0.2960066885	0.0481702738	-0.2436733921	0.12013886	-0.0214900082	0.318241654	-0.0333704882	0.1823457559	-0.3421899366	0.0689804975	-0.0435731956	0.0555451899	-0.0549596714	0.0233427288	-0.098586413	0.036630567	-0.0469352077	0.0886299678	-0.0524371758	0.0038375075	-0.0784179923	0.0610693502	-0.0306671082	0.0302607956	0.0039522296	-0.1337262102	0.0568068691	-0.0810232466	-0.0042437761	-0.0118570904	-0.1010984278	0.0690438342	-0.0153286723	-0.0018558259	-0.0543026019	-0.1452053854	0.1032731643	0.0992401148	-0.0703657513	-0.052807361	-0.0585967198	0.0849097419	0.0110968056	-0.065211145	0.2902816294	-0.1637021968	0.12053675	0.2185340614	-0.3144767904	0.1623159859	-0.1599257753	0.0501025779	-0.1124602496	0.0008494052	0.0474770697	-0.0763461901	0.027773475	-0.0249397	0.1019723941	-0.0287490372	0.073555313	-0.1358760354	0.0708784745	-0.0378002489	0.1798703063	-0.1352299539	0.0407938128	-0.0360027358	-0.0416375984	0.0330860544	0.014681008	0.1141362175	-0.0826231682	0.0170155209	0.0328291313	0.0675660875	-0.1294255289	-0.0448203578	0.0528737871	0.1033036259	-0.0046079492	-0.0649334299	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.100954	n/a	n/a	0.010191710116	-0.215793	n/a	n/a	0.046566618849	-0.0521053	n/a	n/a	0.00271496228809	-0.0079609599999999	n/a	n/a	6.337688412159841e-05	-0.00237128	n/a	5.6229688384e-06	n/a	0.00159826	n/a	2.5544350276e-06	n/a	2.374561193	2.599798073	4.445250492	0.8226316172	-0.1829835077	-1.672925822	-1.927275388	1.678444949	-3.138998309	-3.276265736	-0.5196781852
6504.871968121712	-17.150772527492336	294.1489982897858	42313359.32165563	10262.79542113112	14.879740046108054	221.40666383975173	105324969.8559899	4940.454999546768	-12.68069341874616	160.79998558023215	24408095.60254665	5839.884342222375	6922.046100862544	1.141248	25.900076	0.0939046	0.0438962	-0.1187190265	0.0132259992	0.0864796369	0.1114150841	-0.1138055899	0.0991083531	-0.2161663185	-0.0892057009	0.3381925492	0.0249453567	0.099736446	0.0701192001	-0.0712725325	-0.1646293423	-0.109416778	-0.3369549394	0.1551793779	-0.1435709704	0.3099850138	0.0159526826	0.2735656437	-0.188104704	0.2139495307	0.1179276789	-0.1672357666	0.0435837925	-0.0123119576	-0.0552539322	-0.0239263049	-0.0024317227	-0.1061474862	0.0452727973	0.044375487	0.1471633872	-0.0476040193	-0.0161986945	0.0051768769	0.0101781198	0.191041254	-0.1031646551	-0.0213564706	0.0409795097	0.0262166542	-0.0500827829	-0.0972239108	-0.001849115	0.054177193	-0.0156360957	0.0723756491	-0.0431501253	0.0130876984	0.0144320256	0.0213427225	0.0867695931	-0.0205190165	0.0198483589	0.1121821609	0.3482929712	-0.0992528857	0.1369746467	0.3217824622	-0.1658682941	0.183682164	-0.1896436973	0.0182737465	-0.1091117868	0.1088821605	0.132175563	-0.0893248729	-0.1131745259	-0.020924843	0.0429330852	0.11887497	-0.0907067579	0.0573332824	-0.1744442298	0.0483383209	-0.1404606929	0.0205531182	0.0742348809	0.1133397338	0.0266687472	-0.049945578	-0.0760427657	-0.0912247125	0.0979511578	-0.0260080554	-0.0770177608	-0.0637870839	0.0589413959	-0.061209692	-0.0467162253	-0.0723545854	0.033850702	0.0306748027	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0799527	-0.0210013	0.00044105460169	0.00639243423729	-0.210446	0.005347	2.85904090000002e-05	0.0442875189159999	-0.0526586	-0.0005532999999999	3.061408899999996e-07	0.00277292815396	-0.00747997	0.0004809899999999	2.3135138009990467e-07	5.59499512009e-05	-0.00186098	0.0005103	3.4632465604e-06	2.6040609e-07	0.00124949	-0.00034877	1.5612252601e-06	1.2164051289999998e-07	2.469425511	3.263670651	4.069862506	1.041110109	-0.8594116942	-1.354856717	0.1514294992	-0.1873635333	-0.9286351524	-3.506886048	-0.04524315113
6494.551208924657	-10.32075919705494	106.51807040359414	42179195.40534472	10293.08179565394	30.286374522818733	917.2644817364436	105947532.85202251	4937.255467877662	-3.199531669105454	10.237002901608731	24376491.55508788	5842.549917422674	6809.070537863621	1.321245	29.985023	0.1893092	0.0923964	0.011927327	0.110786974	0.006876659	0.0819452902	0.027504461	-0.0005690504	-0.1836201134	0.0231216323	0.1664775368	0.1092125629	0.1080495148	-0.0544930551	-0.0798811939	0.0534008092	-0.3095596249	-0.2660960856	0.2292926895	-0.4502888291	0.065729818	-0.0601922627	-0.2574833596	0.1877758699	-0.1452065278	-0.1650224962	0.2304422506	-0.1515503017	-0.0055792178	-0.0405184392	-0.0210881337	0.0493988332	-0.0121485564	0.157488683	-0.0557681584	-0.0703490268	-0.0803223581	-0.0219787674	-0.0508971809	0.0621385217	-0.1277947855	0.0699296178	0.0576894143	-0.1674747016	0.0006761677	0.163778997	-0.0194971893	0.0298838757	-0.0297997512	0.1283277886	0.0549622148	0.0104854208	-0.1175526659	0.0556011847	0.0567688395	-0.0698882819	-0.0330159274	-0.0191717907	0.1130379798	0.2331085116	0.0779900704	0.2186302497	0.3523842343	0.055703975	-0.2704110249	0.2030596551	-0.2565711465	0.2665839368	-0.049399448	-0.0485757421	0.1480439139	0.074423949	0.0261358294	-0.1518509874	-0.0508242011	0.1757087012	0.0745680281	-0.0103017681	-0.1456291072	-0.0802894394	0.0882442363	-0.173105628	-0.179329896	-0.0151023954	0.0649764201	0.1062084047	0.043608719	-0.1057921326	-0.0374217372	-0.0258176198	-0.0144195046	0.0451558662	0.1008883209	-0.0070936316	-0.0891045651	0.0614722711	0.0572110258	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0638998	-0.0160528999999999	0.0002576955984099	0.00408318444004	-0.164873	0.045573	0.002076898329	0.0271831061289999	-0.0353668	0.0172918	0.00029900634724	0.0012508105422399	-0.00602908	0.0014508899999999	2.1050817920999994e-06	3.63498056464e-05	-0.00133065	0.0005303299999999	1.7706294225000002e-06	2.812499088999999e-07	0.0014761	0.0002266099999999	2.17887121e-06	5.135209209999997e-08	2.370780912	1.924613016	3.351193115	-1.4282154	-0.9222901488	-1.177218037	-1.459188729	0.6979185806	0.2817079555	-5.975881913	0.2840937883
6502.620235981089	8.069027056431878	65.1091976374297	42284069.93339075	10281.896349764436	-11.185445889503171	125.11419974700338	105717392.54729924	4968.551003594451	31.29553571678844	979.4105558007808	24686499.075319424	5868.74243858605	6852.557682624764	1.207884	27.41235	0.1263854499999999	0.062229	0.0669581497	0.0716085453	-0.0125318043	0.0003502445	0.0936176557	-0.1282530279	-0.1091366036	0.0785412232	0.1013463315	0.1576058598	0.136464295	-0.0173697361	0.1351731323	0.2108416011	0.0619653036	0.014743474	0.0180038893	0.0316405901	-0.1049016867	-0.0507916036	0.1750031709	0.0305229212	-0.2872965781	-0.1044431626	0.2076818132	0.2167352131	0.1520636903	0.1648458062	-0.0385547108	-0.0435705523	-0.0184235559	-0.2521311421	-0.0836546992	-0.1685821409	0.138922273	-0.0243308885	0.0253368599	-0.0309578864	0.1464730568	0.1355416475	-0.0299188755	0.0877797195	0.0830744609	-0.015620284	0.1503357878	0.0223387467	0.0933491195	-0.0191446801	-0.0869881972	0.0188267704	-0.0546557111	0.0436618975	-0.0408981136	-0.0038472276	0.0672322214	0.0887015577	-0.0008935397	-0.0021405814	0.0931826367	0.054574119	-0.044374908	0.073064128	0.0943574884	0.1637130385	0.1311402226	-0.0485279068	-0.3224603727	-0.3106933935	-0.1186843674	0.285539093	0.0099271501	-0.184557192	0.1081440703	-0.1548026608	-0.0024678851	0.1253869382	0.0511515827	0.1359078614	-0.0564287388	0.0435403426	-0.0222791107	-0.1076362749	-0.0399629946	-0.0922580183	-0.0923303774	0.0015516345	-0.0611745938	0.0927421707	0.058938365	0.0754823102	-0.1479126783	0.0395614857	-0.0790760831	0.0121033431	0.0176284981	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0439985	-0.0199013	0.00039606174169	0.00193586800225	-0.139695	0.0251779999999999	0.0006339316839999	0.019514693025	-0.023361	0.0120057999999999	0.0001441392336399	0.000545736321	-0.00503171	0.00099737	9.947469169e-07	2.53181055241e-05	-0.000990523	0.0003401269999999	9.811358135290005e-07	1.1568637612899999e-07	0.00152461	4.851000000000009e-05	2.3244356521e-06	2.3532201000000086e-09	2.297547991	1.099767194	1.847992649	-0.3183617684	-1.188484172	-0.118580788	-1.293804515	0.141546759	0.9372672624	1.848765599	1.276220732
6484.306325159078	-18.313910822010257	335.3993295965444	42046228.51849803	10283.079650081118	1.1833003166811975	1.4001996394578229	105741727.0899124	4958.525110075748	-10.025893518703016	100.51854084837112	24586971.267251708	5862.849624237011	6844.252202934603	1.029974	23.374754	0.06985785	0.0436905	0.1201613851	-0.0239514165	-0.0466618404	-0.118588165	0.1325019889	0.0295967774	-0.0372770596	0.0337173425	0.0281253712	0.2381809104	-0.0979881065	-0.1294397668	-0.032896714	0.1046352365	0.2465725547	-0.0422295733	0.0890506433	0.1205412863	-0.0742348759	-0.1605280561	0.0021127918	0.0378834241	-0.0029332853	0.029638741	0.1023166033	0.1202806874	0.1972861183	-0.0588164535	0.0332948131	-0.1238996208	-0.0065446101	-0.22846666	-0.0569351565	-0.0860413966	-0.0233962105	0.0183572412	0.0082352209	-0.0144698957	-0.1027272283	0.1028475631	0.116866543	0.0541605182	-0.0107097423	-0.0344263702	0.0086277112	-0.0215677748	-0.0609609028	0.0776360493	0.1428521711	-0.1794521267	0.1075826054	0.1368385857	0.0262156178	0.0153622407	-0.0222025036	0.0466243485	-0.1131660141	0.0424277182	0.081466122	0.1547193691	-0.1140515252	0.139136483	0.0690180965	-0.0601927608	0.0559518026	-0.0027989681	-0.2531159653	-0.0457186046	-0.0686032987	0.0884385662	-0.061723218	-0.0055102157	0.0752754895	0.0152049751	-0.0051519885	0.1192960084	0.0845005949	0.1020348093	-0.1066854891	-0.1216199631	0.0547481891	0.0624166161	-0.0301497703	-0.0244880388	-0.1214611702	-0.0315100159	0.2033889695	-0.0652964606	-0.002716507	0.0645491452	0.1458108706	-0.0820439684	0.0932188237	-0.0155465556	-0.1060362199	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0439824	-1.6100000000005e-05	2.5921000000016097e-10	0.0019344515097599	-0.0987232	0.0409718	0.00167868839524	0.0097462702182399	-0.0118678	0.0114932	0.00013209364624	0.0001408446768399	-0.00494217	8.953999999999993e-05	8.017411599999987e-09	2.44250443089e-05	-0.0008317179999999	0.0001588050000001	6.917548315238336e-07	2.5219028025031797e-08	0.0016238	9.918999999999988e-05	2.63672644e-06	9.838656099999974e-09	2.286480141	0.747356629	1.182663205	0.9607417295	-0.9173451333	0.5538283708	-1.66210118	-0.3991139472	0.3283172339	-0.7144684821	-0.1306694119
6461.188429732266	-23.117895426812535	534.4370889650401	41746955.924506105	10293.444186403543	10.36453632242592	107.4236131788862	105954993.2186049	4945.161189808403	-13.363920267344838	178.59436491195012	24454619.19318726	5850.617684612187	6780.869852640023	1.130413	25.65419	0.03820874	0.0225611	-0.0467108417	-0.0905541161	-0.2027305634	-0.053616429	-0.0898812986	0.0285942571	-0.121617401	-0.0063030826	-0.0704893029	0.0695080612	-0.2604376325	-0.0414733329	0.0064614802	0.0877853925	-0.0189083114	-0.0959630549	0.0853551202	0.1842280229	-0.1659740452	0.0590132034	-0.1118171577	-0.0248941965	-0.042364823	0.0974300953	0.016262022	0.006520877	-0.0292576045	0.026201138	0.0367853453	-0.0298613882	0.113021132	0.0048472005	-0.1258977258	0.2258400589	-0.071486417	-0.1902411407	0.0088104687	-0.0549103926	-0.1284145256	-0.1118315234	0.0442420838	-0.0092401199	0.0628154245	0.0965078617	0.215103213	0.0167610848	-0.0123149059	-0.0425544347	0.0270090592	0.0856916262	-0.0696725558	0.101559456	0.0733323636	-0.0564964312	-0.1616353802	-0.0731726231	-0.0407232589	0.0951497908	-0.0844338959	0.0658541237	-0.2346674557	0.0500968972	-0.1081519243	0.0191633521	0.0492366506	-0.0923082588	-0.0671801258	0.0676118668	-0.0300969189	0.021670549	-0.0602821572	-0.0336852997	-0.0586999534	0.1372021421	0.0720531509	0.1739284278	-0.0176418706	-0.1669642645	0.1235389952	0.0243264837	0.146397861	0.0443451206	0.0462360321	0.0865193069	0.0598959003	-0.0748856321	-0.0318046561	-0.1535769125	0.1203753281	0.0196317277	0.0045568212	0.0891370953	0.030926463	-0.1126005729	0.1215689991	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0439387	-4.370000000000068e-05	1.9096900000000602e-09	0.0019306093576899	-0.104307	-0.0055838	3.117882244e-05	0.0108799502489999	-0.0076045599999999	0.00426324	1.8175215297600848e-05	5.782933279359848e-05	-0.00475201	0.0001901599999999	3.616082559999999e-08	2.25815990401e-05	-0.0008317179999999	0.0	6.917548315238336e-07	0.0	0.002	0.0003762	4e-06	1.415264400000001e-07	2.360809371	0.968945902	0.6236091545	1.83369957	-2.641511889	-1.154659496	-0.7553030882	-0.6687945553	-1.535085216	-1.061291001	0.1004319758
6464.047293724899	2.858863992632905	8.173103328372955	41783907.41551219	10279.67374012814	-13.77044627540272	189.62519062375264	105671692.20348008	4948.963042951362	3.801853142958862	14.454087320626178	24492235.2004984	5850.7088978233205	6698.536556716466	1.13532	25.765551	0.0528918	0.032111	0.0130562108	0.1610012855	-0.166633519	0.1231127386	0.0070506648	0.1995667384	-0.0322991019	0.0308422736	-0.0973638242	-0.0645072914	0.0258195552	-0.0982495346	-0.1326956063	0.1379837832	0.1079598786	-0.0928316823	0.0166222089	0.0563973258	-0.2022557887	0.0841031125	0.0355862897	0.0026530879	-0.0528644042	0.0445288096	-0.1000114954	-0.0254187693	0.0687187326	0.0420831441	0.0157563877	0.1324985009	0.0928396179	0.0839963645	-0.00047023	0.2187541045	0.0853288799	0.0471465094	0.0101204114	0.0695089495	0.1435474728	0.0438843356	-0.0513491	0.116052151	0.0548142978	0.0032732861	0.0663789806	-0.20087519	-0.0568497161	0.0674253397	-0.0551524249	-0.0556172511	-0.0518243345	-0.0569803892	-0.105773855	0.0482721799	-0.0641486467	0.041120156	0.1287319338	0.0874965781	0.0338357581	0.0144661651	-0.1833044967	-0.011408848	-0.0010579186	0.0685266201	0.0705306521	0.0362189484	0.0299766809	0.0313346846	0.0450789778	0.0614867996	0.10320981	0.2075725082	-0.0585249688	-0.094384693	0.0620429763	0.0057770036	0.0870475662	-0.0749149982	0.1435619646	0.0489288243	0.139921195	-0.1308690756	-0.0091896426	-0.0448375899	-0.0704410229	0.0551193088	-0.0016400092	0.1317798426	-0.1924206973	-0.0131082128	0.0355692237	0.0004775043	0.1443646282	0.0822325775	0.0870996994	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0480987	0.00416	1.7305600000000033e-05	0.00231348494169	-0.101314	0.0029929999999999	8.958048999999973e-06	0.010264526596	0.00296284	0.0105673999999999	0.0001116699427599	8.7784208656e-06	-0.00418287	0.00056914	3.239203396000001e-07	1.74964014369e-05	-0.00069743	0.0001342879999999	4.864086048999999e-07	1.8033266943973147e-08	0.002	0.0	4e-06	0.0	2.154438013	0.8434288831	0.4614090386	-1.778580428	-2.430927247	-0.803888762	-1.549346771	-0.670135581	-1.451330528	-0.4778481378	0.1529024871
6474.464779377867	10.417485652968026	108.52400732979464	41918694.17940449	10287.641107896035	7.967367767894757	63.47894914888828	105835559.56487235	4955.707566799415	6.744523848053177	45.488601936958034	24559037.48763298	5859.255603263439	6774.168143294887	1.122848	25.482491	0.05161431	0.0275395	0.1507606976	-0.046791946	-0.1533509406	-0.1035499436	0.0930897633	0.076887149	0.0339606753	0.0226544693	-0.0937339178	-0.0100709726	0.023430734	-0.150721775	-0.0868102384	0.0465200389	0.0413748905	-0.0322285668	-0.0374004159	0.1188065105	-0.1171242742	-0.1144591859	0.0068881093	0.0894690765	0.012653912	0.0704018484	-0.0018419255	0.0122332342	0.013415031	0.0908239998	0.1033131354	0.0296282213	-0.000620371	0.0588942929	0.0908661253	-0.1174227442	0.0044285971	0.0729292332	0.0468123123	0.0165470454	-0.0423613137	-0.0548162489	-0.1441822522	0.0173030603	-0.0708599644	0.0217346547	-0.0351765674	-0.0817274493	-0.0608028409	-0.0742930983	-0.1154666996	0.0337570397	0.0453972052	0.0403139583	0.1060068422	0.0418762579	0.1255752541	0.1139598705	-0.1035358659	0.0255315811	0.0962391678	0.0294974034	-0.1453450717	0.0548551314	0.069011645	0.0230247181	0.0288239347	0.0345573153	-0.0182348816	0.0291650079	0.0352674982	-0.0884051085	0.084946544	0.0782555503	-0.1731952008	-0.0665063482	-0.0833311001	-0.0915705674	0.003973809	0.0622496414	-0.0154182848	-0.0424158364	-0.0563478825	0.0307964603	0.0625528945	0.0576109952	0.0565977806	0.0019406847	-0.0356080742	-0.0376426519	-0.054438563	0.0233973253	-0.0756372433	0.1217452623	0.083655222	-0.0776582475	-0.1421065018	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0439618	-0.0041368999999999	1.711394160999999e-05	0.00193263985924	-0.0887016999999999	0.0126123000000001	0.00015907011129	0.0078679915828899	0.00236618	-0.00059666	3.560031556000002e-07	5.598807792399999e-06	-0.00377845	0.0004044199999999	1.6355553639999998e-07	1.42766844025e-05	-0.000416481	0.0002809489999999	1.73456423361e-07	7.893234060099998e-08	0.002	0.0	4e-06	0.0	2.051483131	0.3922711959	0.3567043107	0.2364659632	-2.235299395	0.8280270787	-1.880782581	0.4964136481	-0.14571842	-0.5096619583	-0.9585656507
6479.320750616495	4.8559712386286265	23.58045667038844	41981597.3893695	10315.111211576776	27.470103680740067	754.606596230609	106401519.3071969	4952.518527181789	-3.1890396176258946	10.169973682787512	24527439.76207888	5857.341062762912	6772.70463436803	1.115262	25.310331	0.02314942	0.0139099	-0.1154521254	-0.0346962355	-0.1484626326	-0.0450692285	-0.1661147968	-0.0404786529	-0.0011443383	0.0643927017	-0.1754621602	-0.0284838666	-0.0933689337	-0.1153124129	-0.1657646791	0.0023778582	0.0255946515	-0.0313725808	0.0897820256	0.2063446955	-0.1407530324	0.0301273366	-0.1125498397	0.1095241859	0.0033838784	0.126808402	0.0071730021	-0.0981543193	-0.1083048874	-0.001746257	0.0199653082	0.1045492685	-0.1083572782	0.0154393277	0.106583178	-0.0604814794	0.0868068274	0.1271521588	-0.1038268238	-0.029729362	0.1369581522	-0.0362490515	0.0586687685	-0.1241853301	0.0871290488	-0.0164472783	-0.0889541844	-0.0065442842	0.1717241134	-0.1883847973	-0.0244253557	0.2329283336	0.0365555686	-0.0692431122	-0.1805883483	0.0071944089	-0.0297587103	-0.090743166	-0.0322994496	0.0314747655	-0.1170602165	0.0364744385	-0.2399323347	0.1189780306	-0.093129291	0.0822515867	-0.0056735708	0.0191279952	0.0483688351	0.1263674874	-0.0443329653	-0.1073868132	0.1317101202	-0.0420298368	-0.0862205314	-0.0259066567	-0.040310395	-0.0847349051	-0.0803947861	0.1258153886	0.1442591861	0.0622147173	-0.1180268529	-0.0006434131	-0.1082654477	-0.0311080748	-0.0514017268	0.1302211746	-0.0504465151	0.1260784335	0.0291079891	-0.1035090763	-0.1132032129	0.1416138493	-0.2410599422	-0.005783592	0.1125529597	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0439618	0.0	0.0	0.00193263985924	-0.0771489	0.0115527999999998	0.0001334671878399	0.00595195277121	-0.00184894	-0.00421512	1.77672366144e-05	3.4185791236000004e-06	-0.00363082	0.00014763	2.179461690000005e-08	1.31828538724e-05	-0.000416481	0.0	1.73456423361e-07	0.0	0.002	0.0	4e-06	0.0	2.143190837	0.6374176745	0.3076175428	0.2161560496	-2.145587996	-1.940080561	-0.7536505563	-0.1174216108	-2.050663406	-0.7498826494	-1.160932465
6483.645656469692	4.324905853196469	18.70481063901308	42037660.9986583	10291.683313260635	-23.427898316140272	548.8664195114081	105918745.4204474	4956.648120925423	4.129593743634359	17.05354448746404	24568360.59467353	5856.338323691388	6813.379976011813	1.086455	24.656576	0.0145591299999999	0.0100731	0.0894936951	0.0808133078	-0.0619415009	0.0649194134	0.0383632743	0.0230261035	-0.0917363838	0.0666302844	-0.2724507849	-0.0455065849	-0.0396567071	0.0323937587	0.222757379	0.0543109101	-0.040878231	-0.011749233	0.0245728465	0.1303164894	-0.1722901168	-0.0087373563	-0.0309654611	0.0038237776	-0.0162404045	-0.0229680664	-0.1026366604	-0.0607436348	-0.1648960311	0.0784357782	-0.0515065355	-0.0687201439	0.201197894	-0.0232705546	0.1354595599	0.0019049135	-0.0166426162	-0.0576629874	0.0925235627	0.0410199204	-0.0169649355	-0.0718497709	0.1049416354	0.0536764243	0.0662349007	0.0477315901	-0.1390749019	-0.0506803304	-0.1027917779	-0.068537681	0.1262898289	-0.1411419834	0.0528506178	-0.1371077482	0.0758609468	0.0465328493	0.0986057296	-0.2091030949	0.0584232541	0.0008002965	0.0647456882	0.0198610949	-0.2362961223	-0.0301884756	-0.0212478381	0.1384189169	-0.0517238149	-0.0308546274	0.1957686342	0.0102056141	-0.0007456007	-0.0844793795	-0.0672088451	-0.0787915516	-0.0893335298	-0.0042050231	0.1040569675	-0.0071467855	0.2523039992	-0.1156132382	-0.0525334357	-0.0396674267	0.0072428532	0.0302012723	0.2205422368	-0.0126238462	-0.0544513784	0.0381947202	0.1356920483	0.1154110857	0.0366128524	-0.1012673089	0.0495173865	-0.0522337121	0.1093494215	-0.1439259154	-0.079678696	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0439618	0.0	0.0	0.00193263985924	-0.0761927	0.0009562	9.143184400000082e-07	0.00580532753329	0.00367149	0.00552043	3.04751473849e-05	1.34798388201e-05	-0.00346917	0.0001616499999999	2.613072249999991e-08	1.20351404889e-05	-0.000416481	0.0	1.73456423361e-07	0.0	0.002	0.0	4e-06	0.0	1.960075486	0.6930401561	0.2123784824	-0.7419620138	-2.100972252	-0.01021621521	-1.857277946	-0.4857913092	-0.3435085143	-0.5808059831	0.4316698862
